From date,To date,MPDC_kW,AIT_400_001C_P.PV,FIT_200_001C_P.PV,FIT_200_002C_P.PV,FIT_200_004C_P.PV,FIT_400_001C_P.PV,FIT_400_002C_P.PV,LT_200_002C_P.PV,P_200_001C_P.RPM_MV,P_200_002C_P.RPM_MV,P_400_001C_P.RPM_MV,P_400_002C_P.RPM_MV,PDIT_200_001C_P.PV,PDIT_400_001C_P.PV,PDIT_400_002C_P.PV,PIT_400_003C_P.PV,PT_200_005C_P.PV,PT_200_006C_P.PV,PT_200C_Tags.Q_Filtrate_PV,PT_200C_Tags.Q_RO_Feed_PV,PT_400_002C_P.PV,Q_400_001C_P.PV,RO_300C_Tags.RO.Recovery
2023-04-01 00:00:46,2023-04-01 00:15:46,0,0.71,0.80,0.58,0.04,0.18,0.26,6.87,0.00,0.00,0,0,1.08,1.13,0.00,0.99,0.01,1.59,0.45,0.25,0.43,0.00,0
2023-04-01 00:15:46,2023-04-01 00:30:46,0,0.71,0.91,0.57,0.01,0.05,0.35,6.87,0.00,0.00,0,0,1.09,1.15,0.00,0.99,0.01,1.59,0.41,0.35,0.43,0.00,0
2023-04-01 00:30:46,2023-04-01 00:45:46,0,0.71,0.91,0.57,0.01,0.05,0.35,6.87,0.00,0.00,0,0,1.09,1.15,0.00,0.99,0.01,1.59,0.41,0.35,0.43,0.00,0
2023-04-01 00:45:46,2023-04-01 01:00:46,0,0.71,0.91,0.57,0.01,0.05,0.35,6.87,0.00,0.00,0,0,1.09,1.15,0.00,0.99,0.01,1.59,0.41,0.35,0.43,0.00,0
2023-04-01 01:00:46,2023-04-01 01:15:46,0,0.71,0.91,0.57,0.01,0.05,0.35,6.87,0.00,0.00,0,0,1.09,1.15,0.00,0.99,0.01,1.59,0.41,0.35,0.43,0.00,0
2023-04-01 01:15:46,2023-04-01 01:30:46,0,0.71,0.91,0.57,0.01,0.05,0.35,6.87,0.00,0.00,0,0,1.09,1.15,0.00,0.99,0.01,1.59,0.41,0.35,0.43,0.00,0
2023-04-01 01:30:46,2023-04-01 01:45:46,0,0.71,0.91,0.57,0.01,0.05,0.35,6.87,0.00,0.00,0,0,1.09,1.15,0.00,0.99,0.01,1.59,0.41,0.35,0.43,0.00,0
2023-04-01 01:45:46,2023-04-01 02:00:46,0,0.71,0.91,0.57,0.01,0.05,0.35,6.87,0.00,0.00,0,0,1.09,1.15,0.00,0.99,0.01,1.59,0.41,0.35,0.43,0.00,0
2023-04-01 02:00:46,2023-04-01 02:15:46,0,0.71,0.91,0.57,0.01,0.05,0.35,6.87,0.00,0.00,0,0,1.09,1.15,0.00,0.99,0.01,1.59,0.41,0.35,0.43,0.00,0
2023-04-01 02:15:46,2023-04-01 02:30:46,0,0.71,0.91,0.57,0.11,0.04,0.35,6.87,0.00,0.00,0,0,1.07,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 02:30:46,2023-04-01 02:45:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 02:45:46,2023-04-01 03:00:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 03:00:46,2023-04-01 03:15:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 03:15:46,2023-04-01 03:30:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 03:30:46,2023-04-01 03:45:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 03:45:46,2023-04-01 04:00:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 04:00:46,2023-04-01 04:15:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 04:15:46,2023-04-01 04:30:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 04:30:46,2023-04-01 04:45:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 04:45:46,2023-04-01 05:00:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 05:00:46,2023-04-01 05:15:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 05:15:46,2023-04-01 05:30:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 05:30:46,2023-04-01 05:45:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 05:45:46,2023-04-01 06:00:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 06:00:46,2023-04-01 06:15:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 06:15:46,2023-04-01 06:30:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 06:30:46,2023-04-01 06:45:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 06:45:46,2023-04-01 07:00:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 07:00:46,2023-04-01 07:15:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 07:15:46,2023-04-01 07:30:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 07:30:46,2023-04-01 07:45:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 07:45:46,2023-04-01 08:00:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 08:00:46,2023-04-01 08:15:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 08:15:46,2023-04-01 08:30:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 08:30:46,2023-04-01 08:45:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 08:45:46,2023-04-01 09:00:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 09:00:46,2023-04-01 09:15:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 09:15:46,2023-04-01 09:30:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 09:30:46,2023-04-01 09:45:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 09:45:46,2023-04-01 10:00:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 10:00:46,2023-04-01 10:15:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 10:15:46,2023-04-01 10:30:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 10:30:46,2023-04-01 10:45:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 10:45:46,2023-04-01 11:00:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 11:00:46,2023-04-01 11:15:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 11:15:46,2023-04-01 11:30:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 11:30:46,2023-04-01 11:45:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 11:45:46,2023-04-01 12:00:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 12:00:46,2023-04-01 12:15:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 12:15:46,2023-04-01 12:30:46,0,0.71,0.90,0.57,0.13,0.04,0.35,6.87,0.00,0.00,0,0,1.06,1.15,0.00,0.99,0.01,1.59,0.40,0.35,0.43,0.00,0
2023-04-01 12:30:46,2023-04-01 12:45:46,0,0.71,0.81,0.58,0.10,0.16,0.29,6.87,0.00,0.00,0,0,1.07,1.14,0.00,1.12,0.01,1.59,0.46,0.28,0.43,0.00,0
2023-04-01 12:45:46,2023-04-01 13:00:46,0,0.71,0.78,0.58,0.07,0.30,0.21,6.86,0.00,0.00,0,0,1.08,1.13,0.00,1.46,0.01,1.59,0.50,0.22,0.43,0.00,0
2023-04-01 13:00:46,2023-04-01 13:15:46,0,0.71,0.71,0.58,0.07,0.29,0.20,6.86,0.00,0.00,0,0,1.07,1.13,0.00,1.46,0.01,1.59,0.47,0.20,0.43,0.00,0
2023-04-01 13:15:46,2023-04-01 13:30:46,0,0.71,0.68,0.60,0.06,0.28,0.23,6.86,0.00,0.00,0,0,1.08,1.13,0.00,1.46,0.01,1.58,0.50,0.22,0.43,0.00,0
2023-04-01 13:30:46,2023-04-01 13:45:46,0,0.71,0.76,0.58,0.08,0.23,0.19,6.86,0.00,0.00,0,0,1.07,1.13,0.00,1.46,0.01,1.59,0.42,0.20,0.43,0.00,0
2023-04-01 13:45:46,2023-04-01 14:00:46,0,0.71,0.70,0.60,0.08,0.35,0.19,6.86,0.00,0.00,0,0,1.07,1.13,0.00,1.46,0.01,1.58,0.52,0.19,0.43,0.00,0
2023-04-01 14:00:46,2023-04-01 14:15:46,0,0.71,0.72,0.58,0.05,0.26,0.22,6.86,0.00,0.00,0,0,1.07,1.13,0.00,1.46,0.01,1.58,0.46,0.23,0.43,0.00,0
2023-04-01 14:15:46,2023-04-01 14:30:46,0,0.71,0.65,0.57,0.10,0.27,0.16,6.86,0.00,0.00,0,0,1.08,1.13,0.00,1.46,0.01,1.58,0.40,0.16,0.43,0.00,0
2023-04-01 14:30:46,2023-04-01 14:45:46,0,0.71,0.72,0.60,0.07,0.29,0.22,6.86,0.00,0.00,0,0,1.08,1.13,0.00,1.46,0.01,1.59,0.46,0.23,0.43,0.00,0
2023-04-01 14:45:46,2023-04-01 15:00:46,0,0.71,0.64,0.57,0.08,0.28,0.16,6.86,0.00,0.00,0,0,1.07,1.13,0.00,1.46,0.01,1.59,0.44,0.14,0.43,0.00,0
2023-04-01 15:00:46,2023-04-01 15:15:46,0,0.71,0.64,0.60,0.06,0.29,0.18,6.86,0.00,0.00,0,0,1.08,1.13,0.00,1.46,0.01,1.59,0.46,0.18,0.43,0.00,0
2023-04-01 15:15:46,2023-04-01 15:30:46,0,0.71,0.76,0.62,0.08,0.31,0.23,6.86,0.00,0.00,0,0,1.07,1.13,0.00,1.46,0.01,1.59,0.54,0.23,0.43,0.00,0
2023-04-01 15:30:46,2023-04-01 15:45:46,0,0.71,0.72,0.60,0.06,0.31,0.22,6.86,0.00,0.00,0,0,1.07,1.13,0.00,1.46,0.01,1.59,0.56,0.20,0.43,0.00,0
2023-04-01 15:45:46,2023-04-01 16:00:46,0,0.71,0.68,0.58,0.08,0.28,0.22,6.86,0.00,0.00,0,0,1.07,1.13,0.00,1.46,0.01,1.59,0.51,0.20,0.43,0.00,0
2023-04-01 16:00:46,2023-04-01 16:15:46,0,0.71,0.71,0.60,0.08,0.24,0.24,6.86,0.00,0.00,0,0,1.07,1.13,0.00,1.46,0.01,1.59,0.51,0.24,0.43,0.00,0
2023-04-01 16:15:46,2023-04-01 16:30:46,0,0.71,0.63,0.58,0.06,0.24,0.21,6.86,0.00,0.00,0,0,1.07,1.13,0.00,1.46,0.01,1.59,0.43,0.20,0.43,0.00,0
2023-04-01 16:30:46,2023-04-01 16:45:46,0,0.71,0.71,0.60,0.07,0.31,0.17,6.86,0.00,0.00,0,0,1.08,1.13,0.00,1.46,0.00,1.59,0.54,0.17,0.43,0.00,0
2023-04-01 16:45:46,2023-04-01 17:00:46,0,0.71,0.67,0.62,0.07,0.19,0.24,6.87,0.00,0.00,0,0,1.07,1.13,0.00,1.46,0.00,1.59,0.43,0.24,0.43,0.00,0
2023-04-01 17:00:46,2023-04-01 17:15:46,0,0.71,0.74,0.58,0.07,0.28,0.21,6.87,0.00,0.00,0,0,1.07,1.14,0.00,1.46,0.00,1.59,0.51,0.21,0.43,0.00,0
2023-04-01 17:15:46,2023-04-01 17:30:46,0,0.71,0.67,0.57,0.06,0.27,0.25,6.87,0.00,0.00,0,0,1.07,1.13,0.00,1.46,0.01,1.59,0.43,0.26,0.43,0.00,0
2023-04-01 17:30:46,2023-04-01 17:45:46,0,0.71,0.64,0.60,0.05,0.29,0.24,6.87,0.00,0.00,0,0,1.08,1.13,0.00,1.46,0.01,1.59,0.57,0.24,0.43,0.00,0
2023-04-01 17:45:46,2023-04-01 18:00:46,0,0.71,0.74,0.58,0.08,0.33,0.21,6.87,0.00,0.00,0,0,1.08,1.14,0.00,1.46,0.01,1.59,0.45,0.21,0.43,0.00,0
2023-04-01 18:00:46,2023-04-01 18:15:46,0,0.71,0.72,0.60,0.09,0.26,0.24,6.87,0.00,0.00,0,0,1.07,1.13,0.00,1.46,0.01,1.59,0.49,0.24,0.43,0.00,0
2023-04-01 18:15:46,2023-04-01 18:30:46,0,0.71,0.71,0.58,0.08,0.31,0.22,6.87,0.00,0.00,0,0,1.07,1.13,0.00,1.46,0.01,1.59,0.48,0.22,0.43,0.00,0
2023-04-01 18:30:46,2023-04-01 18:45:46,0,0.71,0.73,0.62,0.08,0.32,0.20,6.87,0.00,0.00,0,0,1.07,1.13,0.00,1.46,0.01,1.59,0.49,0.20,0.43,0.00,0
2023-04-01 18:45:46,2023-04-01 19:00:46,0,0.71,0.72,0.60,0.06,0.22,0.18,6.87,0.00,0.00,0,0,1.08,1.13,0.00,1.46,0.01,1.59,0.44,0.18,0.43,0.00,0
2023-04-01 19:00:46,2023-04-01 19:15:46,0,0.69,0.71,0.62,0.09,0.20,0.20,6.87,0.00,0.00,0,0,1.07,1.13,0.00,1.46,0.01,1.59,0.34,0.20,0.43,0.00,0
2023-04-01 19:15:46,2023-04-01 19:30:46,0,0.71,0.69,0.60,0.06,0.24,0.24,6.87,0.00,0.00,0,0,1.07,1.13,0.00,1.44,0.01,1.59,0.46,0.24,0.43,0.00,0
2023-04-01 19:30:46,2023-04-01 19:45:46,0,0.71,0.72,0.60,0.07,0.34,0.19,6.87,0.00,0.00,0,0,1.08,1.13,0.00,1.46,0.01,1.59,0.49,0.19,0.43,0.00,0
2023-04-01 19:45:46,2023-04-01 20:00:46,0,0.71,0.68,0.60,0.05,0.27,0.24,6.87,0.00,0.00,0,0,1.08,1.13,0.00,1.46,0.01,1.59,0.52,0.24,0.43,0.00,0
2023-04-01 20:00:46,2023-04-01 20:15:46,0,0.71,0.72,1.01,0.06,0.27,0.16,6.87,0.00,0.00,0,0,1.08,1.13,0.00,1.46,0.01,1.59,0.43,0.16,0.43,0.00,0
2023-04-01 20:15:46,2023-04-01 20:30:46,0,0.71,0.71,0.62,0.05,0.30,0.20,6.87,0.00,0.00,0,0,1.07,1.13,0.00,1.46,0.01,1.59,0.50,0.20,0.43,0.00,0
2023-04-01 20:30:46,2023-04-01 20:45:46,0,0.71,0.63,0.60,0.09,0.25,0.19,6.87,0.00,0.00,0,0,1.07,1.13,0.00,1.46,0.01,1.59,0.45,0.19,0.43,0.00,0
2023-04-01 20:45:46,2023-04-01 21:00:46,0,0.71,0.60,0.57,0.07,0.23,0.22,6.87,0.00,0.00,0,0,1.08,1.13,0.00,1.46,0.01,1.59,0.48,0.22,0.43,0.00,0
2023-04-01 21:00:46,2023-04-01 21:15:46,0,0.71,0.74,0.60,0.08,0.27,0.22,6.87,0.00,0.00,0,0,1.07,1.14,0.00,1.46,0.01,1.59,0.50,0.22,0.43,0.00,0
2023-04-01 21:15:46,2023-04-01 21:30:46,0,0.71,0.79,0.60,0.08,0.22,0.18,6.87,0.00,0.00,0,0,1.07,1.13,0.00,1.46,0.01,1.59,0.40,0.18,0.43,0.00,0
2023-04-01 21:30:46,2023-04-01 21:45:46,0,0.71,0.65,0.62,0.09,0.30,0.19,6.87,0.00,0.00,0,0,1.07,1.13,0.00,1.46,0.01,1.59,0.47,0.19,0.43,0.00,0
2023-04-01 21:45:46,2023-04-01 22:00:46,0,0.71,0.69,0.60,0.07,0.34,0.17,6.87,0.00,0.00,0,0,1.07,1.13,0.00,1.44,0.01,1.59,0.49,0.18,0.43,0.00,0
2023-04-01 22:00:46,2023-04-01 22:15:46,0,0.71,0.69,0.58,0.07,0.30,0.20,6.87,0.00,0.00,0,0,1.08,1.13,0.00,1.44,0.01,1.59,0.50,0.20,0.43,0.00,0
2023-04-01 22:15:46,2023-04-01 22:30:46,0,0.71,0.63,0.58,0.06,0.23,0.19,6.87,0.00,0.00,0,0,1.08,1.13,0.00,1.44,0.01,1.59,0.40,0.19,0.43,0.00,0
2023-04-01 22:30:46,2023-04-01 22:45:46,0,0.71,0.71,0.63,0.05,0.32,0.18,6.87,0.00,0.00,0,0,1.07,1.13,0.00,1.44,0.01,1.59,0.49,0.17,0.43,0.00,0
2023-04-01 22:45:46,2023-04-01 23:00:46,0,0.71,0.60,0.62,0.07,0.28,0.20,6.87,0.00,0.00,0,0,1.08,1.13,0.00,1.44,0.01,1.59,0.47,0.20,0.43,0.00,0
2023-04-01 23:00:46,2023-04-01 23:15:46,0,0.71,0.67,0.63,0.06,0.23,0.23,6.87,0.00,0.00,0,0,1.08,1.13,0.00,1.46,0.01,1.59,0.47,0.24,0.43,0.00,0
2023-04-01 23:15:46,2023-04-01 23:30:46,0,0.71,0.60,0.62,0.09,0.28,0.18,6.87,0.00,0.00,0,0,1.08,1.13,0.00,1.45,0.01,1.59,0.47,0.19,0.43,0.00,0
2023-04-01 23:30:46,2023-04-01 23:45:46,0,0.71,0.60,0.60,0.09,0.32,0.18,6.87,0.00,0.00,0,0,1.07,1.13,0.00,1.46,0.01,1.59,0.52,0.18,0.43,0.00,0
2023-04-01 23:45:46,2023-04-02 00:00:46,0,0.69,0.68,0.60,0.05,0.28,0.27,6.87,0.00,0.00,0,0,1.08,1.13,0.00,1.43,0.01,1.59,0.58,0.27,0.43,0.00,0
2023-04-02 00:00:46,2023-04-02 00:15:46,0,0.71,0.71,0.62,0.08,0.31,0.20,6.87,0.00,0.00,0,0,1.08,1.13,0.00,1.45,0.01,1.59,0.51,0.19,0.43,0.00,0
2023-04-02 00:15:46,2023-04-02 00:30:46,0,0.71,0.64,0.60,0.10,0.22,0.20,6.87,0.00,0.00,0,0,1.07,1.13,0.00,1.46,0.01,1.59,0.40,0.20,0.43,0.00,0
