From date,To date,MPDB_kW,AIT_400_001B_P.PV,FIT_200_001B_P.PV,FIT_200_002B_P.PV,FIT_200_004B_P.PV,FIT_400_001B_P.PV,FIT_400_002B_P.PV,LT_200_002B_P.PV,P_200_001B_P.RPM_MV,P_200_002B_P.RPM_MV,P_400_001B_P.RPM_MV,P_400_002B_P.RPM_MV,PDIT_200_001B_P.PV,PDIT_400_001B_P.PV,PDIT_400_002B_P.PV,PIT_400_003B_P.PV,PT_200_005B_P.PV,PT_200_006B_P.PV,PT_200B_Tags.Q_Filtrate_PV,Q_400_002B,PT_400_002B_P.PV,Q_400_001B_P.PV,RO_300B_Tags.RO.Recovery
2023-04-01 00:00:46,2023-04-01 00:15:46,70.40,416.22,1485.46,0.57,73.52,808.14,699.76,7.82,64.72,0.00,33.50,49.44,1.95,37.30,50.72,935.55,0.00,0.71,1507.83,1505.52,50.03,805.76,46.48
2023-04-01 00:15:46,2023-04-01 00:30:46,70.40,410.83,1540.30,0.57,73.65,811.41,698.83,7.82,64.80,0.00,33.51,49.40,1.95,37.36,50.80,933.43,0.00,0.63,1510.17,1504.08,50.09,805.25,46.46
2023-04-01 00:30:46,2023-04-01 00:45:46,70.40,410.83,1540.30,0.57,73.65,811.41,698.83,7.82,64.80,0.00,33.51,49.40,1.95,37.36,50.80,933.43,0.00,0.63,1510.17,1504.08,50.09,805.25,46.46
2023-04-01 00:45:46,2023-04-01 01:00:46,70.40,410.83,1540.30,0.57,73.65,811.41,698.83,7.82,64.80,0.00,33.51,49.40,1.95,37.36,50.80,933.43,0.00,0.63,1510.17,1504.08,50.09,805.25,46.46
2023-04-01 01:00:46,2023-04-01 01:15:46,70.40,410.83,1540.30,0.57,73.65,811.41,698.83,7.82,64.80,0.00,33.51,49.40,1.95,37.36,50.80,933.43,0.00,0.63,1510.17,1504.08,50.09,805.25,46.46
2023-04-01 01:15:46,2023-04-01 01:30:46,70.40,410.83,1540.30,0.57,73.65,811.41,698.83,7.82,64.80,0.00,33.51,49.40,1.95,37.36,50.80,933.43,0.00,0.63,1510.17,1504.08,50.09,805.25,46.46
2023-04-01 01:30:46,2023-04-01 01:45:46,70.40,410.83,1540.30,0.57,73.65,811.41,698.83,7.82,64.80,0.00,33.51,49.40,1.95,37.36,50.80,933.43,0.00,0.63,1510.17,1504.08,50.09,805.25,46.46
2023-04-01 01:45:46,2023-04-01 02:00:46,70.40,410.83,1540.30,0.57,73.65,811.41,698.83,7.82,64.80,0.00,33.51,49.40,1.95,37.36,50.80,933.43,0.00,0.63,1510.17,1504.08,50.09,805.25,46.46
2023-04-01 02:00:46,2023-04-01 02:15:46,70.40,410.83,1540.30,0.57,73.65,811.41,698.83,7.82,64.80,0.00,33.51,49.40,1.95,37.36,50.80,933.43,0.00,0.63,1510.17,1504.08,50.09,805.25,46.46
2023-04-01 02:15:46,2023-04-01 02:30:46,70.40,398.76,1932.01,0.57,74.40,815.53,701.32,5.71,64.80,0.00,33.48,49.41,2.07,37.36,50.64,933.69,0.05,0.60,1516.76,1506.12,49.96,804.80,46.56
2023-04-01 02:30:46,2023-04-01 02:45:46,70.40,396.11,2018.00,0.57,74.57,816.43,701.87,5.25,64.80,0.00,33.48,49.41,2.09,37.36,50.60,933.75,0.06,0.59,1518.21,1506.57,49.93,804.70,46.59
2023-04-01 02:45:46,2023-04-01 03:00:46,70.40,396.11,2018.00,0.57,74.57,816.43,701.87,5.25,64.80,0.00,33.48,49.41,2.09,37.36,50.60,933.75,0.06,0.59,1518.21,1506.57,49.93,804.70,46.59
2023-04-01 03:00:46,2023-04-01 03:15:46,70.40,396.11,2018.00,0.57,74.57,816.43,701.87,5.25,64.80,0.00,33.48,49.41,2.09,37.36,50.60,933.75,0.06,0.59,1518.21,1506.57,49.93,804.70,46.59
2023-04-01 03:15:46,2023-04-01 03:30:46,70.40,396.11,2018.00,0.57,74.57,816.43,701.87,5.25,64.80,0.00,33.48,49.41,2.09,37.36,50.60,933.75,0.06,0.59,1518.21,1506.57,49.93,804.70,46.59
2023-04-01 03:30:46,2023-04-01 03:45:46,70.40,396.11,2018.00,0.57,74.57,816.43,701.87,5.25,64.80,0.00,33.48,49.41,2.09,37.36,50.60,933.75,0.06,0.59,1518.21,1506.57,49.93,804.70,46.59
2023-04-01 03:45:46,2023-04-01 04:00:46,70.40,396.11,2018.00,0.57,74.57,816.43,701.87,5.25,64.80,0.00,33.48,49.41,2.09,37.36,50.60,933.75,0.06,0.59,1518.21,1506.57,49.93,804.70,46.59
2023-04-01 04:00:46,2023-04-01 04:15:46,70.40,396.11,2018.00,0.57,74.57,816.43,701.87,5.25,64.80,0.00,33.48,49.41,2.09,37.36,50.60,933.75,0.06,0.59,1518.21,1506.57,49.93,804.70,46.59
2023-04-01 04:15:46,2023-04-01 04:30:46,70.40,396.11,2018.00,0.57,74.57,816.43,701.87,5.25,64.80,0.00,33.48,49.41,2.09,37.36,50.60,933.75,0.06,0.59,1518.21,1506.57,49.93,804.70,46.59
2023-04-01 04:30:46,2023-04-01 04:45:46,70.40,396.11,2018.00,0.57,74.57,816.43,701.87,5.25,64.80,0.00,33.48,49.41,2.09,37.36,50.60,933.75,0.06,0.59,1518.21,1506.57,49.93,804.70,46.59
2023-04-01 04:45:46,2023-04-01 05:00:46,70.40,396.11,2018.00,0.57,74.57,816.43,701.87,5.25,64.80,0.00,33.48,49.41,2.09,37.36,50.60,933.75,0.06,0.59,1518.21,1506.57,49.93,804.70,46.59
2023-04-01 05:00:46,2023-04-01 05:15:46,70.40,396.11,2018.00,0.57,74.57,816.43,701.87,5.25,64.80,0.00,33.48,49.41,2.09,37.36,50.60,933.75,0.06,0.59,1518.21,1506.57,49.93,804.70,46.59
