From date,To date,MPDB_kW,AIT_400_001B_P.PV,FIT_200_001B_P.PV,FIT_200_002B_P.PV,FIT_200_004B_P.PV,FIT_400_001B_P.PV,FIT_400_002B_P.PV,LT_200_002B_P.PV,P_200_001B_P.RPM_MV,P_200_002B_P.RPM_MV,P_400_001B_P.RPM_MV,P_400_002B_P.RPM_MV,PDIT_200_001B_P.PV,PDIT_400_001B_P.PV,PDIT_400_002B_P.PV,PIT_400_003B_P.PV,PT_200_005B_P.PV,PT_200_006B_P.PV,PT_200B_Tags.Q_Filtrate_PV,Q_400_002B,PT_400_002B_P.PV,Q_400_001B_P.PV,RO_300B_Tags.RO.Recovery
2023-01-01 00:00:00,2023-01-01 00:15:00,70.40,398.88,1499.64,0.57,57.64,804.83,699.77,7.81,66.72,0.00,33.42,49.02,6.42,35.56,49.84,917.23,0.99,0.13,1504.63,1505.24,50.02,805.47,46.49
2023-01-01 00:15:00,2023-01-01 00:30:00,70.40,398.33,1675.38,143.28,57.81,805.39,700.00,3.57,66.82,5.68,33.42,49.02,6.45,35.57,49.86,917.32,0.78,0.00,1505.41,1505.53,49.95,805.53,46.49
2023-01-01 00:30:00,2023-01-01 00:45:00,70.40,399.45,1734.46,0.55,57.87,804.12,700.27,4.98,66.80,0.00,33.44,49.05,6.47,35.59,49.90,918.67,0.08,0.03,1504.38,1506.63,49.93,806.37,46.48
2023-01-01 00:45:00,2023-01-01 01:00:00,70.40,397.39,1546.82,0.58,57.72,805.00,700.21,7.36,66.62,0.00,33.44,49.05,6.49,35.60,49.92,918.66,0.00,0.46,1505.18,1505.59,49.96,805.37,46.51
2023-01-01 01:00:00,2023-01-01 01:15:00,70.40,397.39,1642.81,0.57,57.73,802.43,699.14,7.81,66.62,0.00,33.45,49.07,6.47,35.61,49.91,919.89,0.00,0.38,1501.53,1504.48,49.97,805.35,46.47
2023-01-01 01:15:00,2023-01-01 01:30:00,70.40,397.25,1500.02,0.57,57.76,806.07,700.32,7.81,66.68,0.00,33.41,49.09,6.45,35.56,49.81,920.16,0.00,0.31,1506.36,1505.61,50.00,805.30,46.51
2023-01-01 01:30:00,2023-01-01 01:45:00,70.40,395.96,1596.74,0.57,57.72,806.98,700.29,7.81,66.71,0.00,33.41,49.08,6.41,35.58,49.82,920.23,1.03,0.26,1507.28,1505.76,50.06,805.47,46.51
2023-01-01 01:45:00,2023-01-01 02:00:00,70.40,396.03,1701.90,143.35,57.82,804.56,700.13,3.35,66.85,5.62,33.43,49.13,6.39,35.59,49.85,921.79,0.60,-0.03,1504.75,1505.94,49.98,805.80,46.49
2023-01-01 02:00:00,2023-01-01 02:15:00,70.40,395.44,1793.09,0.57,57.89,803.56,699.66,5.05,66.70,0.00,33.42,49.10,6.35,35.58,49.82,921.38,0.03,0.27,1503.23,1504.74,50.06,805.09,46.50
2023-01-01 02:15:00,2023-01-01 02:30:00,70.40,395.07,1539.58,0.57,57.65,803.22,700.29,7.42,66.61,0.00,33.42,49.12,6.33,35.62,49.86,921.86,0.00,0.53,1503.51,1505.90,49.97,805.60,46.50
2023-01-01 02:30:00,2023-01-01 02:45:00,70.40,394.41,1603.02,0.57,57.63,804.39,699.90,7.81,66.60,0.00,33.44,49.11,6.34,35.60,49.84,921.74,0.00,0.50,1504.29,1505.26,49.98,805.36,46.50
2023-01-01 02:45:00,2023-01-01 03:00:00,70.40,394.42,1561.85,0.57,57.69,805.36,700.37,7.81,66.65,0.00,33.42,49.12,6.36,35.60,49.86,921.88,0.00,0.39,1506.41,1505.88,49.96,805.52,46.51
2023-01-01 03:00:00,2023-01-01 03:15:00,70.40,395.10,1531.92,0.57,57.82,806.52,700.27,7.81,66.62,0.00,33.42,49.12,6.35,35.58,49.81,921.97,0.00,0.40,1506.77,1505.57,50.03,805.30,46.51
2023-01-01 03:15:00,2023-01-01 03:30:00,70.40,395.62,1652.67,0.57,57.74,806.75,700.03,7.81,66.67,0.00,33.41,49.13,6.38,35.59,49.81,922.44,0.00,0.38,1506.80,1505.71,50.04,805.69,46.49
2023-01-01 03:30:00,2023-01-01 03:45:00,70.40,395.83,1509.81,0.57,57.77,804.04,700.34,7.81,66.71,0.00,33.41,49.13,6.34,35.57,49.80,922.72,0.95,0.25,1504.34,1505.86,50.04,805.52,46.51
2023-01-01 03:45:00,2023-01-01 04:00:00,70.40,395.88,1670.41,144.29,57.79,804.41,699.65,3.66,66.79,5.19,33.41,49.14,6.34,35.58,49.80,922.85,0.67,0.16,1504.09,1504.86,49.99,805.22,46.49
2023-01-01 04:00:00,2023-01-01 04:15:00,70.40,395.24,1732.99,0.57,57.98,805.46,699.73,4.85,66.72,0.00,33.42,49.14,6.34,35.59,49.82,922.83,0.01,0.23,1505.22,1505.10,50.01,805.39,46.49
2023-01-01 04:15:00,2023-01-01 04:30:00,70.40,394.06,1544.11,0.57,57.78,807.28,699.98,7.33,66.54,0.00,33.41,49.13,6.36,35.60,49.82,922.47,0.00,0.53,1507.27,1505.33,49.98,805.34,46.50
2023-01-01 04:30:00,2023-01-01 04:45:00,70.40,394.83,1646.67,0.57,57.72,803.53,699.63,7.81,66.51,0.00,33.42,49.17,6.32,35.62,49.85,924.15,0.00,0.50,1503.17,1505.34,50.00,805.70,46.48
2023-01-01 04:45:00,2023-01-01 05:00:00,70.40,393.59,1483.18,0.57,57.73,803.15,700.13,7.81,66.52,0.00,33.42,49.17,6.34,35.61,49.84,924.44,0.00,0.41,1503.33,1505.72,49.98,805.59,46.50
2023-01-01 05:00:00,2023-01-01 05:15:00,70.40,393.45,1634.63,0.57,57.81,805.36,699.94,7.81,66.51,0.00,33.42,49.17,6.34,35.64,49.86,924.44,0.00,0.47,1505.32,1505.86,49.99,805.91,46.48
2023-01-01 05:15:00,2023-01-01 05:30:00,70.40,392.98,1548.69,0.57,57.78,805.88,699.73,7.81,66.58,0.00,33.44,49.19,6.32,35.66,49.87,925.04,0.00,0.35,1505.63,1505.27,50.02,805.53,46.49
2023-01-01 05:30:00,2023-01-01 05:45:00,70.40,392.71,1553.06,0.57,57.72,806.05,700.11,7.81,66.59,0.00,33.43,49.19,6.33,35.67,49.88,925.07,0.56,0.36,1506.17,1505.48,49.97,805.37,46.50
2023-01-01 05:45:00,2023-01-01 06:00:00,70.40,393.45,1687.58,143.01,57.83,803.89,699.93,4.38,66.72,5.89,33.43,49.20,6.31,35.67,49.90,925.51,1.10,0.11,1503.80,1505.54,50.02,805.61,46.49
