From date,To date,FIT_900_002_P.PV,PIT_900_003_P.PV,Added by Frits for calc Power,Added by Frits for calc Power,AIT_100_003_P.PV,AIT_900_006_P.PV,PIT_100_001_P.PV,PT_100_002_P.PV,TIT_100_002_P.PV,AIT_100_001_P.PV,AIT_100_002_P.PV,FIT_100_001_P.PV,P_100_001_1_P.HOURS,P_100_001_2_P.HOURS,CV_900_004_P.CV,FIT_1000_001_P.PV,FIT_900_004_P.PV,FIT_900_005_P.PV,FIT_900_006_P.PV,PIT_900_002_1_P.PV,PIT_900_002_2_P.PV,PDIT_700_001_P.PV,Q_Brine_Pumps,PSCA_kW,PowerDesal_pf,PowerDesal_kVA
2023-01-01 00:00:00,2023-01-01 00:15:00,2110.14,144.48,0.00,54.32,509.42,7728.29,21.53,23.11,57.63,50.04,7.78,4783.45,31114.59,6673.79,0,2602.57,,38.56,,8.78,7.84,0.18,2417.14,49.57,0.98,1810.59
2023-01-01 00:15:00,2023-01-01 00:30:00,2119.18,144.57,0.00,54.44,506.74,7721.50,20.37,21.94,57.60,50.07,7.76,4864.95,31114.59,6674.04,0,2699.06,,38.82,,8.72,7.78,0.18,2413.64,49.20,0.98,1832.06
2023-01-01 00:30:00,2023-01-01 00:45:00,2113.26,144.79,0.00,54.44,505.81,7738.09,14.64,16.14,57.45,50.08,7.77,5339.60,31114.59,6674.29,0,3277.18,,36.94,,8.69,7.75,0.18,2412.86,48.52,0.98,1834.85
2023-01-01 00:45:00,2023-01-01 01:00:00,2117.19,145.02,0.00,54.50,505.28,7769.06,21.70,23.25,57.46,50.15,7.77,4764.52,31114.59,6674.54,0,2493.30,,36.01,,8.73,7.79,0.18,2423.05,49.14,0.98,1835.91
2023-01-01 01:00:00,2023-01-01 01:15:00,2120.54,143.88,0.00,54.37,504.85,7797.07,23.41,25.00,57.55,50.17,7.79,4602.43,31114.59,6674.79,0,2612.74,,35.94,,8.71,7.77,0.18,2415.08,49.33,0.98,1826.16
2023-01-01 01:15:00,2023-01-01 01:30:00,2110.03,144.00,0.00,54.36,504.30,7800.98,22.89,24.48,57.58,50.17,7.78,4668.12,31114.59,6675.04,0,2594.30,,35.82,,8.70,7.76,0.18,2426.35,49.36,0.98,1831.12
2023-01-01 01:30:00,2023-01-01 01:45:00,2113.93,145.80,0.00,54.62,503.99,7781.74,22.53,24.08,57.56,50.16,7.79,4723.88,31114.59,6675.29,0,2648.50,,36.00,,8.73,7.79,0.18,2412.16,49.24,0.98,1836.36
2023-01-01 01:45:00,2023-01-01 02:00:00,2122.23,146.11,0.00,54.72,503.41,7748.88,21.17,22.74,57.62,50.16,7.79,4786.74,31114.59,6675.53,0,2615.47,,36.01,,8.71,7.77,0.18,2412.81,49.42,0.98,1844.79
2023-01-01 02:00:00,2023-01-01 02:15:00,2111.91,145.96,0.00,54.62,502.88,7714.96,15.75,17.26,57.55,50.15,7.79,5293.32,31114.59,6675.78,0,3144.33,,37.19,,8.69,7.75,0.18,2412.60,49.04,0.98,1847.84
2023-01-01 02:15:00,2023-01-01 02:30:00,2114.56,146.29,0.00,54.68,502.44,7701.27,19.34,20.86,57.55,50.17,7.79,5014.99,31114.59,6676.03,0,2692.72,,37.82,,8.73,7.79,0.18,2408.64,48.89,0.98,1839.48
2023-01-01 02:30:00,2023-01-01 02:45:00,2114.16,146.82,0.00,54.78,501.85,7719.30,23.92,25.49,57.59,50.19,7.80,4627.33,31114.59,6676.28,0,2614.43,,38.45,,8.70,7.76,0.18,2412.85,49.45,0.98,1840.15
2023-01-01 02:45:00,2023-01-01 03:00:00,2110.30,147.12,0.00,54.78,501.40,7752.78,22.84,24.41,57.60,50.19,7.80,4737.42,31114.59,6676.53,0,2556.13,,42.55,,8.69,7.75,0.19,2417.87,49.36,0.98,1837.10
2023-01-01 03:00:00,2023-01-01 03:15:00,2097.16,147.23,0.00,54.69,501.20,7783.85,23.62,25.19,57.58,50.19,7.79,4658.86,31114.59,6676.78,0,2614.34,,44.64,,8.70,7.77,0.18,2416.75,48.93,0.98,1846.91
2023-01-01 03:15:00,2023-01-01 03:30:00,2104.51,147.47,0.00,54.80,501.37,7751.00,24.65,26.24,57.59,50.20,7.79,4560.69,31114.59,6677.03,0,2696.53,,45.07,,8.75,7.82,0.18,2415.68,49.14,0.98,1836.09
2023-01-01 03:30:00,2023-01-01 03:45:00,2108.81,147.17,0.00,54.79,501.47,7760.57,23.99,25.58,57.54,50.20,7.78,4641.02,31114.59,6677.28,0,2530.22,,45.34,,8.70,7.77,0.18,2409.94,49.58,0.98,1830.52
2023-01-01 03:45:00,2023-01-01 04:00:00,2097.60,145.51,0.00,54.46,501.37,7734.13,20.58,22.14,57.45,50.18,7.79,4978.64,31114.59,6677.53,0,2558.51,,46.41,,8.70,7.77,0.19,2415.97,49.28,0.98,1825.07
2023-01-01 04:00:00,2023-01-01 04:15:00,2105.95,146.68,0.00,54.70,501.26,7693.20,20.51,22.08,57.34,50.20,7.79,4994.98,31114.59,6677.78,0,3106.24,,48.09,,8.73,7.79,0.18,2414.01,49.29,0.98,1831.45
2023-01-01 04:15:00,2023-01-01 04:30:00,2102.13,148.01,0.00,54.84,500.88,7678.01,20.60,22.14,57.27,50.21,7.79,4997.28,31114.59,6678.02,0,2495.74,,47.93,,8.69,7.75,0.18,2427.61,48.74,0.98,1829.55
2023-01-01 04:30:00,2023-01-01 04:45:00,2099.74,148.52,0.00,54.89,500.11,7700.01,22.80,24.36,57.24,50.23,7.80,4808.06,31114.59,6678.27,0,2843.99,,46.36,,8.73,7.80,0.18,2413.77,49.08,0.98,1829.19
2023-01-01 04:45:00,2023-01-01 05:00:00,2100.36,148.57,0.00,54.91,499.36,7735.83,24.37,25.97,57.28,50.24,7.80,4645.66,31114.59,6678.52,0,2620.93,,48.19,,8.69,7.76,0.19,2417.36,48.82,0.98,1833.39
2023-01-01 05:00:00,2023-01-01 05:15:00,2099.75,148.11,0.00,54.82,499.19,7765.70,22.79,24.35,57.25,50.23,7.80,4816.99,31114.59,6678.77,0,2575.88,,47.27,,8.73,7.80,0.18,2415.89,48.77,0.98,1835.17
2023-01-01 05:15:00,2023-01-01 05:30:00,2103.85,147.19,0.00,54.76,498.79,7770.14,24.16,25.74,57.29,50.24,7.79,4663.94,31114.59,6679.02,0,2554.66,,46.52,,8.72,7.78,0.18,2412.13,48.77,0.98,1836.51
2023-01-01 05:30:00,2023-01-01 05:45:00,2103.02,146.94,0.00,54.73,498.50,7745.64,22.20,23.76,57.23,50.23,7.80,4873.36,31114.59,6679.27,0,2883.47,,46.24,,8.70,7.76,0.18,2414.86,49.13,0.98,1819.31
2023-01-01 05:45:00,2023-01-01 06:00:00,2101.09,146.89,0.00,54.69,498.19,7707.08,20.99,22.56,57.22,50.22,7.79,4976.27,31114.59,6679.52,0,2597.61,,45.80,,8.71,7.77,0.18,2418.69,49.17,0.98,1837.10
2023-01-01 06:00:00,2023-01-01 06:15:00,2105.76,145.70,0.00,54.55,497.91,7671.13,23.15,24.72,57.17,50.24,7.80,4788.15,31114.59,6679.77,0,2752.39,,43.52,,8.71,7.78,0.18,2415.69,48.89,0.98,1835.99
2023-01-01 06:15:00,2023-01-01 06:30:00,2108.24,145.77,0.00,54.57,497.55,7662.74,25.36,26.94,57.22,50.25,7.80,4553.55,31114.59,6680.02,0,2527.78,,41.85,,8.73,7.79,0.18,2423.58,49.42,0.98,1833.19
2023-01-01 06:30:00,2023-01-01 06:45:00,2111.01,146.57,0.00,54.76,496.90,7689.72,22.76,24.34,57.23,50.23,7.80,4802.43,31114.59,6680.27,0,2498.86,,40.32,,8.71,7.77,0.18,2415.00,49.03,0.98,1833.59
2023-01-01 06:45:00,2023-01-01 07:00:00,2110.18,146.60,0.00,54.69,496.49,7729.01,25.25,26.82,57.24,50.24,7.80,4566.53,31114.59,6680.52,0,2658.29,,39.48,,8.74,7.80,0.19,2411.18,49.22,0.98,1840.57
2023-01-01 07:00:00,2023-01-01 07:15:00,2116.29,146.29,0.00,54.73,496.22,7760.76,23.93,25.52,59.35,50.23,7.87,4668.25,31114.59,6680.77,0,2614.36,,38.56,,8.74,7.79,0.18,2413.52,48.66,0.98,1836.49
2023-01-01 07:15:00,2023-01-01 07:30:00,2112.41,146.12,0.00,54.66,496.05,7737.81,18.47,20.03,57.22,50.20,7.81,5148.26,31114.59,6681.01,0,2705.85,,38.45,,8.70,7.76,0.18,2410.72,48.82,0.98,1834.43
2023-01-01 07:30:00,2023-01-01 07:45:00,2110.45,146.01,0.00,54.63,496.07,7655.22,20.34,21.88,57.23,50.23,7.81,5001.04,31114.59,6681.26,0,3046.68,,38.45,,8.72,7.79,0.18,2413.83,48.41,0.98,1828.19
