BoilerGasPurchases,CogenGasPurchases,CombinedDigesterGasFlow,ElectricityGeneration
0,1264.064032,6361.096418,919
0,1304.840291,6361.096418,863
0,1304.840291,6034.886346,882
0,1264.064032,5994.110087,945
0,1223.287773,6075.662605,914
0,1223.287773,6605.753973,912
0,1264.064032,5831.00505,867
0,1345.61655,6157.215123,926
0,1223.287773,5790.228791,890
0,1264.064032,6483.425196,911
0,1264.064032,6687.306491,901
0,1223.287773,6157.215123,926
0,1223.287773,6361.096418,916
0,1304.840291,6809.635268,925
0,1386.392809,6850.411528,890
0,1223.287773,6809.635268,935
0,1264.064032,6687.306491,913
0,1304.840291,6646.530232,905
0,1264.064032,6646.530232,927
0,1264.064032,6687.306491,921
0,1223.287773,6972.740305,903
0,1223.287773,6564.977714,886
0,1304.840291,5953.333828,911
0,1264.064032,6157.215123,896
0,1304.840291,5667.900014,879
0,1264.064032,5260.137423,915
0,1304.840291,5423.242459,915
0,1304.840291,5341.689941,882
0,1304.840291,5137.808646,930
0,1264.064032,4811.598573,889
0,1264.064032,5056.256127,890
0,1264.064032,5056.256127,897
17.488486,1182.511514,5097.032387,867
17.488486,1182.511514,5504.794977,878
302.9223,897.0777,4730.046055,939
343.6985591,856.3014409,4566.941018,853
1200,0,4730.046055,862
1200,0,5056.256127,911
1200,0,5219.361164,816
1200,0,5545.571237,879
1200,0,5341.689941,905
1200,0,5545.571237,961
1200,0,5178.584905,919
1200,0,5871.781309,903
1200,0,5953.333828,944
1200,0,5871.781309,909
1200,0,5790.228791,927
1200,0,5464.018718,910
1200,0,5545.571237,903
1200,0,5667.900014,917
1200,0,5382.4662,886
1200,0,5871.781309,907
1200,0,5708.676273,897
1200,0,5667.900014,966
1200,0,5627.123755,893
1200,0,5300.913682,893
1200,0,5586.347496,953
1200,0,5056.256127,924
1200,0,5300.913682,908
1200,0,5015.479868,935
1200,0,5464.018718,976
1200,0,5464.018718,923
1200,0,5464.018718,895
1200,0,5464.018718,910
1200,0,5341.689941,953
1200,0,4770.822314,595
1200,0,5178.584905,946
1200,0,5341.689941,926
1200,0,5831.00505,959
1200,0,5219.361164,916
1200,0,5382.4662,887
1200,0,5137.808646,840
1200,0,5382.4662,863
1200,0,4485.3885,881
1200,0,5341.689941,863
1200,0,5097.032387,799
1200,0,4770.822314,819
0,1304.840291,5097.032387,840
0,1264.064032,4811.598573,877
0,1304.840291,4893.151091,918
0,1264.064032,5260.137423,939
0,1223.287773,5260.137423,956
0,1264.064032,4240.730946,933
0,1264.064032,4974.703609,889
17.488486,1182.511514,5382.4662,921
0,1223.287773,4933.92735,938
17.488486,1182.511514,4974.703609,896
0,1223.287773,4566.941018,852
0,1223.287773,4526.164759,925
0,1264.064032,4811.598573,914
0,1223.287773,4770.822314,892
0,1223.287773,4363.059723,903
0,1223.287773,4811.598573,909
0,1223.287773,5178.584905,950
0,1223.287773,4648.493537,926
17.488486,1182.511514,5178.584905,919
