From date,To date,MPDA_kW,AIT_400_001A_P.PV,FIT_200_001A_P.PV,FIT_200_002A_P.PV,FIT_200_004A_P.PV,FIT_400_001A_P.PV,FIT_400_002A_P.PV,LT_200_002A_P.PV,P_200_001A_P.RPM_MV,P_200_002A_P.RPM_MV,P_400_001A_P.RPM_MV,P_400_002A_P.RPM_MV,PDIT_200_001A_P.PV,PDIT_400_001A_P.PV,PDIT_400_002A_P.PV,PIT_400_003A_P.PV,PT_200_005A_P.PV,PT_200_006A_P.PV,PT_200A_Tags.Q_Filtrate_PV,Q_400_002A,PT_400_002A_P.PV,Q_400_001A_P.PV,RO_300A_Tags.RO.Recovery
2023-06-01 00:00:46,2023-06-01 00:15:46,0,472.40,1622.82,130.78,33.65,803.20,699.88,4.62,67.00,6.14,33.94,49.53,7.24,38.61,48.48,929.29,0.88,0.05,1503.09,1504.80,45.80,804.93,46.51
2023-06-01 00:15:46,2023-06-01 00:30:46,0,473.71,1714.11,0.47,17.10,803.84,699.65,2.85,67.00,0.00,33.94,49.49,7.26,38.59,48.51,927.87,0.00,-0.03,1503.52,1505.22,45.97,805.58,46.48
2023-06-01 00:30:46,2023-06-01 00:45:46,0,475.55,1703.70,0.47,74.87,803.00,700.44,4.97,67.00,0.00,33.95,49.53,7.27,38.58,48.50,929.03,0.00,0.29,1503.42,1505.88,45.48,805.44,46.51
2023-06-01 00:45:46,2023-06-01 01:00:46,0,474.34,1394.73,0.47,23.75,808.70,700.30,7.25,67.00,0.00,33.96,49.48,7.31,38.57,48.52,927.30,0.00,0.27,1508.97,1506.08,46.13,805.77,46.50
2023-06-01 01:00:46,2023-06-01 01:15:46,0,474.46,1494.24,0.47,0.08,809.59,699.78,7.44,67.00,0.00,33.97,49.45,7.34,38.59,48.54,926.16,0.00,0.16,1509.35,1505.27,46.23,805.49,46.49
2023-06-01 01:15:46,2023-06-01 01:30:46,0,473.25,1581.36,0.49,0.07,809.00,700.15,7.49,67.00,0.00,33.96,49.45,7.37,38.60,48.53,926.25,0.00,0.26,1509.16,1505.67,46.31,805.52,46.50
2023-06-01 01:30:46,2023-06-01 01:45:46,0,473.98,1402.76,0.47,0.04,804.08,699.52,7.55,67.00,0.00,33.95,49.48,7.32,38.59,48.51,927.79,0.00,0.29,1503.60,1504.89,46.48,805.37,46.48
2023-06-01 01:45:46,2023-06-01 02:00:46,0,474.96,1479.33,0.47,0.07,801.44,699.94,7.61,67.00,0.00,33.95,49.49,7.33,38.58,48.51,928.39,0.00,0.14,1501.33,1505.34,46.35,805.39,46.50
2023-06-01 02:00:46,2023-06-01 02:15:46,0,474.31,1583.29,0.46,0.08,803.19,700.18,7.67,67.00,0.00,33.95,49.50,7.37,38.60,48.52,928.52,0.00,0.24,1503.37,1505.68,46.36,805.50,46.50
2023-06-01 02:15:46,2023-06-01 02:30:46,0,474.38,1392.45,0.46,0.09,804.28,700.13,7.74,67.00,0.00,33.97,49.50,7.38,38.59,48.52,928.55,0.89,0.15,1504.37,1505.85,46.27,805.73,46.49
