From date,To date,MPDC_kW,AIT_400_001C_P.PV,FIT_200_001C_P.PV,FIT_200_002C_P.PV,FIT_200_004C_P.PV,FIT_400_001C_P.PV,FIT_400_002C_P.PV,LT_200_002C_P.PV,P_200_001C_P.RPM_MV,P_200_002C_P.RPM_MV,P_400_001C_P.RPM_MV,P_400_002C_P.RPM_MV,PDIT_200_001C_P.PV,PDIT_400_001C_P.PV,PDIT_400_002C_P.PV,PIT_400_003C_P.PV,PT_200_005C_P.PV,PT_200_006C_P.PV,PT_200C_Tags.Q_Filtrate_PV,PT_200C_Tags.Q_RO_Feed_PV,PT_400_002C_P.PV,Q_400_001C_P.PV,RO_300C_Tags.RO.Recovery
2023-06-01 00:00:46,2023-06-01 00:15:46,0,0.71,0.69,0.58,0.07,0.31,0.20,6.38,0,0,0,0,0,0.53,0.00,1.83,0.01,1.52,0.49,0.20,0.99,0.00,0
2023-06-01 00:15:46,2023-06-01 00:30:46,0,0.71,0.76,0.62,0.07,0.34,0.22,6.38,0,0,0,0,0,0.53,0.00,1.84,0.01,1.52,0.56,0.22,0.99,0.00,0
2023-06-01 00:30:46,2023-06-01 00:45:46,0,0.71,0.71,0.63,0.06,0.30,0.22,6.38,0,0,0,0,0,0.53,0.00,1.84,0.01,1.52,0.51,0.22,0.99,0.00,0
2023-06-01 00:45:46,2023-06-01 01:00:46,0,0.71,0.70,0.63,0.09,0.27,0.25,6.38,0,0,0,0,0,0.53,0.00,1.81,0.01,1.52,0.55,0.25,0.99,0.00,0
2023-06-01 01:00:46,2023-06-01 01:15:46,0,0.71,0.71,0.67,0.07,0.28,0.21,6.38,0,0,0,0,0,0.53,0.00,1.84,0.01,1.52,0.49,0.21,0.99,0.00,0
2023-06-01 01:15:46,2023-06-01 01:30:46,0,0.69,0.80,0.60,0.09,0.32,0.22,6.38,0,0,0,0,0,0.53,0.00,1.81,0.01,1.52,0.49,0.22,0.99,0.00,0
2023-06-01 01:30:46,2023-06-01 01:45:46,0,0.71,0.73,0.62,0.09,0.28,0.19,6.38,0,0,0,0,0,0.53,0.00,1.79,0.01,1.52,0.49,0.19,0.99,0.00,0
2023-06-01 01:45:46,2023-06-01 02:00:46,0,0.71,0.76,0.63,0.10,0.22,0.16,6.38,0,0,0,0,0,0.53,0.00,1.78,0.01,1.52,0.44,0.16,0.99,0.00,0
2023-06-01 02:00:46,2023-06-01 02:15:46,0,0.71,0.71,0.62,0.07,0.37,0.23,6.38,0,0,0,0,0,0.53,0.00,1.77,0.01,1.52,0.58,0.23,0.99,0.00,0
2023-06-01 02:15:46,2023-06-01 02:30:46,0,0.71,0.77,0.58,0.09,0.26,0.22,6.38,0,0,0,0,0,0.53,0.00,1.76,0.01,1.52,0.48,0.22,0.99,0.00,0
2023-06-01 02:30:46,2023-06-01 02:45:46,0,0.71,0.67,0.69,0.08,0.32,0.20,6.38,0,0,0,0,0,0.53,0.00,1.75,0.01,1.52,0.49,0.20,0.99,0.00,0
