From date,To date,FIT_900_002_P.PV,PIT_900_003_P.PV,Added by Frits for calc Power,Added by Frits for calc Power,AIT_100_003_P.PV,AIT_900_006_P.PV,PIT_100_001_P.PV,PT_100_002_P.PV,TIT_100_002_P.PV,AIT_100_001_P.PV,AIT_100_002_P.PV,FIT_100_001_P.PV,P_100_001_1_P.HOURS,P_100_001_2_P.HOURS,CV_900_004_P.CV,FIT_1000_001_P.PV,FIT_900_004_P.PV,FIT_900_005_P.PV,FIT_900_006_P.PV,PIT_900_002_1_P.PV,PIT_900_002_2_P.PV,PDIT_700_001_P.PV,Q_Brine_Pumps,PSCA_kW,PowerDesal_pf,PowerDesal_kVA
2023-06-01 00:00:46,2023-06-01 00:15:46,1398.25,136.67,48.64,0.00,508.69,7757.41,28.58,30.18,56.46,50.42,7.80,4723.01,31114.61,8808.42,0.00,3083.27,,32.60,,9.07,8.93,0.19,1608.26,48.99,0.98,1297.32
2023-06-01 00:15:46,2023-06-01 00:30:46,1391.72,138.93,48.98,0.00,509.21,7743.72,28.87,30.35,56.44,50.42,8.04,4681.34,31114.61,8808.67,0.00,3535.83,,32.85,,9.07,8.92,0.19,1610.11,49.16,0.98,1334.42
2023-06-01 00:30:46,2023-06-01 00:45:46,1370.93,139.97,49.00,0.00,510.24,7728.05,28.20,29.59,56.50,50.43,7.83,4760.85,31114.61,8808.92,0.00,3171.19,,31.74,,9.16,9.00,0.20,1614.26,49.20,0.98,1270.15
2023-06-01 00:45:46,2023-06-01 01:00:46,1353.45,140.66,49.00,0.00,511.42,7712.28,29.26,30.77,56.41,50.42,7.81,4564.90,31114.61,8809.17,0.00,3184.96,,31.09,,9.17,9.00,0.19,1611.78,49.33,0.98,1306.85
2023-06-01 01:00:46,2023-06-01 01:15:46,1348.21,140.90,49.00,0.00,512.46,7706.84,28.47,29.98,56.38,50.42,7.79,4693.50,31114.61,8809.42,0.00,3398.94,,31.18,,9.17,9.01,0.19,1615.03,48.93,0.98,1329.35
2023-06-01 01:15:46,2023-06-01 01:30:46,1346.31,140.98,49.00,0.00,512.92,7710.64,28.95,30.35,56.36,50.44,7.77,4611.55,31114.61,8809.67,0.00,3150.39,,30.82,,9.18,9.01,0.19,1614.20,48.97,0.98,1281.14
2023-06-01 01:30:46,2023-06-01 01:45:46,1343.85,141.09,49.00,0.00,512.72,7714.61,29.45,30.99,56.32,50.43,7.76,4506.26,31114.61,8809.92,0.00,3114.27,,28.07,,9.18,9.01,0.19,1609.69,49.07,0.98,1249.75
2023-06-01 01:45:46,2023-06-01 02:00:46,1343.24,141.09,49.00,0.00,512.22,7721.25,29.62,31.13,56.31,50.44,7.75,4455.24,31114.61,8810.16,0.00,3170.52,,26.94,,9.18,9.01,0.19,1607.37,49.31,0.98,1232.67
2023-06-01 02:00:46,2023-06-01 02:15:46,1347.19,141.03,49.00,0.00,512.04,7727.45,28.49,29.98,56.35,50.43,7.74,4637.89,31114.61,8810.41,0.00,3079.46,,26.14,,9.18,9.01,0.19,1604.75,49.09,0.98,1255.11
2023-06-01 02:15:46,2023-06-01 02:30:46,1344.20,141.09,49.00,0.00,512.00,7735.02,29.44,30.95,56.54,50.46,7.75,4472.61,31114.61,8810.66,0.00,3150.10,,24.90,,9.18,9.01,0.19,1607.28,49.01,0.98,1274.95
