From date,To date,MPDB_kW,AIT_400_001B_P.PV,FIT_200_001B_P.PV,FIT_200_002B_P.PV,FIT_200_004B_P.PV,FIT_400_001B_P.PV,FIT_400_002B_P.PV,LT_200_002B_P.PV,P_200_001B_P.RPM_MV,P_200_002B_P.RPM_MV,P_400_001B_P.RPM_MV,P_400_002B_P.RPM_MV,PDIT_200_001B_P.PV,PDIT_400_001B_P.PV,PDIT_400_002B_P.PV,PIT_400_003B_P.PV,PT_200_005B_P.PV,PT_200_006B_P.PV,PT_200B_Tags.Q_Filtrate_PV,Q_400_002B,PT_400_002B_P.PV,Q_400_001B_P.PV,RO_300B_Tags.RO.Recovery
2023-06-01 00:00:46,2023-06-01 00:15:46,0,395.96,1676.66,0.57,93.09,804.56,700.52,7.83,66.90,0.00,33.80,49.45,6.00,38.48,51.90,938.30,0.00,0.51,1505.10,1506.04,50.03,805.53,46.51
2023-06-01 00:15:46,2023-06-01 00:30:46,0,396.88,1535.86,0.57,93.16,806.82,700.21,7.83,66.94,0.00,33.81,49.41,6.01,38.43,51.88,936.34,0.00,0.50,1507.01,1505.30,49.99,805.09,46.52
2023-06-01 00:30:46,2023-06-01 00:45:46,0,397.58,1644.82,0.57,93.24,807.43,699.96,7.83,66.98,0.00,33.81,49.39,6.04,38.43,51.89,935.61,1.02,0.45,1507.39,1505.28,50.03,805.32,46.50
2023-06-01 00:45:46,2023-06-01 01:00:46,0,398.91,1723.84,152.52,93.48,803.54,699.75,4.10,67.00,6.04,33.80,49.42,5.99,38.43,51.88,936.82,0.77,0.25,1503.31,1505.31,49.91,805.56,46.49
2023-06-01 01:00:46,2023-06-01 01:15:46,0,398.32,1773.97,0.57,93.39,807.01,700.45,6.57,66.96,0.00,33.82,49.39,6.02,38.42,51.90,935.46,0.02,0.36,1507.44,1506.17,50.00,805.71,46.51
2023-06-01 01:15:46,2023-06-01 01:30:46,0,397.50,1595.45,0.55,93.22,806.47,699.26,7.83,66.79,0.00,33.80,49.39,6.05,38.43,51.89,935.85,0.00,0.67,1505.74,1504.74,49.98,805.48,46.47
2023-06-01 01:30:46,2023-06-01 01:45:46,0,397.98,1656.70,0.57,93.53,805.17,700.06,7.83,66.80,0.00,33.79,49.41,6.02,38.43,51.86,936.61,0.00,0.58,1505.23,1505.55,50.03,805.49,46.50
2023-06-01 01:45:46,2023-06-01 02:00:46,0,397.91,1528.24,0.58,93.23,805.03,700.21,7.83,66.81,0.00,33.80,49.41,6.04,38.42,51.87,936.49,0.00,0.58,1505.21,1505.66,50.06,805.44,46.51
2023-06-01 02:00:46,2023-06-01 02:15:46,0,397.13,1637.74,0.57,93.24,806.34,700.24,7.83,66.81,0.00,33.80,49.41,6.08,38.44,51.90,936.45,0.00,0.61,1506.59,1505.78,49.99,805.54,46.50
2023-06-01 02:15:46,2023-06-01 02:30:46,0,397.23,1640.99,0.57,93.25,805.74,700.66,7.83,66.88,0.00,33.81,49.40,6.09,38.44,51.90,936.37,0.00,0.52,1506.40,1506.49,49.96,805.83,46.51
