,"SUM(900, 1000)",FIT_100_001_P.PV,FIT_900_002_P.PV,FIT_1000_001_P.PV
0,3930.15,3876.0,1392.15,2538.0
1,3869.14,3824.82,1397.19,2471.95
2,3931.34,3925.04,1398.4,2532.94
3,3838.5200000000004,3820.32,1401.64,2436.88
4,3932.96,3925.9,1407.47,2525.49
5,3793.4900000000002,3791.92,1400.73,2392.76
6,3932.8900000000003,3956.11,1404.09,2528.8
7,3842.4700000000003,3789.79,1410.92,2431.55
8,3878.7299999999996,3961.04,1402.8,2475.93
9,3835.2699999999995,3794.57,1408.03,2427.24
10,3897.92,3826.57,1407.21,2490.71
11,3828.42,3867.11,1407.4,2421.02
12,3853.67,3839.9,1407.72,2445.95
13,3921.38,3957.58,1405.5,2515.88
14,3914.3500000000004,3883.16,1404.16,2510.19
15,3853.38,3941.67,1406.23,2447.15
16,3912.5,3885.84,1396.13,2516.37
17,3776.26,3954.58,1399.42,2376.84
18,3686.13,3760.55,1400.32,2285.81
19,3743.37,3734.79,969.52,2773.85
20,5374.75,4131.84,1398.29,3976.46
21,5133.53,2957.22,1398.29,3735.24
22,1897.25,3942.5299999999997,1398.29,498.96
23,4772.469999999999,3942.5299999999997,1398.29,3374.18
24,4772.469999999999,3942.5299999999997,1398.29,3374.18
25,4772.469999999999,3942.5299999999997,1398.29,3374.18
26,4772.469999999999,3942.5299999999997,1398.29,3374.18
27,4772.469999999999,3942.5299999999997,1398.29,3374.18
28,4772.469999999999,3942.5299999999997,1398.29,3374.18
29,4772.469999999999,3942.5299999999997,1398.29,3374.18
30,4772.469999999999,3942.5299999999997,1398.29,3374.18
31,4772.469999999999,3942.5299999999997,1398.29,3374.18
32,4772.469999999999,3942.5299999999997,1398.29,3374.18
33,4772.469999999999,3942.5299999999997,1398.29,3374.18
34,4772.469999999999,3942.5299999999997,1398.29,3374.18
35,4772.469999999999,3942.5299999999997,1398.29,3374.18
36,4772.469999999999,3942.5299999999997,1398.29,3374.18
37,4772.469999999999,3942.5299999999997,1398.29,3374.18
38,4772.469999999999,3942.5299999999997,1398.29,3374.18
39,4772.469999999999,3942.5299999999997,1398.29,3374.18
40,4772.469999999999,3942.5299999999997,1398.29,3374.18
41,4772.469999999999,3942.5299999999997,1398.29,3374.18
42,4772.469999999999,3942.5299999999997,1398.29,3374.18
43,4772.469999999999,3942.5299999999997,1398.29,3374.18
44,4772.469999999999,3942.5299999999997,1398.29,3374.18
45,4772.469999999999,3942.5299999999997,1398.29,3374.18
46,4772.469999999999,3942.5299999999997,1398.29,3374.18
47,4772.469999999999,3942.5299999999997,1398.29,3374.18
48,4772.469999999999,3942.5299999999997,1398.29,3374.18
49,4772.469999999999,3942.5299999999997,1398.29,3374.18
50,4772.469999999999,3942.5299999999997,1398.29,3374.18
51,4772.469999999999,3942.5299999999997,1398.29,3374.18
52,4772.469999999999,3942.5299999999997,1398.29,3374.18
53,4772.469999999999,3942.5299999999997,1398.29,3374.18
54,4772.469999999999,3942.5299999999997,1398.29,3374.18
55,4772.469999999999,3942.5299999999997,1398.29,3374.18
56,4772.469999999999,3942.5299999999997,1398.29,3374.18
57,4772.469999999999,3942.5299999999997,1398.29,3374.18
58,4772.469999999999,3942.5299999999997,1398.29,3374.18
59,4772.469999999999,3942.5299999999997,1398.29,3374.18
60,4772.469999999999,3942.5299999999997,1398.29,3374.18
61,4772.469999999999,3942.5299999999997,1398.29,3374.18
62,4772.469999999999,3942.5299999999997,1398.29,3374.18
63,4772.469999999999,3942.5299999999997,1398.29,3374.18
64,4772.469999999999,3942.5299999999997,1398.29,3374.18
65,4772.469999999999,3942.5299999999997,1398.29,3374.18
66,4772.469999999999,3942.5299999999997,1398.29,3374.18
67,4772.469999999999,3942.5299999999997,1398.29,3374.18
68,4772.469999999999,3942.5299999999997,1398.29,3374.18
69,4772.469999999999,3942.5299999999997,1398.29,3374.18
70,4772.469999999999,3942.5299999999997,1398.29,3374.18
71,4772.469999999999,3942.5299999999997,1398.29,3374.18
72,4772.469999999999,3942.5299999999997,1398.29,3374.18
73,4772.469999999999,3942.5299999999997,1398.29,3374.18
74,4772.469999999999,3942.5299999999997,1398.29,3374.18
75,4772.469999999999,3942.5299999999997,1398.29,3374.18
76,4772.469999999999,3942.5299999999997,1398.29,3374.18
