,"SUM(900, 1000)",FIT_100_001_P.PV,FIT_900_002_P.PV,FIT_1000_001_P.PV
0,4481.52,4723.01,1398.25,3083.27
1,4927.55,4681.34,1391.72,3535.83
2,4542.12,4760.85,1370.93,3171.19
3,4538.41,4564.9,1353.45,3184.96
4,4747.15,4693.5,1348.21,3398.94
5,4496.7,4611.55,1346.31,3150.39
6,4458.12,4506.26,1343.85,3114.27
7,4513.76,4455.24,1343.24,3170.52
8,4426.65,4637.89,1347.19,3079.46
9,4494.3,4472.61,1344.2,3150.1
10,4527.54,4548.52,1342.99,3184.55
11,4908.360000000001,4867.37,1344.65,3563.71
12,4761.71,4770.63,1343.94,3417.77
13,4633.17,4489.96,1344.04,3289.13
14,4486.74,4616.47,1341.83,3144.91
15,4543.3,4639.0,1342.3,3201.0
16,4903.25,4749.32,1346.77,3556.48
17,4517.52,4693.67,1350.14,3167.38
18,4598.7,4500.79,1354.02,3244.68
19,4653.700000000001,4747.91,1367.19,3286.51
20,4564.46,4557.42,1439.06,3125.4
21,4473.6900000000005,4440.2,1277.68,3196.01
22,4584.04,4596.61,1314.45,3269.59
23,4469.86,4573.81,1347.37,3122.49
24,4491.38,4446.26,1379.15,3112.23
25,3824.44,3800.47,1397.06,2427.38
26,3756.28,3754.82,1398.96,2357.32
27,3771.46,3811.95,1390.24,2381.22
28,4056.1000000000004,3950.43,1399.3,2656.8
29,3827.4500000000003,3896.24,1394.94,2432.51
30,4149.98,4165.64,1392.11,2757.87
31,3792.6499999999996,3823.3,1398.66,2393.99
32,3777.74,3791.21,1396.02,2381.72
33,3934.9900000000002,3974.23,1401.73,2533.26
34,3799.38,3741.96,1404.05,2395.33
35,3330.04,3738.91,1407.17,1922.87
36,3996.87,4078.61,1408.15,2588.72
37,4234.99,3987.31,1405.87,2829.12
38,3948.21,4067.53,1407.02,2541.19
39,3919.12,3824.37,1413.02,2506.1
40,3909.8,3831.36,1358.32,2551.48
41,3845.3399999999997,3933.68,1404.6,2440.74
42,4155.75,4109.79,1409.61,2746.14
43,3830.0,3859.16,1403.86,2426.14
44,3842.69,3768.08,1409.37,2433.32
45,3771.4,3864.93,1402.62,2368.78
46,4006.66,4026.57,1406.25,2600.41
47,4219.6900000000005,3998.74,1403.38,2816.31
48,3865.51,4035.81,1398.82,2466.69
49,3984.12,3852.46,1401.52,2582.6
50,3820.09,3824.73,1394.53,2425.56
51,3818.95,3843.14,1397.77,2421.18
52,3999.41,3902.2,1397.37,2602.04
53,4079.2799999999997,4097.98,1396.1,2683.18
54,3783.28,3747.34,1395.19,2388.09
55,3796.9700000000003,3693.45,1394.76,2402.21
56,3837.09,4033.47,1397.24,2439.85
57,3972.93,3893.91,1395.5,2577.43
58,3766.0600000000004,3740.32,1395.8,2370.26
59,3816.7999999999997,3939.83,1400.31,2416.49
60,3901.45,3804.19,1397.72,2503.73
