,FIT_400_001B_P.PV,FIT_400_002B_P.PV,Q_400_001B_P.PV
0,734.06,700.19,804.87
1,736.89,700.25,805.26
2,736.01,700.55,805.35
3,738.12,699.77,805.85
4,738.74,700.52,805.76
5,738.44,700.24,805.35
6,739.25,700.06,805.24
7,738.84,700.01,805.07
8,737.3,700.06,805.48
9,737.33,699.91,805.39
10,737.39,699.87,805.21
11,736.2,700.09,805.48
12,737.91,699.89,805.35
13,737.51,700.6,805.54
14,739.98,700.28,805.22
15,738.83,699.7,805.41
16,737.52,699.73,805.55
17,737.32,699.77,805.54
18,741.65,700.99,805.23
19,739.42,700.18,805.02
20,738.79,701.21,805.24
21,521.88,699.97,488.29
22,804.88,699.97,805.37
23,804.88,699.97,805.37
24,804.88,699.97,805.37
25,804.88,699.97,805.37
26,804.88,699.97,805.37
27,804.88,699.97,805.37
28,804.88,699.97,805.37
29,804.88,699.97,805.37
30,804.88,699.97,805.37
31,804.88,699.97,805.37
32,804.88,699.97,805.37
33,804.88,699.97,805.37
34,804.88,699.97,805.37
35,804.88,699.97,805.37
36,804.88,699.97,805.37
37,804.88,699.97,805.37
38,804.88,699.97,805.37
39,804.88,699.97,805.37
40,804.88,699.97,805.37
41,804.88,699.97,805.37
42,804.88,699.97,805.37
43,804.88,699.97,805.37
44,804.88,699.97,805.37
45,804.88,699.97,805.37
46,804.88,699.97,805.37
47,804.88,699.97,805.37
48,804.88,699.97,805.37
49,804.88,699.97,805.37
50,804.88,699.97,805.37
51,804.88,699.97,805.37
52,804.88,699.97,805.37
53,804.88,699.97,805.37
54,804.88,699.97,805.37
55,804.88,699.97,805.37
56,804.88,699.97,805.37
57,804.88,699.97,805.37
58,804.88,699.97,805.37
59,804.88,699.97,805.37
60,804.88,699.97,805.37
61,804.88,699.97,805.37
62,804.88,699.97,805.37
63,804.88,699.97,805.37
64,804.88,699.97,805.37
65,804.88,699.97,805.37
66,804.88,699.97,805.37
67,804.88,699.97,805.37
68,804.88,699.97,805.37
69,804.88,699.97,805.37
70,804.88,699.97,805.37
71,804.88,699.97,805.37
72,804.88,699.97,805.37
73,804.88,699.97,805.37
74,804.88,699.97,805.37
75,804.88,699.97,805.37
76,804.88,699.97,805.37
77,804.88,699.97,805.37
78,804.88,699.97,805.37
79,804.88,699.97,805.37
80,804.88,699.97,805.37
81,804.88,699.97,805.37
82,804.88,699.97,805.37
83,804.88,699.97,805.37
84,804.88,699.97,805.37
85,804.88,699.97,805.37
86,804.88,699.97,805.37
87,804.88,699.97,805.37
88,804.88,699.97,805.37
89,804.88,699.97,805.37
90,804.88,699.97,805.37
91,804.88,699.97,805.37
92,804.88,699.97,805.37
93,804.88,699.97,805.37
94,804.88,699.97,805.37
95,804.88,699.97,805.37
96,804.88,699.97,805.37
97,804.88,699.97,805.37
98,804.88,699.97,805.37
99,804.88,699.97,805.37
100,804.88,699.97,805.37
101,804.88,699.97,805.37
102,804.88,699.97,805.37
103,804.88,699.97,805.37
104,804.88,699.97,805.37
105,804.88,699.97,805.37
106,804.88,699.97,805.37
107,804.88,699.97,805.37
108,804.88,699.97,805.37
109,804.88,699.97,805.37
110,804.88,699.97,805.37
111,804.88,699.97,805.37
112,804.88,699.97,805.37
113,804.88,699.97,805.37
114,804.88,699.97,805.37
115,804.88,699.97,805.37
116,804.88,699.97,805.37
117,804.88,699.97,805.37
118,804.88,699.97,805.37
119,804.88,699.97,805.37
120,804.88,699.97,805.37
121,804.88,699.97,805.37
122,804.88,699.97,805.37
123,804.88,699.97,805.37
124,804.88,699.97,805.37
125,804.88,699.97,805.37
126,804.88,699.97,805.37
127,804.88,699.97,805.37
128,804.88,699.97,805.37
129,804.88,699.97,805.37
130,804.88,699.97,805.37
131,804.88,699.97,805.37
132,804.88,699.97,805.37
133,804.88,699.97,805.37
134,804.88,699.97,805.37
135,804.88,699.97,805.37
136,804.88,699.97,805.37
137,804.88,699.97,805.37
138,804.88,699.97,805.37
139,804.88,699.97,805.37
140,804.88,699.97,805.37
141,804.88,699.97,805.37
142,804.88,699.97,805.37
143,804.88,699.97,805.37
144,804.88,699.97,805.37
145,804.88,699.97,805.37
146,804.88,699.97,805.37
147,804.88,699.97,805.37
148,804.88,699.97,805.37
149,804.88,699.97,805.37
150,804.88,699.97,805.37
151,804.88,699.97,805.37
152,804.88,699.97,805.37
153,804.88,699.97,805.37
154,804.88,699.97,805.37
155,804.88,699.97,805.37
156,804.88,699.97,805.37
157,804.88,699.97,805.37
158,804.88,699.97,805.37
159,804.88,699.97,805.37
160,804.88,699.97,805.37
161,804.88,699.97,805.37
162,804.88,699.97,805.37
163,804.88,699.97,805.37
164,804.88,699.97,805.37
165,804.88,699.97,805.37
166,804.88,699.97,805.37
167,804.88,699.97,805.37
168,804.88,699.97,805.37
169,804.88,699.97,805.37
170,804.88,699.97,805.37
171,804.88,699.97,805.37
172,804.88,699.97,805.37
173,804.88,699.97,805.37
174,804.88,699.97,805.37
175,804.88,699.97,805.37
176,804.88,699.97,805.37
177,804.88,699.97,805.37
178,804.88,699.97,805.37
179,804.88,699.97,805.37
180,804.88,699.97,805.37
181,804.88,699.97,805.37
182,804.88,699.97,805.37
