,"SUM(900, 1000)",FIT_100_001_P.PV,FIT_900_002_P.PV,FIT_1000_001_P.PV
0,5367.325,4955.15,1391.955,3975.37
1,5367.325,4992.42,1391.955,3975.37
2,5367.325,4992.42,1391.955,3975.37
3,5367.325,4992.42,1391.955,3975.37
4,5367.325,4992.42,1391.955,3975.37
5,5367.325,4992.42,1391.955,3975.37
6,5367.325,4992.42,1391.955,3975.37
7,5367.325,4992.42,1391.955,3975.37
8,5367.325,4992.42,1391.955,3975.37
9,5367.325,5121.14,1391.955,3975.37
10,5367.325,5149.4,1391.955,3975.37
11,5367.325,5149.4,1391.955,3975.37
12,5367.325,5149.4,1391.955,3975.37
13,5367.325,5149.4,1391.955,3975.37
14,5367.325,5149.4,1391.955,3975.37
15,5367.325,5149.4,1391.955,3975.37
16,5367.325,5149.4,1391.955,3975.37
17,5367.325,5149.4,1391.955,3975.37
18,5367.325,5149.4,1391.955,3975.37
19,5367.325,5149.4,1391.955,3975.37
20,5367.325,5149.4,1391.955,3975.37
21,5367.325,5149.4,1391.955,3975.37
22,5367.325,5149.4,1391.955,3975.37
23,5367.325,5149.4,1391.955,3975.37
24,5367.325,5149.4,1391.955,3975.37
25,5367.325,5149.4,1391.955,3975.37
26,5367.325,5149.4,1391.955,3975.37
27,5367.325,5149.4,1391.955,3975.37
28,5367.325,5149.4,1391.955,3975.37
29,5367.325,5149.4,1391.955,3975.37
30,5367.325,5149.4,1391.955,3975.37
31,5367.325,5149.4,1391.955,3975.37
32,5367.325,5149.4,1391.955,3975.37
33,5367.325,5149.4,1391.955,3975.37
34,5367.325,5149.4,1391.955,3975.37
35,5367.325,5149.4,1391.955,3975.37
36,5367.325,5149.4,1391.955,3975.37
37,5367.325,5149.4,1391.955,3975.37
38,5367.325,5149.4,1391.955,3975.37
39,5367.325,5149.4,1391.955,3975.37
40,5367.325,5149.4,1391.955,3975.37
41,5367.325,5149.4,1391.955,3975.37
42,5367.325,5149.4,1391.955,3975.37
43,5367.325,5149.4,1391.955,3975.37
44,5367.325,5149.4,1391.955,3975.37
45,5367.325,5149.4,1391.955,3975.37
46,5367.325,5149.4,1391.955,3975.37
47,5367.325,5149.4,1391.955,3975.37
48,5367.325,5149.4,1391.955,3975.37
49,5367.325,5149.4,1391.955,3975.37
50,5367.325,4845.68,1391.955,3975.37
51,5367.325,4370.51,1391.955,3975.37
52,5367.325,4346.39,1391.955,3975.37
53,5367.325,4404.17,1391.955,3975.37
54,5367.325,4218.73,1391.955,3975.37
55,5367.325,4725.99,1391.955,3975.37
56,5367.325,4367.48,1391.955,3975.37
57,5367.325,4798.6,1391.955,3975.37
58,5367.325,3756.7,1391.955,3975.37
59,5367.325,3801.19,1391.955,3975.37
60,5367.325,3892.88,1391.955,3975.37
61,5367.325,3837.2,1391.955,3975.37
62,5367.325,3987.81,1391.955,3975.37
63,5367.325,3965.04,1391.955,3975.37
64,5367.325,3779.55,1391.955,3975.37
65,5367.325,3803.08,1391.955,3975.37
66,5367.325,3904.89,1391.955,3975.37
67,5367.325,3905.71,1391.955,3975.37
68,5367.325,3844.17,1391.955,3975.37
69,5367.325,3853.43,1391.955,3975.37
70,5367.325,4044.64,1391.955,3975.37
71,5367.325,3771.7,1391.955,3975.37
72,5367.325,4009.56,1391.955,3975.37
73,5367.325,3878.58,1391.955,3975.37
74,5367.325,3807.09,1391.955,3975.37
75,5367.325,3928.9,1391.955,3975.37
76,5367.325,3852.69,1391.955,3975.37
77,5367.325,3752.05,1391.955,3975.37
78,5367.325,3999.42,1391.955,3975.37
79,5367.325,3696.54,1391.955,3975.37
80,5367.325,3945.97,1391.955,3975.37
81,5367.325,3861.09,1391.955,3975.37
82,5367.325,3744.09,1391.955,3975.37
83,5367.325,3906.49,1391.955,3975.37
84,5367.325,3895.76,1391.955,3975.37
85,5367.325,3902.3,1391.955,3975.37
86,5367.325,3963.24,1391.955,3975.37
87,5367.325,3897.05,1391.955,3975.37
88,5367.325,3689.0,1391.955,3975.37
89,5367.325,4000.77,1391.955,3975.37
90,5367.325,3849.64,1391.955,3975.37
91,5367.325,3720.86,1391.955,3975.37
92,5367.325,3804.71,1391.955,3975.37
93,5367.325,4015.39,1391.955,3975.37
94,5367.325,3801.69,1391.955,3975.37
95,5367.325,3990.19,1391.955,3975.37
96,3848.625,3816.57,1391.955,2456.67
97,5305.785,3981.47,1391.955,3913.83
98,5217.365,3869.27,1391.955,3825.41
99,5217.865,3884.35,1391.955,3825.91
100,5266.695,3952.4,1391.955,3874.74
101,5243.795,3840.55,1391.955,3851.84
102,5204.775,4053.48,1391.955,3812.82
103,4966.165,3716.75,1391.955,3574.21
104,5448.075,3887.0,1391.955,4056.12
105,5328.115,3994.21,1391.955,3936.16
106,5250.555,3781.08,1391.955,3858.6
107,5207.705,4019.08,1391.955,3815.75
108,5258.825,3777.33,1391.955,3866.87
109,5214.035,3963.16,1391.955,3822.08
110,5277.005,3847.44,1391.955,3885.05
111,5276.575,3961.25,1391.955,3884.62
112,5160.5650000000005,3787.86,1391.955,3768.61
113,5282.335,3986.31,1391.955,3890.38
114,5200.5650000000005,3792.67,1391.955,3808.61
115,5310.975,3989.67,1391.955,3919.02
116,5168.985000000001,3833.7,1391.955,3777.03
117,5233.344999999999,3993.68,1391.955,3841.39
118,5243.415,3861.94,1391.955,3851.46
119,5114.705,3743.52,1391.955,3722.75
120,5220.025,3867.12,1391.955,3828.07
121,5358.924999999999,3950.4,1391.955,3966.97
122,5159.915,3819.58,1391.955,3767.96
