,FIT_200_002A_P.PV,FIT_200_004A_P.PV,PT_200A_Tags.Q_Filtrate_PV
0,0.0,0.0,784.19
1,0.0,0.0,802.96
2,0.0,0.0,802.96
3,0.0,0.0,802.96
4,0.0,0.0,802.96
5,0.0,0.0,802.96
6,0.0,0.0,802.96
7,0.0,0.0,802.96
8,0.0,0.0,802.96
9,0.0,0.0,1445.2
10,0.0,0.0,1445.2
11,0.0,0.0,1445.2
12,0.0,0.0,1445.2
13,0.0,0.0,1445.2
14,0.0,0.0,1445.2
15,0.0,0.0,1445.2
16,0.0,0.0,1445.2
17,0.0,0.0,1445.2
18,0.0,0.0,1445.2
19,0.0,0.0,1445.2
20,0.0,0.0,1445.2
21,0.0,0.0,1445.2
22,0.0,0.0,1445.2
23,0.0,0.0,1445.2
24,0.0,0.0,1445.2
25,0.0,0.0,1445.2
26,0.0,0.0,1445.2
27,0.0,0.0,1445.2
28,0.0,0.0,1445.2
29,0.0,0.0,1445.2
30,0.0,0.0,1445.2
31,0.0,0.0,1445.2
32,0.0,0.0,1445.2
33,0.0,0.0,1445.2
34,0.0,0.0,1445.2
35,0.0,0.0,1445.2
36,0.0,0.0,1445.2
37,0.0,0.0,1445.2
38,0.0,0.0,1445.2
39,0.0,0.0,1445.2
40,0.0,0.0,1445.2
41,0.0,0.0,1445.2
42,0.0,0.0,1445.2
43,0.0,0.0,1445.2
44,0.0,0.0,1445.2
45,0.0,0.0,1445.2
46,0.0,0.0,1445.2
47,0.0,0.0,1445.2
48,0.0,0.0,1445.2
49,0.0,0.0,1445.2
50,0.0,0.0,1445.2
51,0.0,0.0,1445.2
52,0.0,0.0,1445.2
53,0.0,0.0,1445.2
54,0.0,0.0,1445.2
55,0.0,0.0,345.17
56,0.0,0.0,1445.2
57,0.0,0.0,1445.2
58,0.0,0.0,804.5
59,0.0,0.0,807.11
60,0.0,0.0,1095.99
61,0.0,0.0,1288.82
62,0.0,0.0,1284.16
63,0.0,0.0,1293.39
64,0.0,0.0,1299.31
65,0.0,0.0,1296.03
66,0.0,0.0,1293.87
67,0.0,0.0,1292.74
68,0.0,0.0,1291.85
69,0.0,0.0,1291.92
70,0.0,0.0,1293.56
71,0.0,0.0,1291.75
72,0.0,0.0,1294.49
73,0.0,0.0,1298.95
74,0.0,0.0,1294.24
75,0.0,0.0,1285.98
76,0.0,0.0,1290.98
77,0.0,0.0,1291.6
78,0.0,0.0,1287.19
79,0.0,0.0,1291.38
80,0.0,0.0,1285.42
81,0.0,0.0,1284.55
82,0.0,0.0,1287.89
83,0.0,0.0,1285.61
84,0.0,0.0,1285.85
85,0.0,0.0,1285.19
86,0.0,0.0,1287.11
87,0.0,0.0,1286.38
88,0.0,0.0,1289.03
89,0.0,0.0,1286.14
90,0.0,0.0,1284.08
91,0.0,0.0,1291.34
92,0.0,0.0,1283.67
93,0.0,0.0,1283.39
94,0.0,0.0,1284.65
95,0.0,0.0,1287.67
96,0.0,0.0,1286.18
97,0.0,0.0,1285.22
98,0.0,0.0,1285.55
99,0.0,0.0,1286.92
100,0.0,0.0,1289.29
101,0.0,0.0,1282.05
102,0.0,0.0,1285.01
103,0.0,0.0,1292.28
104,0.0,0.0,1283.08
105,0.0,0.0,1283.27
106,0.0,0.0,1287.79
107,0.0,0.0,1287.36
108,0.0,0.0,1286.18
109,0.0,0.0,1284.32
110,0.0,0.0,1284.12
111,0.0,0.0,1287.71
112,0.0,0.0,1286.88
113,0.0,0.0,1281.29
114,0.0,0.0,1285.33
115,0.0,0.0,1283.3
116,0.0,0.0,1284.37
117,0.0,0.0,1284.11
118,0.0,0.0,1283.67
119,0.0,0.0,1286.62
120,0.0,0.0,1280.6
121,0.0,0.0,1283.27
122,0.0,0.0,1282.71
123,0.0,0.0,1281.13
124,0.0,0.0,1280.86
125,0.0,0.0,1279.42
126,0.0,0.0,1276.23
127,0.0,0.0,1278.55
128,0.0,0.0,1281.36
129,0.0,0.0,1270.67
130,0.0,0.0,1280.0
131,0.0,0.0,1277.49
132,0.0,0.0,1276.42
133,0.0,0.0,1273.81
134,0.0,0.0,1274.48
135,0.0,0.0,1274.3
136,0.0,0.0,1271.37
137,0.0,0.0,1271.22
138,0.0,0.0,1268.84
139,0.0,0.0,1267.08
140,0.0,0.0,1272.71
141,0.0,0.0,1266.65
142,0.0,0.0,1265.0
143,0.0,0.0,1266.72
144,0.0,0.0,1270.5
145,0.0,0.0,1272.59
146,0.0,0.0,1270.69
147,0.0,0.0,1269.75
148,0.0,0.0,1268.73
149,0.0,0.0,1275.88
150,0.0,0.0,1273.44
151,0.0,0.0,1270.86
152,0.0,0.0,1109.57
153,0.0,0.0,315.84
154,0.0,0.0,1445.2
155,0.0,0.0,1445.2
156,0.0,0.0,1445.2
157,0.0,0.0,1445.2
158,0.0,0.0,1445.2
159,0.0,0.0,1445.2
160,0.0,0.0,1445.2
161,0.0,0.0,1445.2
162,0.0,0.0,1445.2
163,0.0,0.0,1445.2
164,0.0,0.0,1445.2
165,0.0,0.0,1445.2
166,0.0,0.0,1445.2
167,0.0,0.0,1445.2
168,0.0,0.0,1445.2
169,0.0,0.0,1445.2
170,0.0,0.0,1445.2
171,0.0,0.0,1445.2
172,0.0,0.0,1445.2
173,0.0,0.0,1445.2
174,0.0,0.0,1445.2
175,0.0,0.0,1445.2
176,0.0,0.0,1445.2
177,0.0,0.0,1445.2
178,0.0,0.0,1445.2
179,0.0,0.0,1445.2
180,0.0,0.0,1445.2
181,0.0,0.0,1445.2
182,0.0,0.0,1445.2
183,0.0,0.0,1445.2
184,0.0,0.0,1445.2
185,0.0,0.0,1445.2
186,0.0,0.0,1445.2
187,0.0,0.0,1445.2
188,0.0,0.0,1445.2
189,0.0,0.0,1445.2
190,0.0,0.0,1445.2
191,0.0,0.0,1445.2
192,0.0,0.0,1445.2
193,0.0,0.0,1445.2
194,0.0,0.0,1445.2
195,0.0,0.0,1445.2
196,0.0,0.0,1445.2
197,0.0,0.0,1445.2
198,0.0,0.0,1445.2
199,0.0,0.0,1445.2
200,0.0,0.0,1445.2
201,0.0,0.0,1445.2
202,0.0,0.0,1445.2
203,0.0,0.0,1445.2
204,0.0,0.0,1445.2
205,0.0,0.0,1445.2
206,0.0,0.0,1445.2
207,0.0,0.0,1445.2
208,0.0,0.0,1445.2
209,0.0,0.0,1445.2
210,0.0,0.0,1445.2
211,0.0,0.0,1445.2
212,0.0,0.0,1445.2
213,0.0,0.0,1445.2
214,0.0,0.0,1445.2
215,0.0,0.0,1445.2
216,0.0,0.0,386.96
217,0.0,0.0,802.93
218,0.0,0.0,1080.42
219,0.0,0.0,318.19
220,0.0,0.0,1445.2
221,0.0,0.0,1445.2
222,0.0,0.0,1445.2
223,0.0,0.0,1445.2
224,0.0,0.0,1445.2
225,0.0,0.0,1445.2
226,0.0,0.0,1445.2
227,0.0,0.0,1445.2
228,0.0,0.0,1445.2
229,0.0,0.0,1445.2
230,0.0,0.0,1445.2
231,0.0,0.0,1445.2
232,0.0,0.0,1445.2
233,0.0,0.0,1445.2
234,0.0,0.0,1445.2
235,0.0,0.0,1445.2
236,0.0,0.0,1445.2
237,0.0,0.0,1445.2
238,0.0,0.0,1445.2
239,0.0,0.0,1445.2
240,0.0,0.0,1445.2
241,0.0,0.0,1445.2
242,0.0,0.0,1445.2
243,0.0,0.0,1445.2
