,"SUM(900, 1000)",FIT_400_001B_P.PV,FIT_400_002B_P.PV,Q_400_001B_P.PV
0,1505.06,734.06,700.19,804.87
1,1505.51,736.89,700.25,805.26
2,1505.9,736.01,700.55,805.35
3,1505.62,738.12,699.77,805.85
4,1506.28,738.74,700.52,805.76
5,1505.5900000000001,738.44,700.24,805.35
6,1505.3,739.25,700.06,805.24
7,1505.08,738.84,700.01,805.07
8,1505.54,737.3,700.06,805.48
9,1505.3,737.33,699.91,805.39
10,1505.08,737.39,699.87,805.21
11,1505.5700000000002,736.2,700.09,805.48
12,1505.24,737.91,699.89,805.35
13,1506.1399999999999,737.51,700.6,805.54
14,1505.5,739.98,700.28,805.22
15,1505.1100000000001,738.83,699.7,805.41
16,1505.28,737.52,699.73,805.55
17,1505.31,737.32,699.77,805.54
18,1506.22,741.65,700.99,805.23
19,1505.1999999999998,739.42,700.18,805.02
20,1506.45,738.79,701.21,805.24
21,1188.26,521.88,699.97,488.29
22,1505.3400000000001,804.88,699.97,805.37
23,1505.3400000000001,804.88,699.97,805.37
24,1505.3400000000001,804.88,699.97,805.37
25,1505.3400000000001,804.88,699.97,805.37
26,1505.3400000000001,804.88,699.97,805.37
27,1505.3400000000001,804.88,699.97,805.37
28,1505.3400000000001,804.88,699.97,805.37
29,1505.3400000000001,804.88,699.97,805.37
30,1505.3400000000001,804.88,699.97,805.37
31,1505.3400000000001,804.88,699.97,805.37
32,1505.3400000000001,804.88,699.97,805.37
33,1505.3400000000001,804.88,699.97,805.37
34,1505.3400000000001,804.88,699.97,805.37
35,1505.3400000000001,804.88,699.97,805.37
36,1505.3400000000001,804.88,699.97,805.37
37,1505.3400000000001,804.88,699.97,805.37
38,1505.3400000000001,804.88,699.97,805.37
39,1505.3400000000001,804.88,699.97,805.37
40,1505.3400000000001,804.88,699.97,805.37
41,1505.3400000000001,804.88,699.97,805.37
42,1505.3400000000001,804.88,699.97,805.37
43,1505.3400000000001,804.88,699.97,805.37
44,1505.3400000000001,804.88,699.97,805.37
45,1505.3400000000001,804.88,699.97,805.37
46,1505.3400000000001,804.88,699.97,805.37
47,1505.3400000000001,804.88,699.97,805.37
48,1505.3400000000001,804.88,699.97,805.37
49,1505.3400000000001,804.88,699.97,805.37
50,1505.3400000000001,804.88,699.97,805.37
51,1505.3400000000001,804.88,699.97,805.37
52,1505.3400000000001,804.88,699.97,805.37
53,1505.3400000000001,804.88,699.97,805.37
