,FIT_100_001_P.PV,FIT_900_002_P.PV,FIT_1000_001_P.PV,"SUM(A, B, C)"
0,4955.15,1391.955,3975.37,1591.9499999999998
1,4992.42,1391.955,3975.37,1613.9299999999998
2,4992.42,1391.955,3975.37,1613.9299999999998
3,4992.42,1391.955,3975.37,1613.9299999999998
4,4992.42,1391.955,3975.37,1613.9299999999998
5,4992.42,1391.955,3975.37,1613.9299999999998
6,4992.42,1391.955,3975.37,1613.9299999999998
7,4992.42,1391.955,3975.37,1613.9299999999998
8,4992.42,1391.955,3975.37,1613.9299999999998
9,5121.14,1391.955,3975.37,1617.24
10,5149.4,1391.955,3975.37,1618.1399999999999
11,5149.4,1391.955,3975.37,1618.1399999999999
12,5149.4,1391.955,3975.37,1618.1399999999999
13,5149.4,1391.955,3975.37,1618.1399999999999
14,5149.4,1391.955,3975.37,1618.1399999999999
15,5149.4,1391.955,3975.37,1618.1399999999999
16,5149.4,1391.955,3975.37,1618.1399999999999
17,5149.4,1391.955,3975.37,1618.1399999999999
18,5149.4,1391.955,3975.37,1618.1399999999999
19,5149.4,1391.955,3975.37,1618.1399999999999
20,5149.4,1391.955,3975.37,1618.1399999999999
21,5149.4,1391.955,3975.37,1618.1399999999999
22,5149.4,1391.955,3975.37,1618.1399999999999
23,5149.4,1391.955,3975.37,1618.1399999999999
24,5149.4,1391.955,3975.37,1618.1399999999999
25,5149.4,1391.955,3975.37,1618.1399999999999
26,5149.4,1391.955,3975.37,1618.1399999999999
27,5149.4,1391.955,3975.37,1618.1399999999999
28,5149.4,1391.955,3975.37,1618.1399999999999
29,5149.4,1391.955,3975.37,1618.1399999999999
30,5149.4,1391.955,3975.37,1618.1399999999999
31,5149.4,1391.955,3975.37,1618.1399999999999
32,5149.4,1391.955,3975.37,1618.1399999999999
33,5149.4,1391.955,3975.37,1618.1399999999999
34,5149.4,1391.955,3975.37,1618.1399999999999
35,5149.4,1391.955,3975.37,1618.1399999999999
36,5149.4,1391.955,3975.37,1618.1399999999999
37,5149.4,1391.955,3975.37,1618.1399999999999
38,5149.4,1391.955,3975.37,1618.1399999999999
39,5149.4,1391.955,3975.37,1618.1399999999999
40,5149.4,1391.955,3975.37,1618.1399999999999
41,5149.4,1391.955,3975.37,1618.1399999999999
42,5149.4,1391.955,3975.37,1618.1399999999999
43,5149.4,1391.955,3975.37,1618.1399999999999
44,5149.4,1391.955,3975.37,1618.1399999999999
45,5149.4,1391.955,3975.37,1618.1399999999999
46,5149.4,1391.955,3975.37,1618.1399999999999
47,5149.4,1391.955,3975.37,1618.1399999999999
48,5149.4,1391.955,3975.37,1618.1399999999999
49,5149.4,1391.955,3975.37,1618.1399999999999
50,4845.68,1391.955,3975.37,1613.63
51,4370.51,1391.955,3975.37,1608.69
52,4346.39,1391.955,3975.37,1606.0900000000001
53,4404.17,1391.955,3975.37,1608.21
54,4218.73,1391.955,3975.37,1604.16
55,4725.99,1391.955,3975.37,1151.0900000000001
56,4367.48,1391.955,3975.37,1606.0300000000002
57,4798.6,1391.955,3975.37,1609.51
58,3756.7,1391.955,3975.37,1609.97
59,3801.19,1391.955,3975.37,1612.18
60,3892.88,1391.955,3975.37,1583.96
61,3837.2,1391.955,3975.37,1612.3
62,3987.81,1391.955,3975.37,1610.04
63,3965.04,1391.955,3975.37,1612.49
64,3779.55,1391.955,3975.37,1610.33
65,3803.08,1391.955,3975.37,1612.3
66,3904.89,1391.955,3975.37,1609.5900000000001
67,3905.71,1391.955,3975.37,1609.21
68,3844.17,1391.955,3975.37,1606.3400000000001
69,3853.43,1391.955,3975.37,1606.95
70,4044.64,1391.955,3975.37,1610.7800000000002
71,3771.7,1391.955,3975.37,1609.1599999999999
72,4009.56,1391.955,3975.37,1614.2
73,3878.58,1391.955,3975.37,1614.18
74,3807.09,1391.955,3975.37,1614.94
75,3928.9,1391.955,3975.37,1606.48
76,3852.69,1391.955,3975.37,1614.3200000000002
77,3752.05,1391.955,3975.37,1609.65
78,3999.42,1391.955,3975.37,1609.1799999999998
79,3696.54,1391.955,3975.37,1612.56
80,3945.97,1391.955,3975.37,1609.21
81,3861.09,1391.955,3975.37,1609.6399999999999
82,3744.09,1391.955,3975.37,1610.6599999999999
83,3906.49,1391.955,3975.37,1611.02
84,3895.76,1391.955,3975.37,1610.46
85,3902.3,1391.955,3975.37,1608.8200000000002
86,3963.24,1391.955,3975.37,1610.9499999999998
87,3897.05,1391.955,3975.37,1610.88
88,3689.0,1391.955,3975.37,1611.44
89,4000.77,1391.955,3975.37,1611.83
90,3849.64,1391.955,3975.37,1610.17
91,3720.86,1391.955,3975.37,1612.25
92,3804.71,1391.955,3975.37,1608.6599999999999
93,4015.39,1391.955,3975.37,1607.8000000000002
94,3801.69,1391.955,3975.37,1611.35
95,3990.19,1391.955,3975.37,1611.52
96,3816.57,1391.955,2456.67,1609.24
97,3981.47,1391.955,3913.83,1609.98
98,3869.27,1391.955,3825.41,1609.0700000000002
99,3884.35,1391.955,3825.91,1613.28
100,3952.4,1391.955,3874.74,1611.6399999999999
101,3840.55,1391.955,3851.84,1609.21
102,4053.48,1391.955,3812.82,1606.56
103,3716.75,1391.955,3574.21,1619.79
104,3887.0,1391.955,4056.12,1605.4499999999998
105,3994.21,1391.955,3936.16,1606.78
106,3781.08,1391.955,3858.6,1613.04
107,4019.08,1391.955,3815.75,1611.35
108,3777.33,1391.955,3866.87,1607.97
109,3963.16,1391.955,3822.08,1609.5700000000002
110,3847.44,1391.955,3885.05,1608.77
111,3961.25,1391.955,3884.62,1612.55
112,3787.86,1391.955,3768.61,1613.77
113,3986.31,1391.955,3890.38,1608.08
114,3792.67,1391.955,3808.61,1609.38
115,3989.67,1391.955,3919.02,1609.56
116,3833.7,1391.955,3777.03,1611.67
117,3993.68,1391.955,3841.39,1605.96
118,3861.94,1391.955,3851.46,1607.33
