,FIT_100_001_P.PV,FIT_900_002_P.PV,FIT_1000_001_P.PV,"SUM(A, B, C)"
0,4723.01,1398.25,3083.27,1607.76
1,4681.34,1391.72,3535.83,1610.66
2,4760.85,1370.93,3171.19,1610.4299999999998
3,4564.9,1353.45,3184.96,1612.24
4,4693.5,1348.21,3398.94,1616.6
5,4611.55,1346.31,3150.39,1615.47
6,4506.26,1343.85,3114.27,1609.25
7,4455.24,1343.24,3170.52,1606.47
8,4637.89,1347.19,3079.46,1609.5300000000002
9,4472.61,1344.2,3150.1,1610.02
10,4548.52,1342.99,3184.55,1608.5
11,4867.37,1344.65,3563.71,1612.76
12,4770.63,1343.94,3417.77,1610.5
13,4489.96,1344.04,3289.13,1615.5900000000001
14,4616.47,1341.83,3144.91,1610.8899999999999
15,4639.0,1342.3,3201.0,1604.69
16,4749.32,1346.77,3556.48,1607.6599999999999
17,4693.67,1350.14,3167.38,1614.99
18,4500.79,1354.02,3244.68,1618.47
19,4747.91,1367.19,3286.51,1612.1100000000001
20,4557.42,1439.06,3125.4,1612.58
21,4440.2,1277.68,3196.01,1605.0
22,4596.61,1314.45,3269.59,1608.17
23,4573.81,1347.37,3122.49,1614.29
24,4446.26,1379.15,3112.23,1617.06
25,3800.47,1397.06,2427.38,1612.33
26,3754.82,1398.96,2357.32,1604.73
27,3811.95,1390.24,2381.22,1607.27
28,3950.43,1399.3,2656.8,1606.4
29,3896.24,1394.94,2432.51,1606.52
30,4165.64,1392.11,2757.87,1620.6
31,3823.3,1398.66,2393.99,1608.2
32,3791.21,1396.02,2381.72,1615.6399999999999
33,3974.23,1401.73,2533.26,1618.27
34,3741.96,1404.05,2395.33,1612.06
35,3738.91,1407.17,1922.87,1596.3400000000001
36,4078.61,1408.15,2588.72,1605.87
37,3987.31,1405.87,2829.12,1610.56
38,4067.53,1407.02,2541.19,1607.51
39,3824.37,1413.02,2506.1,1617.0
40,3831.36,1358.32,2551.48,1559.53
41,3933.68,1404.6,2440.74,1602.37
42,4109.79,1409.61,2746.14,1613.49
43,3859.16,1403.86,2426.14,1613.65
44,3768.08,1409.37,2433.32,1613.25
45,3864.93,1402.62,2368.78,1613.69
46,4026.57,1406.25,2600.41,1608.8400000000001
47,3998.74,1403.38,2816.31,1614.72
48,4035.81,1398.82,2466.69,1602.02
49,3852.46,1401.52,2582.6,1617.51
50,3824.73,1394.53,2425.56,1617.36
51,3843.14,1397.77,2421.18,1601.9
52,3902.2,1397.37,2602.04,1613.31
53,4097.98,1396.1,2683.18,1611.2199999999998
54,3747.34,1395.19,2388.09,1611.9099999999999
55,3693.45,1394.76,2402.21,1613.28
56,4033.47,1397.24,2439.85,1609.04
57,3893.91,1395.5,2577.43,1615.78
58,3740.32,1395.8,2370.26,1609.3400000000001
59,3939.83,1400.31,2416.49,1605.94
60,3804.19,1397.72,2503.73,1605.67
61,4087.14,1402.97,2721.48,1613.06
62,4068.79,1404.97,2655.03,1612.0900000000001
63,3980.04,1402.57,2634.44,1611.71
64,3775.53,1407.49,2404.09,1612.28
65,3909.36,1406.21,2457.16,1600.84
66,4078.62,1403.38,2659.53,1607.5500000000002
67,3972.94,1408.26,2635.16,1616.06
68,3780.39,1410.55,2384.78,1609.55
69,3960.43,1405.43,2574.05,1615.57
70,3841.98,1408.39,2464.59,1609.63
71,3802.02,1402.48,2400.61,1611.67
