,"SUM(900, 1000)",FIT_400_001B_P.PV,FIT_400_002B_P.PV,Q_400_001B_P.PV
0,1506.05,804.56,700.52,805.53
1,1505.3000000000002,806.82,700.21,805.09
2,1505.2800000000002,807.43,699.96,805.32
3,1505.31,803.54,699.75,805.56
4,1506.16,807.01,700.45,805.71
5,1504.74,806.47,699.26,805.48
6,1505.55,805.17,700.06,805.49
7,1505.65,805.03,700.21,805.44
8,1505.78,806.34,700.24,805.54
9,1506.49,805.74,700.66,805.83
10,1505.26,806.09,699.83,805.43
11,1506.1799999999998,804.67,700.81,805.37
12,1506.06,805.46,700.71,805.35
13,1506.1799999999998,806.2,700.78,805.4
14,1505.47,807.53,700.32,805.15
15,1505.3400000000001,806.5,699.77,805.57
16,1504.99,805.35,699.58,805.41
17,1505.02,806.92,699.68,805.34
18,1504.8400000000001,805.94,699.64,805.2
19,1505.35,806.21,699.96,805.39
20,1505.52,807.66,700.32,805.2
21,1505.25,803.84,699.74,805.51
22,1505.5900000000001,805.65,700.01,805.58
23,1505.29,807.74,699.93,805.36
24,1504.92,805.56,699.45,805.47
25,1505.06,806.04,699.83,805.23
26,1504.69,801.54,699.3,805.39
27,1505.7,806.15,700.12,805.58
28,1505.21,805.19,700.2,805.01
29,1504.7199999999998,802.86,699.42,805.3
30,1505.79,809.19,700.27,805.52
31,1505.21,803.94,699.88,805.33
32,1505.8600000000001,806.66,700.45,805.41
33,1505.65,810.05,700.27,805.38
34,1505.04,804.97,699.69,805.35
35,1503.29,799.83,698.85,804.44
36,1505.84,803.6,700.43,805.41
37,1504.9299999999998,800.94,699.67,805.26
38,1505.33,804.46,699.96,805.37
39,1505.32,808.0,700.05,805.27
40,1473.13,787.85,685.14,787.99
41,1503.54,804.99,698.42,805.12
42,1505.6399999999999,803.1,700.12,805.52
43,1505.56,807.69,700.46,805.1
44,1505.37,803.24,699.88,805.49
45,1505.33,805.71,699.73,805.6
46,1505.4299999999998,807.86,700.18,805.25
47,1504.79,807.75,699.62,805.17
48,1505.23,798.32,699.58,805.65
49,1505.65,806.68,700.25,805.4
50,1505.65,811.55,700.45,805.2
51,1504.19,799.76,698.78,805.41
52,1505.8899999999999,807.55,700.48,805.41
53,1505.93,806.66,700.86,805.07
54,1505.03,804.74,699.55,805.48
55,1505.9099999999999,804.29,700.51,805.4
56,1505.68,803.14,699.96,805.72
57,1505.5700000000002,807.75,700.11,805.46
58,1505.9299999999998,808.87,700.62,805.31
59,1505.0,805.89,699.68,805.32
60,1504.46,800.61,699.01,805.45
61,1505.3,807.36,700.03,805.27
62,1505.03,806.49,699.72,805.31
63,1505.4099999999999,806.68,700.04,805.37
64,1504.23,804.79,699.11,805.12
65,1505.71,803.31,700.25,805.46
66,1505.23,806.1,700.02,805.21
67,1505.46,808.15,700.05,805.41
68,1505.02,803.41,700.11,804.91
69,1505.31,803.15,700.14,805.17
70,1505.8200000000002,804.13,700.09,805.73
71,1505.43,808.32,699.96,805.47
72,1504.6999999999998,806.97,699.31,805.39
73,1504.9,802.59,699.52,805.38
74,1504.6999999999998,801.99,699.64,805.06
75,1506.3899999999999,805.88,700.74,805.65
76,1505.48,806.89,700.28,805.2
77,1505.12,803.88,699.59,805.53
78,1505.6399999999999,807.62,700.24,805.4
79,1504.5500000000002,800.34,699.47,805.08
80,1505.96,810.22,700.47,805.49
81,1504.8200000000002,806.63,699.32,805.5
82,1505.27,806.27,700.02,805.25
83,1505.48,803.8,699.91,805.57
84,1505.36,804.03,699.93,805.43
85,1505.3200000000002,804.92,699.88,805.44
86,1505.56,803.78,700.11,805.45
87,1505.21,805.56,700.17,805.04
88,1504.87,807.9,700.17,804.7
89,1504.53,807.01,699.23,805.3
90,1505.5900000000001,807.44,700.27,805.32
91,1505.49,804.82,700.12,805.37
92,1504.67,801.86,699.45,805.22
93,1506.41,808.73,700.82,805.59
94,1504.77,807.48,699.3,805.47
95,1505.06,802.76,699.68,805.38
96,1505.3400000000001,802.77,699.82,805.52
97,1505.98,805.27,700.4,805.58
98,1504.98,810.68,699.73,805.25
99,1504.83,799.45,699.36,805.47
100,1505.85,812.22,700.31,805.54
101,1504.4299999999998,800.86,699.18,805.25
102,1505.85,806.66,700.66,805.19
103,1505.38,807.97,700.12,805.26
104,1505.33,369.24,699.96,805.37
105,1508.65,805.02,699.96,808.69
106,1310.77,802.25,498.62,812.15
107,1504.27,804.4,699.23,805.04
108,1505.65,805.84,700.11,805.54
109,1504.95,807.47,699.57,805.38
110,1505.46,807.67,700.09,805.37
111,1504.8600000000001,801.99,699.79,805.07
112,1505.4,804.44,700.23,805.17
113,1505.6100000000001,808.08,700.24,805.37
114,1505.75,805.97,700.27,805.48
115,1505.8600000000001,808.56,700.57,805.29
116,1505.22,803.13,699.83,805.39
117,1505.5700000000002,799.41,699.95,805.62
118,1505.75,808.32,700.43,805.32
119,1505.0700000000002,805.07,699.74,805.33
120,1504.65,803.42,699.23,805.42
121,1505.47,804.43,699.51,805.96
122,1505.3200000000002,807.8,699.88,805.44
123,1504.93,807.71,699.49,805.44
124,1505.87,807.53,700.21,805.66
125,1505.28,803.69,699.75,805.53
126,1505.68,801.9,699.96,805.72
127,1505.93,805.46,700.35,805.58
128,1505.59,807.34,700.18,805.41
129,1505.21,802.06,699.89,805.32
130,1505.5900000000001,807.86,700.24,805.35
131,1505.27,807.87,700.05,805.22
132,1505.67,804.59,700.62,805.05
133,1505.62,803.5,700.0,805.62
134,1505.93,806.57,700.21,805.72
135,1505.22,805.2,699.98,805.24
136,1505.3200000000002,804.78,699.84,805.48
137,1505.71,803.99,699.96,805.75
138,1506.23,811.7,700.54,805.69
139,1505.3600000000001,802.07,699.73,805.63
140,1506.0100000000002,802.34,700.57,805.44
141,1505.57,805.45,700.28,805.29
142,1505.3600000000001,806.67,699.85,805.51
143,1505.0700000000002,805.24,699.62,805.45
144,1504.62,803.52,699.12,805.5
145,1505.52,809.25,700.42,805.1
146,1506.0900000000001,808.91,700.85,805.24
147,1505.0700000000002,804.71,699.45,805.62
148,1504.8600000000001,801.35,699.64,805.22
149,1505.66,803.22,700.21,805.45
150,1506.56,808.94,701.12,805.44
151,1505.5700000000002,806.54,700.0,805.57
152,1505.06,806.73,699.6,805.46
153,1505.81,804.62,700.4,805.41
154,1505.23,803.99,699.9,805.33
155,1504.9099999999999,803.74,699.51,805.4
156,1505.83,809.78,700.34,805.49
157,1504.73,806.96,699.5,805.23
158,1504.75,802.31,699.61,805.14
159,1377.3000000000002,720.45,699.96,677.34
160,1505.33,804.61,699.96,805.37
161,1505.33,804.61,699.96,805.37
162,1505.33,804.61,699.96,805.37
163,1505.33,804.61,699.96,805.37
164,1505.33,804.61,699.96,805.37
165,1505.33,804.61,699.96,805.37
166,1505.33,804.61,699.96,805.37
167,1505.33,804.61,699.96,805.37
168,1505.33,804.61,699.96,805.37
169,1505.33,416.26,699.96,805.37
170,1506.02,803.46,699.96,806.06
171,1520.0,804.1,699.96,820.04
172,1504.1100000000001,804.81,698.62,805.49
173,1505.29,806.25,699.71,805.58
174,1505.42,808.13,699.92,805.5
175,1505.1799999999998,805.09,699.29,805.89
176,1504.95,804.63,699.6,805.35
177,1504.85,801.29,699.43,805.42
178,1506.17,811.69,700.6,805.57
179,1504.19,800.89,698.9,805.29
180,1506.1799999999998,804.47,700.75,805.43
181,1505.35,809.83,699.76,805.59
182,1504.52,803.23,699.52,805.0
183,1505.43,800.93,699.95,805.48
184,1506.19,808.55,700.86,805.33
185,1504.8600000000001,807.16,699.39,805.47
186,1505.79,805.44,700.35,805.44
187,1505.47,804.98,699.77,805.7
188,1505.58,805.03,700.15,805.43
189,1505.83,804.16,700.09,805.74
190,1505.6100000000001,805.61,699.97,805.64
191,1505.13,805.82,699.8,805.33
192,1505.27,805.29,699.78,805.49
193,1505.56,804.17,700.13,805.43
194,1505.83,801.8,699.9,805.93
195,1506.1799999999998,811.46,700.5,805.68
196,1504.4099999999999,804.27,699.11,805.3
197,1505.12,800.91,700.18,804.94
198,1505.67,806.75,700.48,805.19
199,1505.31,806.47,699.91,805.4
200,1505.8600000000001,806.13,700.26,805.6
201,1505.1799999999998,807.35,699.55,805.63
202,1504.94,803.58,699.67,805.27
203,1505.85,802.64,700.5,805.35
204,1506.21,807.51,700.55,805.66
205,1505.27,804.72,699.85,805.42
206,1505.52,805.22,700.16,805.36
207,1505.04,810.41,699.64,805.4
208,1504.71,798.37,699.17,805.54
209,1505.6100000000001,809.41,700.26,805.35
210,1505.59,808.18,700.04,805.55
211,1504.89,805.98,699.82,805.07
212,1504.8899999999999,801.8,699.64,805.25
213,1505.77,805.05,700.25,805.52
214,1505.54,810.3,700.43,805.11
215,1505.6100000000001,804.6,700.16,805.45
216,1505.67,806.63,700.38,805.29
217,1505.2,805.26,700.2,805.0
218,1506.15,804.58,700.95,805.2
219,1506.02,805.09,700.82,805.2
220,1505.17,803.45,700.19,804.98
221,1505.44,804.71,699.99,805.45
222,1505.18,808.65,700.35,804.83
223,1505.13,808.62,699.59,805.54
224,1504.8200000000002,804.92,699.24,805.58
225,1505.08,805.61,699.7,805.38
226,1504.75,800.81,699.49,805.26
227,1505.69,804.89,700.21,805.48
228,1506.0700000000002,808.42,700.38,805.69
229,1504.97,805.16,699.33,805.64
230,1504.7,806.29,699.25,805.45
231,1505.06,804.66,699.83,805.23
232,1505.4499999999998,804.2,700.27,805.18
233,1504.88,803.36,699.72,805.16
234,1505.88,808.61,700.8,805.08
235,1505.12,805.19,699.55,805.57
236,1505.09,805.36,700.03,805.06
237,1505.11,803.42,699.68,805.43
238,1505.6399999999999,805.02,700.38,805.26
239,1505.69,803.99,699.79,805.9
240,1505.71,808.27,700.44,805.27
241,1505.1399999999999,805.24,699.8,805.34
242,1505.08,805.72,699.93,805.15
243,1505.2800000000002,805.74,699.96,805.32
244,1505.6599999999999,805.35,700.4,805.26
245,1505.88,805.49,700.28,805.6
246,1505.58,802.8,700.15,805.43
247,1505.52,805.57,700.23,805.29
248,1505.09,805.95,700.04,805.05
249,1505.01,806.5,699.95,805.06
250,1504.84,803.04,699.06,805.78
251,1505.1,803.44,699.82,805.28
252,1505.45,806.89,699.99,805.46
253,1505.85,806.01,700.21,805.64
254,1505.12,805.78,699.65,805.47
255,1505.0,805.14,699.76,805.24
256,1505.72,805.44,699.94,805.78
257,1505.28,803.35,699.72,805.56
258,1506.17,808.79,700.85,805.32
259,1505.55,806.52,700.64,804.91
260,1505.5900000000001,801.77,700.23,805.36
261,1506.9299999999998,808.71,701.18,805.75
262,1504.77,805.12,699.38,805.39
263,1505.1100000000001,802.56,699.58,805.53
264,1505.96,807.07,700.35,805.61
265,1504.42,809.81,698.98,805.44
266,1504.44,798.79,699.15,805.29
267,1505.7,804.23,700.0,805.7
268,1505.01,804.96,699.74,805.27
269,1505.37,808.02,699.68,805.69
270,1505.49,807.75,699.86,805.63
271,1505.33,805.8,699.92,805.41
272,1505.1599999999999,803.8,699.8,805.36
273,1505.4,803.36,700.1,805.3
274,1505.82,806.2,700.31,805.51
275,1505.42,805.0,699.97,805.45
276,1505.48,805.79,700.05,805.43
277,1505.3,805.33,700.38,804.92
