,FIT_400_001A_P.PV,FIT_400_002A_P.PV,Q_400_001A_P.PV,PT_200A_Tags.Q_RO_Feed_PV
283,806.46,699.92,805.46,
284,804.94,699.89,805.28,
285,804.38,700.15,805.69,
286,804.24,700.08,804.49,
287,802.88,699.98,805.63,
288,807.37,700.03,805.51,
289,803.81,700.38,805.25,
290,803.74,700.04,805.07,
291,805.83,700.24,805.67,
292,807.87,699.7,804.87,
293,805.3,700.11,804.74,
294,807.03,699.99,805.33,
295,805.86,700.04,805.09,
296,807.12,700.04,805.6,
297,806.62,700.08,805.46,
298,804.85,699.96,805.26,
299,806.4,700.14,805.32,
300,805.81,700.0,804.99,
301,802.91,699.96,805.07,
302,806.48,700.5,804.37,
303,809.62,700.06,805.22,
304,809.42,699.84,805.1,
305,807.31,700.12,805.26,
306,804.35,699.94,805.31,
307,803.83,700.09,805.37,
308,805.73,700.34,805.25,
309,807.35,699.79,805.38,
310,806.03,700.06,805.25,
311,806.89,699.66,805.44,
312,804.93,699.96,805.51,
313,804.22,700.0,804.41,
314,806.57,700.01,805.41,
315,804.65,700.13,805.23,
316,804.5,700.2,805.02,
317,803.68,700.09,805.19,
318,805.51,699.93,805.32,
319,803.55,699.95,805.25,
320,804.36,699.99,805.46,
321,806.7,700.12,805.37,
322,804.63,699.71,805.3,
323,804.65,699.84,805.2,
324,803.97,700.01,804.68,
325,805.25,700.03,805.32,
326,805.88,700.09,804.97,
327,806.65,699.9,805.43,
328,804.26,700.18,805.23,
329,801.48,699.89,805.0,
330,804.42,699.99,804.58,
331,804.87,700.12,805.69,
332,806.65,699.71,805.53,
333,805.23,700.0,805.27,
334,805.38,699.86,804.99,
335,805.78,699.94,805.22,
336,801.57,700.28,805.64,
337,807.73,700.09,804.78,
338,803.82,699.86,805.66,
339,805.31,700.06,804.88,
340,805.43,699.92,805.43,
341,806.0,700.2,805.09,
342,805.28,699.76,805.01,
343,803.36,700.3,805.53,
344,804.75,700.2,805.49,
345,806.1,699.89,805.23,
346,807.69,699.89,805.86,
347,804.79,700.04,805.61,
348,807.35,700.27,805.34,
349,807.55,699.68,805.41,
350,802.21,700.08,804.93,
351,805.37,700.12,805.42,
352,804.55,699.73,805.47,
