,FIT_100_001_P.PV,FIT_900_002_P.PV,FIT_1000_001_P.PV,"SUM(A, B, C)"
85,4653.54,2113.11,2527.96,2418.15
86,4672.02,2111.04,2441.15,2416.2799999999997
87,4584.87,2113.15,2451.71,2418.53
88,4908.84,2108.4,2541.01,2415.05
89,5210.57,2109.95,3080.02,2410.31
90,4840.72,2099.08,2596.25,2416.4700000000003
91,4845.21,2105.21,2820.02,2419.33
92,4630.56,2104.67,2538.93,2420.61
93,4833.17,2100.01,2569.1,2418.55
94,5285.1,2103.88,3174.82,2415.78
95,4637.33,2101.43,2562.5,2416.3
96,4653.48,2099.24,2508.35,2414.79
97,4754.05,2108.14,2671.58,2409.5
98,4554.0,2100.97,2478.4,2408.29
99,4728.22,2101.56,2592.37,2419.53
100,4912.37,2106.94,2726.98,2411.99
101,4915.75,2099.34,2668.92,2419.88
102,4694.83,2107.64,2560.82,2416.4300000000003
103,5123.23,2117.24,3029.0,2416.6
104,4874.45,2109.22,2562.66,2415.07
105,4541.29,2114.83,2617.2,2418.1200000000003
106,4717.06,2116.66,2480.45,2418.4700000000003
107,5002.51,2112.13,2837.67,2407.77
108,4745.86,2116.75,2524.73,2415.48
109,4497.42,2114.71,2683.88,2411.63
110,4914.11,2112.49,2554.11,2415.9700000000003
111,4967.56,2114.69,3014.23,2413.1099999999997
112,4876.69,2111.7,2570.77,2414.19
113,4700.84,2115.79,2684.44,2418.48
114,4792.72,2111.52,2627.16,2413.6800000000003
115,5069.05,2103.67,2880.78,2416.25
116,4649.01,2105.94,2576.22,2411.3100000000004
117,5073.03,2108.57,2899.71,2415.88
118,4670.6,2096.09,2677.49,2412.8599999999997
119,4503.94,2101.41,2502.03,2417.22
120,4889.41,2103.22,2555.95,2414.12
121,4519.25,2098.83,2699.02,2412.0
122,4602.4,2104.89,2552.24,2417.29
123,4720.23,2096.81,2586.63,2416.77
124,4695.03,2099.44,2583.1,2413.3
125,4615.97,2104.7,2522.34,2417.71
126,5099.93,2099.38,2805.1,2413.79
127,4865.33,2105.53,2709.25,2414.33
128,4545.18,2102.72,2584.4,2417.92
129,4550.07,2098.94,2586.01,2414.1
130,4903.77,2115.68,2462.19,2419.7200000000003
131,4477.77,2107.33,2505.42,2413.66
132,4559.14,2108.65,2525.23,2413.75
133,4843.58,2114.52,2471.9,2417.13
134,4553.81,2109.01,2479.25,2416.18
135,4733.43,2112.48,2658.93,2415.23
136,5160.02,2116.69,2885.85,2412.19
137,5288.6,2105.69,2964.62,2413.92
138,4617.75,2114.66,2652.62,2415.8
139,4908.67,2119.46,2582.79,2419.4300000000003
140,4532.44,2105.11,2596.82,2410.46
141,4535.66,2110.63,2814.96,2415.59
142,4852.54,2111.22,2586.36,2415.38
143,4575.89,2100.02,2572.12,2418.28
144,4553.19,2103.45,2499.35,2418.58
145,4691.75,2108.87,2469.73,2412.2200000000003
146,4815.32,2101.94,2412.13,2414.35
147,4782.01,2105.63,2550.24,2417.16
148,5335.22,2104.31,3326.42,2409.69
149,4916.29,2096.7,2505.58,2415.58
150,4599.45,2108.56,2573.06,2418.2799999999997
151,4512.96,2103.34,2552.0,2418.73
152,4861.26,2102.36,2620.97,2416.73
153,4527.84,2109.14,2559.27,2415.08
154,4614.42,2099.22,2521.6,2417.51
155,4701.57,2109.98,2532.62,2418.64
156,4671.97,2112.16,2487.19,2414.22
157,4546.11,2104.79,2499.56,2417.82
158,4658.35,2113.83,2407.94,2414.19
159,4854.48,2112.71,2478.75,2415.1
160,4662.22,1419.74,3429.67,2415.73
161,5398.46,2099.58,3135.63,2406.13
162,4887.47,2119.95,2697.71,2418.69
163,4458.42,2116.37,2665.48,2417.37
164,4849.77,2117.05,2533.11,2414.24
165,4640.05,2113.63,2658.7,2410.49
166,4499.71,2115.94,2660.13,2413.4700000000003
167,4801.83,2120.65,2509.05,2414.58
168,4949.84,2097.68,2846.63,2417.15
169,4836.74,2108.42,2693.23,2414.27
170,4579.2,2107.65,2515.06,2417.11
171,4657.69,2099.36,2516.45,2412.56
172,4671.09,2109.74,2476.65,2418.05
173,4820.62,2098.01,2533.19,2413.75
174,5124.99,2097.7,2999.03,2414.1499999999996
175,4702.65,2105.31,2526.37,2415.0699999999997
