,FIT_100_001_P.PV,FIT_900_002_P.PV,FIT_1000_001_P.PV,"SUM(A, B, C)"
0,3876.0,1392.15,2538.0,1481.63
1,3824.82,1397.19,2471.95,1486.08
2,3925.04,1398.4,2532.94,1488.24
3,3820.32,1401.64,2436.88,1494.81
4,3925.9,1407.47,2525.49,1490.8400000000001
5,3791.92,1400.73,2392.76,1494.93
6,3956.11,1404.09,2528.8,1493.42
7,3789.79,1410.92,2431.55,1492.74
8,3961.04,1402.8,2475.93,1489.24
9,3794.57,1408.03,2427.24,1492.02
10,3826.57,1407.21,2490.71,1488.85
11,3867.11,1407.4,2421.02,1489.74
12,3839.9,1407.72,2445.95,1489.9
13,3957.58,1405.5,2515.88,1491.96
14,3883.16,1404.16,2510.19,1492.6599999999999
15,3941.67,1406.23,2447.15,1492.02
16,3885.84,1396.13,2516.37,1485.25
17,3954.58,1399.42,2376.84,1487.06
18,3760.55,1400.32,2285.81,1489.53
19,3734.79,969.52,2773.85,1512.57
20,4131.84,1398.29,3976.46,1261.1399999999999
21,2957.22,1398.29,3735.24,1326.31
22,3942.5299999999997,1398.29,498.96,1609.31
23,3942.5299999999997,1398.29,3374.18,1609.31
24,3942.5299999999997,1398.29,3374.18,1609.31
25,3942.5299999999997,1398.29,3374.18,1609.31
26,3942.5299999999997,1398.29,3374.18,1609.31
27,3942.5299999999997,1398.29,3374.18,1609.31
28,3942.5299999999997,1398.29,3374.18,1609.31
29,3942.5299999999997,1398.29,3374.18,1609.31
30,3942.5299999999997,1398.29,3374.18,1609.31
31,3942.5299999999997,1398.29,3374.18,1609.31
32,3942.5299999999997,1398.29,3374.18,1609.31
33,3942.5299999999997,1398.29,3374.18,1609.31
34,3942.5299999999997,1398.29,3374.18,1609.31
35,3942.5299999999997,1398.29,3374.18,1609.31
36,3942.5299999999997,1398.29,3374.18,1609.31
37,3942.5299999999997,1398.29,3374.18,1609.31
38,3942.5299999999997,1398.29,3374.18,1609.31
39,3942.5299999999997,1398.29,3374.18,1609.31
40,3942.5299999999997,1398.29,3374.18,1609.31
41,3942.5299999999997,1398.29,3374.18,1609.31
42,3942.5299999999997,1398.29,3374.18,1609.31
43,3942.5299999999997,1398.29,3374.18,1609.31
44,3942.5299999999997,1398.29,3374.18,1609.31
45,3942.5299999999997,1398.29,3374.18,1609.31
46,3942.5299999999997,1398.29,3374.18,1609.31
47,3942.5299999999997,1398.29,3374.18,1609.31
48,3942.5299999999997,1398.29,3374.18,1609.31
49,3942.5299999999997,1398.29,3374.18,1609.31
50,3942.5299999999997,1398.29,3374.18,1609.31
51,3942.5299999999997,1398.29,3374.18,1609.31
52,3942.5299999999997,1398.29,3374.18,1609.31
53,3942.5299999999997,1398.29,3374.18,1609.31
54,3942.5299999999997,1398.29,3374.18,1609.31
55,3942.5299999999997,1398.29,3374.18,1609.31
56,3942.5299999999997,1398.29,3374.18,1609.31
57,3942.5299999999997,1398.29,3374.18,1609.31
58,3942.5299999999997,1398.29,3374.18,1609.31
59,3942.5299999999997,1398.29,3374.18,1609.31
60,3942.5299999999997,1398.29,3374.18,1609.31
61,3942.5299999999997,1398.29,3374.18,1609.31
62,3942.5299999999997,1398.29,3374.18,1609.31
63,3942.5299999999997,1398.29,3374.18,1609.31
64,3942.5299999999997,1398.29,3374.18,1609.31
65,3942.5299999999997,1398.29,3374.18,1609.31
66,3942.5299999999997,1398.29,3374.18,1609.31
67,3942.5299999999997,1398.29,3374.18,1609.31
68,3942.5299999999997,1398.29,3374.18,1609.31
69,3942.5299999999997,1398.29,3374.18,1609.31
70,3942.5299999999997,1398.29,3374.18,1609.31
71,3942.5299999999997,1398.29,3374.18,1609.31
72,3942.5299999999997,1398.29,3374.18,1609.31
73,3942.5299999999997,1398.29,3374.18,1609.31
74,3942.5299999999997,1398.29,3374.18,1609.31
75,3942.5299999999997,1398.29,3374.18,1609.31
76,3942.5299999999997,1398.29,3374.18,1609.31
77,3942.5299999999997,1398.29,3374.18,1609.31
78,3942.5299999999997,1398.29,3374.18,1609.31
79,3942.5299999999997,1398.29,3374.18,1609.31
80,3942.5299999999997,1398.29,3374.18,1609.31
81,3942.5299999999997,1398.29,3374.18,1609.31
82,3942.5299999999997,1398.29,3374.18,1609.31
83,3942.5299999999997,1398.29,3374.18,1609.31
84,3942.5299999999997,1398.29,3374.18,1609.31
85,3942.5299999999997,1398.29,3374.18,1609.31
86,3942.5299999999997,1398.29,3374.18,1609.31
87,3942.5299999999997,1398.29,3374.18,1609.31
88,3942.5299999999997,1398.29,3374.18,1609.31
89,3942.5299999999997,1398.29,3374.18,1609.31
90,3942.5299999999997,1398.29,3374.18,1609.31
91,3942.5299999999997,1398.29,3374.18,1609.31
92,3942.5299999999997,1398.29,3374.18,1609.31
93,3942.5299999999997,1398.29,3374.18,1609.31
94,3942.5299999999997,1398.29,3374.18,1609.31
95,3942.5299999999997,1398.29,3374.18,1609.31
96,3942.5299999999997,1398.29,3374.18,1609.31
97,3942.5299999999997,1398.29,3374.18,1609.31
98,3942.5299999999997,1398.29,3374.18,1609.31
99,3942.5299999999997,1398.29,3374.18,1609.31
100,3942.5299999999997,1398.29,3374.18,1609.31
101,3942.5299999999997,1398.29,3374.18,1609.31
102,3942.5299999999997,1398.29,3374.18,1609.31
103,3942.5299999999997,1398.29,3374.18,1609.31
104,3942.5299999999997,1398.29,3374.18,1609.31
105,3942.5299999999997,1398.29,3374.18,1609.31
106,3942.5299999999997,1398.29,3374.18,1609.31
107,3942.5299999999997,1398.29,3374.18,1609.31
