,FIT_200_002A_P.PV,FIT_200_004A_P.PV,PT_200A_Tags.Q_Filtrate_PV
0,0.0,0.0,1503.09
1,0.0,0.0,1503.52
2,0.0,0.0,1503.42
3,0.0,0.0,1508.97
4,0.0,0.0,1509.35
5,0.0,0.0,1509.16
6,0.0,0.0,1503.6
7,0.0,0.0,1501.33
8,0.0,0.0,1503.37
9,0.0,0.0,1504.37
10,0.0,0.0,1502.56
11,0.0,0.0,1508.08
12,0.0,0.0,1505.39
13,0.0,0.0,1509.67
14,0.0,0.0,1503.15
15,0.0,0.0,1498.19
16,0.0,0.0,1502.13
17,0.0,0.0,1508.02
18,0.0,0.0,1512.62
19,0.0,0.0,1505.74
20,0.0,0.0,1505.21
21,0.0,0.0,1500.91
22,0.0,0.0,1502.57
23,0.0,0.0,1506.58
24,0.0,0.0,1511.4
25,0.0,0.0,1505.99
26,0.0,0.0,1503.0
27,0.0,0.0,1501.23
28,0.0,0.0,1501.08
29,0.0,0.0,1503.76
30,0.0,0.0,1510.93
31,0.0,0.0,1504.01
32,0.0,0.0,1509.28
33,0.0,0.0,1508.12
34,0.0,0.0,1507.04
35,0.0,0.0,1496.21
36,0.0,0.0,1502.69
37,0.0,0.0,1508.2
38,0.0,0.0,1503.05
39,0.0,0.0,1509.3
40,0.0,0.0,1442.18
41,0.0,0.0,1497.76
42,0.0,0.0,1510.3
43,0.0,0.0,1505.99
44,0.0,0.0,1510.05
45,0.0,0.0,1507.97
46,0.0,0.0,1500.78
47,0.0,0.0,1507.04
48,0.0,0.0,1503.94
49,0.0,0.0,1511.12
50,0.0,0.0,1505.58
51,0.0,0.0,1501.82
52,0.0,0.0,1506.25
53,0.0,0.0,1504.32
54,0.0,0.0,1507.38
55,0.0,0.0,1508.86
56,0.0,0.0,1505.78
57,0.0,0.0,1507.98
58,0.0,0.0,1500.09
59,0.0,0.0,1500.09
60,0.0,0.0,1504.71
61,0.0,0.0,1506.17
62,0.0,0.0,1505.2
63,0.0,0.0,1505.27
64,0.0,0.0,1507.19
65,0.0,0.0,1497.05
66,0.0,0.0,1501.6
67,0.0,0.0,1508.07
68,0.0,0.0,1506.49
69,0.0,0.0,1512.36
70,0.0,0.0,1505.07
71,0.0,0.0,1503.18
72,0.0,0.0,1503.45
73,0.0,0.0,1504.02
74,0.0,0.0,1502.83
75,0.0,0.0,1504.73
76,0.0,0.0,1505.24
77,0.0,0.0,1511.83
78,0.0,0.0,1505.24
79,0.0,0.0,1501.49
80,0.0,0.0,1504.2
81,0.0,0.0,1505.55
82,0.0,0.0,1502.39
83,0.0,0.0,1507.52
84,0.0,0.0,1498.42
85,0.0,0.0,1509.05
86,0.0,0.0,1509.2
87,0.0,0.0,1510.72
88,0.0,0.0,1499.02
89,0.0,0.0,1505.26
90,0.0,0.0,1502.51
91,0.0,0.0,1510.73
92,0.0,0.0,1505.81
93,0.0,0.0,1505.55
94,0.0,0.0,1506.98
95,0.0,0.0,1504.43
96,0.0,0.0,1501.35
97,0.0,0.0,1504.58
98,0.0,0.0,1503.57
99,0.0,0.0,1505.06
100,0.0,0.0,1511.6
101,0.0,0.0,1506.03
102,0.0,0.0,1495.47
