,"SUM(900, 1000)",FIT_400_001B_P.PV,FIT_400_002B_P.PV,Q_400_001B_P.PV
0,1505.24,804.83,699.77,805.47
1,1505.53,805.39,700.0,805.53
2,1506.6399999999999,804.12,700.27,806.37
3,1505.58,805.0,700.21,805.37
4,1504.49,802.43,699.14,805.35
5,1505.62,806.07,700.32,805.3
6,1505.76,806.98,700.29,805.47
7,1505.9299999999998,804.56,700.13,805.8
8,1504.75,803.56,699.66,805.09
9,1505.8899999999999,803.22,700.29,805.6
10,1505.26,804.39,699.9,805.36
11,1505.8899999999999,805.36,700.37,805.52
12,1505.57,806.52,700.27,805.3
13,1505.72,806.75,700.03,805.69
14,1505.8600000000001,804.04,700.34,805.52
15,1504.87,804.41,699.65,805.22
16,1505.12,805.46,699.73,805.39
17,1505.3200000000002,807.28,699.98,805.34
18,1505.33,803.53,699.63,805.7
19,1505.72,803.15,700.13,805.59
20,1505.85,805.36,699.94,805.91
21,1505.26,805.88,699.73,805.53
22,1505.48,806.05,700.11,805.37
23,1505.54,803.89,699.93,805.61
24,1505.67,802.86,699.78,805.89
25,1505.12,806.6,699.91,805.21
26,1505.04,807.33,699.91,805.13
27,1505.02,804.0,699.94,805.08
28,1505.48,805.57,700.04,805.44
29,1504.68,803.23,699.58,805.1
30,1505.49,807.24,700.12,805.37
31,1504.4,802.4,699.38,805.02
32,1505.76,805.49,700.41,805.35
33,1506.1399999999999,807.47,700.1,806.04
34,1505.6999999999998,804.76,700.15,805.55
35,1504.81,803.43,699.69,805.12
36,1505.6599999999999,805.6,700.05,805.61
37,1505.8000000000002,809.16,699.85,805.95
38,1504.88,804.07,699.63,805.25
39,1504.9499999999998,805.63,699.42,805.53
40,1505.58,802.94,700.31,805.27
41,1505.22,805.2,699.94,805.28
42,1505.15,804.54,700.27,804.88
43,1505.96,807.63,700.59,805.37
44,1504.75,802.15,699.64,805.11
45,1505.53,806.09,700.1,805.43
46,1505.6999999999998,803.17,699.9,805.8
47,1505.0,804.33,699.61,805.39
48,1505.45,804.44,699.99,805.46
49,1505.95,806.22,700.73,805.22
50,1504.95,803.57,699.44,805.51
51,1504.89,806.28,699.95,804.94
52,1505.7,805.41,700.13,805.57
53,1505.04,804.16,699.86,805.18
54,1504.98,804.55,699.66,805.32
55,1505.62,804.82,700.27,805.35
56,1505.6100000000001,804.51,700.23,805.38
57,1505.2199999999998,803.26,699.54,805.68
58,1505.57,806.54,699.65,805.92
59,1505.3600000000001,805.19,699.84,805.52
60,1505.3000000000002,804.43,699.69,805.61
61,1505.53,805.6,700.12,805.41
62,1506.04,806.49,700.38,805.66
63,1505.97,805.61,700.5,805.47
64,1505.3,805.06,699.75,805.55
65,1504.83,803.79,699.53,805.3
66,1504.85,806.05,699.12,805.73
67,1505.8400000000001,805.54,700.36,805.48
68,1505.92,806.03,700.39,805.53
69,1506.0500000000002,806.0,700.48,805.57
70,1505.87,805.4,700.39,805.48
71,1504.8400000000001,804.08,699.85,804.99
72,1504.02,803.76,699.49,804.53
73,1505.4699999999998,806.39,700.18,805.29
74,1505.69,806.65,700.22,805.47
75,1504.71,803.49,699.54,805.17
76,1505.7600000000002,805.08,700.07,805.69
77,1505.92,807.75,700.23,805.69
78,1504.53,804.15,699.48,805.05
79,1505.38,805.58,699.81,805.57
80,1505.13,804.24,699.56,805.57
81,1504.6799999999998,806.58,700.05,804.63
82,1504.54,803.26,699.93,804.61
83,1504.48,803.09,699.33,805.15
84,1504.9299999999998,803.84,699.55,805.38
85,1505.73,809.43,700.59,805.14
86,1504.3400000000001,804.61,699.19,805.15
87,1504.8200000000002,807.87,699.35,805.47
88,1505.85,804.96,700.5,805.35
89,1504.65,803.45,699.66,804.99
90,1504.23,805.63,699.27,804.96
91,1505.25,804.67,699.83,805.42
92,1505.19,805.72,699.95,805.24
93,1506.02,805.54,700.67,805.35
94,1505.02,805.73,699.35,805.67
95,1505.17,805.46,699.89,805.28
96,1505.23,805.38,700.33,804.9
97,1505.87,804.04,700.03,805.84
98,1505.33,803.59,700.0,805.33
99,1506.08,807.45,700.61,805.47
100,1505.68,804.98,700.19,805.49
101,1505.1100000000001,803.91,700.02,805.09
102,1505.18,805.32,700.36,804.82
103,1506.06,806.78,700.39,805.67
104,1505.22,803.42,700.36,804.86
105,1505.0300000000002,804.96,699.7,805.33
106,1506.32,805.83,700.56,805.76
107,1505.18,803.68,699.71,805.47
108,1505.83,804.02,700.51,805.32
109,1506.41,804.06,700.2,806.21
110,1505.91,805.86,700.44,805.47
111,1505.27,803.53,699.86,805.41
112,1505.47,804.97,700.12,805.35
113,1505.75,805.48,700.44,805.31
114,1504.98,804.06,699.57,805.41
115,1506.1,806.6,700.73,805.37
116,1505.87,803.69,700.29,805.58
117,1504.79,804.96,699.34,805.45
118,1505.97,804.57,700.27,805.7
119,1505.48,805.65,700.25,805.23
120,1504.5700000000002,803.41,699.45,805.12
121,1504.7,803.91,699.63,805.07
