,"SUM(900, 1000)",FIT_100_001_P.PV,FIT_900_002_P.PV,FIT_1000_001_P.PV
0,4712.71,4783.45,2110.14,2602.57
1,4818.24,4864.95,2119.18,2699.06
2,5390.4400000000005,5339.6,2113.26,3277.18
3,4610.49,4764.52,2117.19,2493.3
4,4733.28,4602.43,2120.54,2612.74
5,4704.33,4668.12,2110.03,2594.3
6,4762.43,4723.88,2113.93,2648.5
7,4737.7,4786.74,2122.23,2615.47
8,5256.24,5293.32,2111.91,3144.33
9,4807.28,5014.99,2114.56,2692.72
10,4728.59,4627.33,2114.16,2614.43
11,4666.43,4737.42,2110.3,2556.13
12,4711.5,4658.86,2097.16,2614.34
13,4801.040000000001,4560.69,2104.51,2696.53
14,4639.03,4641.02,2108.81,2530.22
15,4656.110000000001,4978.64,2097.6,2558.51
16,5212.19,4994.98,2105.95,3106.24
17,4597.87,4997.28,2102.13,2495.74
18,4943.73,4808.06,2099.74,2843.99
19,4721.29,4645.66,2100.36,2620.93
20,4675.63,4816.99,2099.75,2575.88
21,4658.51,4663.94,2103.85,2554.66
22,4986.49,4873.36,2103.02,2883.47
23,4698.700000000001,4976.27,2101.09,2597.61
24,4858.15,4788.15,2105.76,2752.39
25,4636.02,4553.55,2108.24,2527.78
26,4609.870000000001,4802.43,2111.01,2498.86
27,4768.469999999999,4566.53,2110.18,2658.29
28,4730.65,4668.25,2116.29,2614.36
29,4818.26,5148.26,2112.41,2705.85
30,5157.129999999999,5001.04,2110.45,3046.68
31,4709.44,4818.32,2115.45,2593.99
32,4693.389999999999,4479.06,2113.92,2579.47
33,4863.120000000001,5289.76,2108.11,2755.01
34,4999.5599999999995,4839.73,2109.62,2889.94
35,4775.85,4625.45,2111.36,2664.49
36,4706.76,4655.1,2111.3,2595.46
37,5019.889999999999,5062.1,2111.46,2908.43
38,4697.29,4736.52,2101.74,2595.55
39,4836.4400000000005,4972.4,2103.93,2732.51
40,4614.32,4627.38,2105.09,2509.23
41,4741.13,4863.76,2097.31,2643.82
42,5028.23,4962.58,2103.39,2924.84
43,5065.75,5166.53,2102.84,2962.91
44,4722.29,4609.2,2094.77,2627.52
45,4660.0,4531.75,2098.44,2561.56
46,4700.24,5019.34,2102.04,2598.2
47,4831.71,4752.42,2106.35,2725.36
48,4682.83,4494.8,2101.24,2581.59
49,4673.360000000001,4880.49,2106.09,2567.27
50,4770.799999999999,4557.08,2110.68,2660.12
51,4714.360000000001,4691.25,2108.73,2605.63
52,4942.92,5066.9,2110.66,2832.26
53,4817.34,4581.27,2114.08,2703.26
54,4522.3099999999995,4694.84,2110.24,2412.07
55,4607.5,4621.38,2114.65,2492.85
56,4641.889999999999,4618.79,2115.33,2526.56
57,4894.719999999999,5186.31,2107.5,2787.22
58,5018.85,5071.61,2115.12,2903.73
59,4709.889999999999,4732.59,2115.29,2594.6
60,5061.78,4843.73,2111.45,2950.33
61,4728.58,4809.94,2114.66,2613.92
62,4705.93,4627.13,2108.94,2596.99
63,4644.99,4490.83,2107.41,2537.58
64,4634.88,4723.36,2100.63,2534.25
65,4580.22,4716.77,2105.82,2474.4
66,4600.88,4535.59,2101.48,2499.4
67,4662.33,4617.53,2108.28,2554.05
68,4542.92,4855.15,2104.12,2438.8
69,4634.13,4482.27,2101.63,2532.5
70,4604.639999999999,4550.66,2103.6,2501.04
71,4632.79,4903.19,2096.85,2535.94
72,4648.92,4447.0,2102.86,2546.06
73,4512.31,4617.67,2107.78,2404.53
74,4564.35,4851.47,2098.08,2466.27
75,4670.32,4467.16,2101.92,2568.4
76,4586.700000000001,4651.04,2113.59,2473.11
77,4612.860000000001,4747.11,2104.21,2508.65
78,4662.98,4777.41,2112.25,2550.73
79,5230.4400000000005,5109.08,2114.15,3116.29
80,4696.28,4931.2,2107.66,2588.62
81,4982.66,4841.79,2114.51,2868.15
82,4661.09,4757.16,2114.03,2547.06
83,4823.54,4583.02,2110.3,2713.24
84,4659.76,4623.81,2115.62,2544.14
85,4641.07,4653.54,2113.11,2527.96
86,4552.1900000000005,4672.02,2111.04,2441.15
87,4564.860000000001,4584.87,2113.15,2451.71
88,4649.41,4908.84,2108.4,2541.01
89,5189.969999999999,5210.57,2109.95,3080.02
90,4695.33,4840.72,2099.08,2596.25
91,4925.23,4845.21,2105.21,2820.02
92,4643.6,4630.56,2104.67,2538.93
93,4669.110000000001,4833.17,2100.01,2569.1
94,5278.700000000001,5285.1,2103.88,3174.82
95,4663.93,4637.33,2101.43,2562.5
96,4607.59,4653.48,2099.24,2508.35
97,4779.719999999999,4754.05,2108.14,2671.58
98,4579.37,4554.0,2100.97,2478.4
99,4693.93,4728.22,2101.56,2592.37
100,4833.92,4912.37,2106.94,2726.98
101,4768.26,4915.75,2099.34,2668.92
102,4668.46,4694.83,2107.64,2560.82
103,5146.24,5123.23,2117.24,3029.0
104,4671.879999999999,4874.45,2109.22,2562.66
105,4732.03,4541.29,2114.83,2617.2
106,4597.11,4717.06,2116.66,2480.45
107,4949.8,5002.51,2112.13,2837.67
108,4641.48,4745.86,2116.75,2524.73
109,4798.59,4497.42,2114.71,2683.88
110,4666.6,4914.11,2112.49,2554.11
111,5128.92,4967.56,2114.69,3014.23
112,4682.469999999999,4876.69,2111.7,2570.77
113,4800.23,4700.84,2115.79,2684.44
114,4738.68,4792.72,2111.52,2627.16
115,4984.450000000001,5069.05,2103.67,2880.78
116,4682.16,4649.01,2105.94,2576.22
117,5008.280000000001,5073.03,2108.57,2899.71
118,4773.58,4670.6,2096.09,2677.49
119,4603.4400000000005,4503.94,2101.41,2502.03
120,4659.17,4889.41,2103.22,2555.95
121,4797.85,4519.25,2098.83,2699.02
122,4657.129999999999,4602.4,2104.89,2552.24
123,4683.4400000000005,4720.23,2096.81,2586.63
124,4682.54,4695.03,2099.44,2583.1
125,4627.04,4615.97,2104.7,2522.34
126,4904.48,5099.93,2099.38,2805.1
127,4814.780000000001,4865.33,2105.53,2709.25
128,4687.12,4545.18,2102.72,2584.4
129,4684.950000000001,4550.07,2098.94,2586.01
130,4577.87,4903.77,2115.68,2462.19
131,4612.75,4477.77,2107.33,2505.42
132,4633.88,4559.14,2108.65,2525.23
133,4586.42,4843.58,2114.52,2471.9
134,4588.26,4553.81,2109.01,2479.25
135,4771.41,4733.43,2112.48,2658.93
136,5002.54,5160.02,2116.69,2885.85
137,5070.3099999999995,5288.6,2105.69,2964.62
138,4767.28,4617.75,2114.66,2652.62
139,4702.25,4908.67,2119.46,2582.79
140,4701.93,4532.44,2105.11,2596.82
141,4925.59,4535.66,2110.63,2814.96
142,4697.58,4852.54,2111.22,2586.36
143,4672.139999999999,4575.89,2100.02,2572.12
144,4602.799999999999,4553.19,2103.45,2499.35
145,4578.6,4691.75,2108.87,2469.73
146,4514.07,4815.32,2101.94,2412.13
147,4655.87,4782.01,2105.63,2550.24
148,5430.73,5335.22,2104.31,3326.42
149,4602.28,4916.29,2096.7,2505.58
150,4681.62,4599.45,2108.56,2573.06
151,4655.34,4512.96,2103.34,2552.0
152,4723.33,4861.26,2102.36,2620.97
153,4668.41,4527.84,2109.14,2559.27
154,4620.82,4614.42,2099.22,2521.6
155,4642.6,4701.57,2109.98,2532.62
156,4599.35,4671.97,2112.16,2487.19
157,4604.35,4546.11,2104.79,2499.56
158,4521.77,4658.35,2113.83,2407.94
159,4591.46,4854.48,2112.71,2478.75
160,4849.41,4662.22,1419.74,3429.67
161,5235.21,5398.46,2099.58,3135.63
162,4817.66,4887.47,2119.95,2697.71
163,4781.85,4458.42,2116.37,2665.48
164,4650.16,4849.77,2117.05,2533.11
165,4772.33,4640.05,2113.63,2658.7
166,4776.07,4499.71,2115.94,2660.13
167,4629.700000000001,4801.83,2120.65,2509.05
168,4944.3099999999995,4949.84,2097.68,2846.63
169,4801.65,4836.74,2108.42,2693.23
170,4622.71,4579.2,2107.65,2515.06
171,4615.8099999999995,4657.69,2099.36,2516.45
172,4586.389999999999,4671.09,2109.74,2476.65
173,4631.200000000001,4820.62,2098.01,2533.19
174,5096.73,5124.99,2097.7,2999.03
175,4631.68,4702.65,2105.31,2526.37
176,4732.870000000001,4691.74,2095.07,2637.8
177,4592.049999999999,4679.83,2105.91,2486.14
178,4658.54,4627.77,2102.44,2556.1
179,4686.860000000001,4770.62,2099.8,2587.06
180,5191.389999999999,5257.87,2108.91,3082.48
181,4922.01,4909.1,2101.15,2820.86
182,4794.46,4761.74,2110.7,2683.76
183,4903.73,4986.36,2115.24,2788.49
184,4789.93,4976.15,2108.88,2681.05
185,4699.360000000001,4575.8,2116.02,2583.34
186,5077.860000000001,5168.43,2110.17,2967.69
187,4963.91,5062.44,2117.09,2846.82
188,4643.3099999999995,4489.33,2113.94,2529.37
189,4822.02,4660.27,2109.57,2712.45
190,4829.42,5176.46,2119.85,2709.57
191,4818.27,4562.28,2107.38,2710.89
192,4808.2,4751.36,2105.71,2702.49
193,4707.5,4643.07,2117.76,2589.74
194,4778.9,4920.79,2106.95,2671.95
195,4996.95,4783.96,2107.14,2889.81
196,4693.55,4780.59,2105.9,2587.65
197,4697.42,4573.81,2102.12,2595.3
198,4714.3099999999995,4646.32,2102.48,2611.83
199,4606.7,4732.18,2098.31,2508.39
200,4655.23,4622.29,2101.39,2553.84
201,4640.01,4579.94,2103.8,2536.21
202,4958.42,5320.96,2099.11,2859.31
203,4804.8099999999995,4884.6,2103.07,2701.74
204,4757.15,4549.45,2099.96,2657.19
205,4693.549999999999,4742.18,2103.49,2590.06
206,4781.04,5039.61,2102.22,2678.82
207,5138.23,4938.93,2102.14,3036.09
208,4668.16,4735.24,2113.53,2554.63
209,4861.18,5165.89,2107.85,2753.33
210,4784.48,4604.54,2113.26,2671.22
211,4691.41,4689.42,2112.21,2579.2
212,5087.73,5342.02,2112.07,2975.66
213,4793.43,4593.5,2114.56,2678.87
214,4653.49,4650.6,2104.29,2549.2
215,4624.28,4662.1,2114.99,2509.29
216,4773.75,4647.68,2116.24,2657.51
217,4639.3099999999995,4643.52,2110.15,2529.16
218,4616.51,4655.49,2109.26,2507.25
219,4649.82,4565.39,2109.41,2540.41
220,4680.8,4726.19,2107.67,2573.13
221,4619.799999999999,4572.09,2110.62,2509.18
222,4513.9,4741.55,2107.13,2406.77
223,4611.110000000001,4501.32,2107.07,2504.04
224,4597.51,4828.17,2104.45,2493.06
225,4617.27,4560.76,2101.77,2515.5
226,4664.549999999999,4550.95,2096.12,2568.43
227,4518.16,4792.21,2100.95,2417.21
228,4789.22,4665.6,2105.76,2683.46
229,5345.48,5451.74,2096.26,3249.22
230,4810.28,5041.71,2103.18,2707.1
231,4793.57,4494.91,2102.23,2691.34
232,4638.66,4706.81,2095.4,2543.26
233,4743.93,4790.74,2106.12,2637.81
234,4644.99,4382.12,2105.4,2539.59
235,4675.62,4778.7,2106.1,2569.52
236,4634.66,4707.03,2105.69,2528.97
237,4626.38,4564.26,2108.94,2517.44
238,4610.73,4590.83,2107.24,2503.49
239,4494.2,4886.2,1793.08,2701.12
240,4879.530000000001,4366.62,2097.27,2782.26
241,4542.35,4768.56,2123.34,2419.01
242,4686.22,4861.87,2115.59,2570.63
243,5251.51,5320.41,2106.12,3145.39
244,4945.610000000001,5168.78,2120.54,2825.07
245,4765.5,4456.14,2113.12,2652.38
246,4729.59,4635.05,2108.11,2621.48
247,4708.360000000001,4924.45,2113.17,2595.19
248,4832.37,4438.26,2106.7,2725.67
249,4658.4,4635.84,2107.52,2550.88
250,4598.01,4852.62,2099.91,2498.1
251,5122.6900000000005,5110.8,2102.0,3020.69
252,4815.6900000000005,4845.99,2103.31,2712.38
253,4639.4400000000005,4677.9,2104.83,2534.61
254,4628.73,4585.57,2100.7,2528.03
255,4761.99,4734.64,2094.05,2667.94
256,4850.25,5168.57,2106.54,2743.71
257,5162.07,5233.89,2101.95,3060.12
258,4640.33,4747.22,2098.87,2541.46
