,FIT_400_001B_P.PV,FIT_400_002B_P.PV,Q_400_001B_P.PV
0,804.56,700.52,805.53
1,806.82,700.21,805.09
2,807.43,699.96,805.32
3,803.54,699.75,805.56
4,807.01,700.45,805.71
5,806.47,699.26,805.48
6,805.17,700.06,805.49
7,805.03,700.21,805.44
8,806.34,700.24,805.54
9,805.74,700.66,805.83
10,806.09,699.83,805.43
11,804.67,700.81,805.37
12,805.46,700.71,805.35
13,806.2,700.78,805.4
14,807.53,700.32,805.15
15,806.5,699.77,805.57
16,805.35,699.58,805.41
17,806.92,699.68,805.34
18,805.94,699.64,805.2
19,806.21,699.96,805.39
20,807.66,700.32,805.2
21,803.84,699.74,805.51
22,805.65,700.01,805.58
23,807.74,699.93,805.36
24,805.56,699.45,805.47
25,806.04,699.83,805.23
26,801.54,699.3,805.39
27,806.15,700.12,805.58
28,805.19,700.2,805.01
29,802.86,699.42,805.3
30,809.19,700.27,805.52
31,803.94,699.88,805.33
32,806.66,700.45,805.41
33,810.05,700.27,805.38
34,804.97,699.69,805.35
35,799.83,698.85,804.44
36,803.6,700.43,805.41
37,800.94,699.67,805.26
38,804.46,699.96,805.37
39,808.0,700.05,805.27
40,787.85,685.14,787.99
41,804.99,698.42,805.12
42,803.1,700.12,805.52
43,807.69,700.46,805.1
44,803.24,699.88,805.49
45,805.71,699.73,805.6
46,807.86,700.18,805.25
47,807.75,699.62,805.17
48,798.32,699.58,805.65
49,806.68,700.25,805.4
50,811.55,700.45,805.2
51,799.76,698.78,805.41
52,807.55,700.48,805.41
53,806.66,700.86,805.07
54,804.74,699.55,805.48
55,804.29,700.51,805.4
56,803.14,699.96,805.72
57,807.75,700.11,805.46
58,808.87,700.62,805.31
59,805.89,699.68,805.32
60,800.61,699.01,805.45
61,807.36,700.03,805.27
62,806.49,699.72,805.31
63,806.68,700.04,805.37
64,804.79,699.11,805.12
65,803.31,700.25,805.46
66,806.1,700.02,805.21
67,808.15,700.05,805.41
68,803.41,700.11,804.91
69,803.15,700.14,805.17
70,804.13,700.09,805.73
71,808.32,699.96,805.47
72,806.97,699.31,805.39
73,802.59,699.52,805.38
74,801.99,699.64,805.06
75,805.88,700.74,805.65
76,806.89,700.28,805.2
77,803.88,699.59,805.53
78,807.62,700.24,805.4
79,800.34,699.47,805.08
80,810.22,700.47,805.49
81,806.63,699.32,805.5
82,806.27,700.02,805.25
83,803.8,699.91,805.57
84,804.03,699.93,805.43
85,804.92,699.88,805.44
86,803.78,700.11,805.45
87,805.56,700.17,805.04
88,807.9,700.17,804.7
89,807.01,699.23,805.3
90,807.44,700.27,805.32
91,804.82,700.12,805.37
92,801.86,699.45,805.22
93,808.73,700.82,805.59
94,807.48,699.3,805.47
95,802.76,699.68,805.38
96,802.77,699.82,805.52
97,805.27,700.4,805.58
98,810.68,699.73,805.25
99,799.45,699.36,805.47
100,812.22,700.31,805.54
101,800.86,699.18,805.25
102,806.66,700.66,805.19
103,807.97,700.12,805.26
104,369.24,699.96,805.37
105,805.02,699.96,808.69
106,802.25,498.62,812.15
107,804.4,699.23,805.04
108,805.84,700.11,805.54
109,807.47,699.57,805.38
110,807.67,700.09,805.37
111,801.99,699.79,805.07
112,804.44,700.23,805.17
113,808.08,700.24,805.37
114,805.97,700.27,805.48
115,808.56,700.57,805.29
116,803.13,699.83,805.39
117,799.41,699.95,805.62
118,808.32,700.43,805.32
119,805.07,699.74,805.33
120,803.42,699.23,805.42
121,804.43,699.51,805.96
122,807.8,699.88,805.44
123,807.71,699.49,805.44
124,807.53,700.21,805.66
125,803.69,699.75,805.53
126,801.9,699.96,805.72
127,805.46,700.35,805.58
128,807.34,700.18,805.41
129,802.06,699.89,805.32
130,807.86,700.24,805.35
131,807.87,700.05,805.22
132,804.59,700.62,805.05
133,803.5,700.0,805.62
134,806.57,700.21,805.72
135,805.2,699.98,805.24
136,804.78,699.84,805.48
137,803.99,699.96,805.75
138,811.7,700.54,805.69
139,802.07,699.73,805.63
140,802.34,700.57,805.44
141,805.45,700.28,805.29
142,806.67,699.85,805.51
143,805.24,699.62,805.45
144,803.52,699.12,805.5
145,809.25,700.42,805.1
146,808.91,700.85,805.24
147,804.71,699.45,805.62
148,801.35,699.64,805.22
149,803.22,700.21,805.45
150,808.94,701.12,805.44
151,806.54,700.0,805.57
152,806.73,699.6,805.46
153,804.62,700.4,805.41
154,803.99,699.9,805.33
155,803.74,699.51,805.4
156,809.78,700.34,805.49
157,806.96,699.5,805.23
158,802.31,699.61,805.14
159,720.45,699.96,677.34
160,804.61,699.96,805.37
161,804.61,699.96,805.37
162,804.61,699.96,805.37
163,804.61,699.96,805.37
164,804.61,699.96,805.37
165,804.61,699.96,805.37
166,804.61,699.96,805.37
167,804.61,699.96,805.37
168,804.61,699.96,805.37
169,416.26,699.96,805.37
170,803.46,699.96,806.06
171,804.1,699.96,820.04
172,804.81,698.62,805.49
173,806.25,699.71,805.58
174,808.13,699.92,805.5
175,805.09,699.29,805.89
176,804.63,699.6,805.35
177,801.29,699.43,805.42
178,811.69,700.6,805.57
179,800.89,698.9,805.29
180,804.47,700.75,805.43
181,809.83,699.76,805.59
182,803.23,699.52,805.0
183,800.93,699.95,805.48
184,808.55,700.86,805.33
185,807.16,699.39,805.47
186,805.44,700.35,805.44
187,804.98,699.77,805.7
188,805.03,700.15,805.43
189,804.16,700.09,805.74
190,805.61,699.97,805.64
191,805.82,699.8,805.33
192,805.29,699.78,805.49
193,804.17,700.13,805.43
194,801.8,699.9,805.93
195,811.46,700.5,805.68
196,804.27,699.11,805.3
197,800.91,700.18,804.94
198,806.75,700.48,805.19
199,806.47,699.91,805.4
200,806.13,700.26,805.6
201,807.35,699.55,805.63
202,803.58,699.67,805.27
203,802.64,700.5,805.35
204,807.51,700.55,805.66
205,804.72,699.85,805.42
206,805.22,700.16,805.36
207,810.41,699.64,805.4
208,798.37,699.17,805.54
209,809.41,700.26,805.35
210,808.18,700.04,805.55
211,805.98,699.82,805.07
212,801.8,699.64,805.25
213,805.05,700.25,805.52
