,FIT_200_002A_P.PV,FIT_200_004A_P.PV,PT_200A_Tags.Q_Filtrate_PV
0,0.0,0.0,1447.82
1,0.0,0.0,1449.14
2,0.0,0.0,1452.34
3,0.0,0.0,1456.55
4,0.0,0.0,1452.25
5,0.0,0.0,1456.45
6,0.0,0.0,1454.1
7,0.0,0.0,1453.99
8,0.0,0.0,1451.96
9,0.0,0.0,1454.76
10,0.0,0.0,1451.32
11,0.0,0.0,1453.53
12,0.0,0.0,1451.98
13,0.0,0.0,1454.45
14,0.0,0.0,1452.79
15,0.0,0.0,1453.17
16,0.0,0.0,1447.03
17,0.0,0.0,1449.97
18,0.0,0.0,1447.81
19,0.0,0.0,1349.77
20,0.0,0.0,523.04
21,0.0,0.0,1504.33
22,0.0,0.0,1504.33
23,0.0,0.0,1504.33
24,0.0,0.0,1504.33
25,0.0,0.0,1504.33
26,0.0,0.0,1504.33
27,0.0,0.0,1504.33
28,0.0,0.0,1504.33
29,0.0,0.0,1504.33
30,0.0,0.0,1504.33
31,0.0,0.0,1504.33
32,0.0,0.0,1504.33
33,0.0,0.0,1504.33
34,0.0,0.0,1504.33
35,0.0,0.0,1504.33
36,0.0,0.0,1504.33
37,0.0,0.0,1504.33
38,0.0,0.0,1504.33
39,0.0,0.0,1504.33
40,0.0,0.0,1504.33
41,0.0,0.0,1504.33
42,0.0,0.0,1504.33
43,0.0,0.0,1504.33
44,0.0,0.0,1504.33
45,0.0,0.0,1504.33
46,0.0,0.0,1504.33
47,0.0,0.0,1504.33
48,0.0,0.0,1504.33
49,0.0,0.0,1504.33
50,0.0,0.0,1504.33
51,0.0,0.0,1504.33
52,0.0,0.0,1504.33
53,0.0,0.0,1504.33
54,0.0,0.0,1504.33
55,0.0,0.0,1504.33
56,0.0,0.0,1504.33
57,0.0,0.0,1504.33
58,0.0,0.0,1504.33
59,0.0,0.0,1504.33
60,0.0,0.0,1504.33
61,0.0,0.0,1504.33
62,0.0,0.0,1504.33
63,0.0,0.0,1504.33
64,0.0,0.0,1504.33
65,0.0,0.0,1504.33
66,0.0,0.0,1504.33
67,0.0,0.0,1504.33
68,0.0,0.0,1504.33
69,0.0,0.0,1504.33
70,0.0,0.0,1504.33
71,0.0,0.0,1504.33
72,0.0,0.0,1504.33
73,0.0,0.0,1504.33
74,0.0,0.0,1504.33
75,0.0,0.0,1504.33
76,0.0,0.0,1504.33
77,0.0,0.0,1504.33
78,0.0,0.0,1504.33
79,0.0,0.0,1504.33
80,0.0,0.0,1504.33
81,0.0,0.0,1504.33
82,0.0,0.0,1504.33
83,0.0,0.0,1504.33
84,0.0,0.0,1504.33
85,0.0,0.0,1504.33
86,0.0,0.0,1504.33
87,0.0,0.0,1504.33
88,0.0,0.0,1504.33
89,0.0,0.0,1504.33
90,0.0,0.0,1504.33
91,0.0,0.0,1504.33
92,0.0,0.0,1504.33
93,0.0,0.0,1504.33
94,0.0,0.0,1504.33
95,0.0,0.0,1504.33
96,0.0,0.0,1504.33
97,0.0,0.0,1504.33
98,0.0,0.0,1504.33
99,0.0,0.0,1504.33
100,0.0,0.0,1504.33
101,0.0,0.0,1504.33
102,0.0,0.0,1504.33
103,0.0,0.0,1504.33
104,0.0,0.0,1504.33
105,0.0,0.0,1504.33
106,0.0,0.0,1504.33
107,0.0,0.0,1504.33
108,0.0,0.0,1504.33
109,0.0,0.0,1504.33
110,0.0,0.0,1504.33
111,0.0,0.0,1504.33
112,0.0,0.0,1504.33
113,0.0,0.0,1504.33
114,0.0,0.0,1504.33
115,0.0,0.0,1504.33
116,0.0,0.0,1504.33
117,0.0,0.0,1504.33
118,0.0,0.0,1504.33
119,0.0,0.0,1504.33
120,0.0,0.0,1504.33
121,0.0,0.0,1504.33
122,0.0,0.0,1504.33
123,0.0,0.0,1504.33
124,0.0,0.0,1504.33
125,0.0,0.0,1504.33
126,0.0,0.0,1504.33
127,0.0,0.0,1504.33
128,0.0,0.0,1504.33
129,0.0,0.0,1504.33
130,0.0,0.0,1504.33
131,0.0,0.0,1504.33
132,0.0,0.0,1504.33
133,0.0,0.0,1504.33
134,0.0,0.0,1504.33
135,0.0,0.0,1504.33
136,0.0,0.0,1504.33
137,0.0,0.0,1504.33
138,0.0,0.0,1504.33
139,0.0,0.0,1504.33
140,0.0,0.0,1504.33
141,0.0,0.0,1504.33
142,0.0,0.0,1504.33
143,0.0,0.0,1504.33
144,0.0,0.0,1504.33
145,0.0,0.0,1504.33
146,0.0,0.0,1504.33
147,0.0,0.0,1504.33
148,0.0,0.0,1504.33
149,0.0,0.0,1504.33
150,0.0,0.0,1504.33
151,0.0,0.0,1504.33
152,0.0,0.0,1504.33
153,0.0,0.0,1504.33
154,0.0,0.0,1504.33
155,0.0,0.0,1504.33
156,0.0,0.0,1504.33
157,0.0,0.0,1504.33
158,0.0,0.0,1504.33
159,0.0,0.0,1504.33
160,0.0,0.0,1504.33
161,0.0,0.0,1504.33
162,0.0,0.0,1504.33
163,0.0,0.0,1504.33
164,0.0,0.0,1504.33
165,0.0,0.0,1504.33
166,0.0,0.0,1504.33
167,0.0,0.0,1504.33
168,0.0,0.0,1504.33
169,0.0,0.0,1504.33
170,0.0,0.0,1504.33
171,0.0,0.0,1504.33
172,0.0,0.0,1504.33
173,0.0,0.0,1504.33
174,0.0,0.0,1504.33
175,0.0,0.0,1504.33
176,0.0,0.0,1504.33
177,0.0,0.0,1504.33
178,0.0,0.0,1504.33
179,0.0,0.0,1504.33
180,0.0,0.0,1504.33
181,0.0,0.0,1504.33
182,0.0,0.0,1504.33
183,0.0,0.0,1504.33
184,0.0,0.0,1504.33
185,0.0,0.0,1504.33
186,0.0,0.0,1504.33
187,0.0,0.0,1504.33
188,0.0,0.0,1504.33
189,0.0,0.0,507.03
190,0.0,0.0,850.53
191,0.0,0.0,1507.5
192,0.0,0.0,1502.15
193,0.0,0.0,1508.12
194,0.0,0.0,1504.62
195,0.0,0.0,1508.33
196,0.0,0.0,1505.46
197,0.0,0.0,1505.98
198,0.0,0.0,1506.7
199,0.0,0.0,1507.88
200,0.0,0.0,1505.95
201,0.0,0.0,1504.05
202,0.0,0.0,1504.65
203,0.0,0.0,1504.46
204,0.0,0.0,1504.24
205,0.0,0.0,1505.45
206,0.0,0.0,1504.96
207,0.0,0.0,1504.58
208,0.0,0.0,1505.2
209,0.0,0.0,1512.04
210,0.0,0.0,1507.99
211,0.0,0.0,1505.15
212,0.0,0.0,1505.82
213,0.0,0.0,1505.94
214,0.0,0.0,1504.0
215,0.0,0.0,1505.25
216,0.0,0.0,1505.32
217,0.0,0.0,1505.18
218,0.0,0.0,1505.35
219,0.0,0.0,1503.6
220,0.0,0.0,1507.58
221,0.0,0.0,1505.47
222,0.0,0.0,1505.88
223,0.0,0.0,1503.05
224,0.0,0.0,1502.64
225,0.0,0.0,1507.27
226,0.0,0.0,1504.68
227,0.0,0.0,1503.44
228,0.0,0.0,1503.43
229,0.0,0.0,1502.71
230,0.0,0.0,1514.34
231,0.0,0.0,1507.04
232,0.0,0.0,1505.62
233,0.0,0.0,1506.67
234,0.0,0.0,1509.21
235,0.0,0.0,1502.95
236,0.0,0.0,1502.62
237,0.0,0.0,1503.7
238,0.0,0.0,1502.42
239,0.0,0.0,1503.4
240,0.0,0.0,1503.1
241,0.0,0.0,1512.15
242,0.0,0.0,1509.27
243,0.0,0.0,1506.01
244,0.0,0.0,1506.28
245,0.0,0.0,1506.22
246,0.0,0.0,1503.37
247,0.0,0.0,1504.1
248,0.0,0.0,1502.13
249,0.0,0.0,1505.87
250,0.0,0.0,1505.45
251,0.0,0.0,1505.23
252,0.0,0.0,1502.94
253,0.0,0.0,1504.35
254,0.0,0.0,1504.6
255,0.0,0.0,1508.9
256,0.0,0.0,1509.15
257,0.0,0.0,1506.0
258,0.0,0.0,1507.85
259,0.0,0.0,1509.05
260,0.0,0.0,1503.26
261,0.0,0.0,1504.52
262,0.0,0.0,1505.62
263,0.0,0.0,1503.68
264,0.0,0.0,1502.24
265,0.0,0.0,1503.23
