,FIT_400_001B_P.PV,FIT_400_002B_P.PV,Q_400_001B_P.PV
0,808.14,699.76,805.76
1,811.41,698.83,805.25
2,811.41,698.83,805.25
3,811.41,698.83,805.25
4,811.41,698.83,805.25
5,811.41,698.83,805.25
6,811.41,698.83,805.25
7,811.41,698.83,805.25
8,811.41,698.83,805.25
9,815.53,701.32,804.8
10,816.43,701.87,804.7
11,816.43,701.87,804.7
12,816.43,701.87,804.7
13,816.43,701.87,804.7
14,816.43,701.87,804.7
15,816.43,701.87,804.7
16,816.43,701.87,804.7
17,816.43,701.87,804.7
18,816.43,701.87,804.7
19,816.43,701.87,804.7
20,816.43,701.87,804.7
21,816.43,701.87,804.7
22,816.43,701.87,804.7
23,816.43,701.87,804.7
24,816.43,701.87,804.7
25,816.43,701.87,804.7
26,816.43,701.87,804.7
27,816.43,701.87,804.7
28,816.43,701.87,804.7
29,816.43,701.87,804.7
30,816.43,701.87,804.7
31,816.43,701.87,804.7
32,816.43,701.87,804.7
33,816.43,701.87,804.7
34,816.43,701.87,804.7
35,816.43,701.87,804.7
36,816.43,701.87,804.7
37,816.43,701.87,804.7
38,816.43,701.87,804.7
39,816.43,701.87,804.7
40,816.43,701.87,804.7
41,816.43,701.87,804.7
42,816.43,701.87,804.7
43,816.43,701.87,804.7
44,816.43,701.87,804.7
45,816.43,701.87,804.7
46,816.43,701.87,804.7
47,816.43,701.87,804.7
48,816.43,701.87,804.7
49,816.43,701.87,804.7
50,811.92,701.14,805.17
51,806.98,700.11,805.4
52,804.38,700.5,805.42
53,806.5,699.98,805.5
54,802.45,700.46,805.4
55,806.22,700.41,805.6
56,804.32,699.78,805.12
57,807.8,700.21,805.41
58,807.09,701.18,805.53
59,805.35,699.59,805.28
60,801.55,699.73,805.1
61,805.56,700.54,805.28
62,806.99,700.24,805.51
63,806.01,700.91,805.36
64,802.58,699.84,805.28
65,807.26,700.66,805.33
66,806.08,700.65,805.23
67,806.69,700.01,805.65
68,804.27,699.7,805.64
69,804.21,699.58,805.3
70,805.71,700.0,805.1
71,805.01,699.53,805.25
72,806.86,699.68,805.32
73,803.86,699.87,805.29
74,807.7,700.12,805.89
75,805.24,699.92,805.55
76,807.59,699.3,805.51
77,802.54,699.65,805.26
