,FIT_400_001B_P.PV,FIT_400_002B_P.PV,Q_400_001B_P.PV
0,804.83,699.77,805.47
1,805.39,700.0,805.53
2,804.12,700.27,806.37
3,805.0,700.21,805.37
4,802.43,699.14,805.35
5,806.07,700.32,805.3
6,806.98,700.29,805.47
7,804.56,700.13,805.8
8,803.56,699.66,805.09
9,803.22,700.29,805.6
10,804.39,699.9,805.36
11,805.36,700.37,805.52
12,806.52,700.27,805.3
13,806.75,700.03,805.69
14,804.04,700.34,805.52
15,804.41,699.65,805.22
16,805.46,699.73,805.39
17,807.28,699.98,805.34
18,803.53,699.63,805.7
19,803.15,700.13,805.59
20,805.36,699.94,805.91
21,805.88,699.73,805.53
22,806.05,700.11,805.37
23,803.89,699.93,805.61
24,802.86,699.78,805.89
25,806.6,699.91,805.21
26,807.33,699.91,805.13
27,804.0,699.94,805.08
28,805.57,700.04,805.44
29,803.23,699.58,805.1
30,807.24,700.12,805.37
31,802.4,699.38,805.02
32,805.49,700.41,805.35
33,807.47,700.1,806.04
34,804.76,700.15,805.55
35,803.43,699.69,805.12
36,805.6,700.05,805.61
37,809.16,699.85,805.95
38,804.07,699.63,805.25
39,805.63,699.42,805.53
40,802.94,700.31,805.27
41,805.2,699.94,805.28
42,804.54,700.27,804.88
43,807.63,700.59,805.37
44,802.15,699.64,805.11
45,806.09,700.1,805.43
46,803.17,699.9,805.8
47,804.33,699.61,805.39
48,804.44,699.99,805.46
49,806.22,700.73,805.22
50,803.57,699.44,805.51
51,806.28,699.95,804.94
52,805.41,700.13,805.57
53,804.16,699.86,805.18
54,804.55,699.66,805.32
55,804.82,700.27,805.35
56,804.51,700.23,805.38
57,803.26,699.54,805.68
58,806.54,699.65,805.92
59,805.19,699.84,805.52
60,804.43,699.69,805.61
61,805.6,700.12,805.41
62,806.49,700.38,805.66
63,805.61,700.5,805.47
64,805.06,699.75,805.55
65,803.79,699.53,805.3
66,806.05,699.12,805.73
67,805.54,700.36,805.48
68,806.03,700.39,805.53
69,806.0,700.48,805.57
70,805.4,700.39,805.48
71,804.08,699.85,804.99
72,803.76,699.49,804.53
73,806.39,700.18,805.29
74,806.65,700.22,805.47
75,803.49,699.54,805.17
76,805.08,700.07,805.69
77,807.75,700.23,805.69
78,804.15,699.48,805.05
79,805.58,699.81,805.57
80,804.24,699.56,805.57
81,806.58,700.05,804.63
82,803.26,699.93,804.61
83,803.09,699.33,805.15
84,803.84,699.55,805.38
85,809.43,700.59,805.14
86,804.61,699.19,805.15
87,807.87,699.35,805.47
88,804.96,700.5,805.35
89,803.45,699.66,804.99
90,805.63,699.27,804.96
91,804.67,699.83,805.42
92,805.72,699.95,805.24
93,805.54,700.67,805.35
94,805.73,699.35,805.67
95,805.46,699.89,805.28
96,805.38,700.33,804.9
97,804.04,700.03,805.84
98,803.59,700.0,805.33
99,807.45,700.61,805.47
100,804.98,700.19,805.49
101,803.91,700.02,805.09
102,805.32,700.36,804.82
103,806.78,700.39,805.67
104,803.42,700.36,804.86
105,804.96,699.7,805.33
106,805.83,700.56,805.76
107,803.68,699.71,805.47
108,804.02,700.51,805.32
109,804.06,700.2,806.21
110,805.86,700.44,805.47
111,803.53,699.86,805.41
112,804.97,700.12,805.35
113,805.48,700.44,805.31
114,804.06,699.57,805.41
115,806.6,700.73,805.37
116,803.69,700.29,805.58
117,804.96,699.34,805.45
118,804.57,700.27,805.7
119,805.65,700.25,805.23
120,803.41,699.45,805.12
121,803.91,699.63,805.07
122,804.68,700.0,805.36
123,805.4,699.8,805.38
124,804.63,699.79,805.23
125,806.87,700.72,805.36
126,805.56,700.03,805.26
127,802.18,699.61,805.26
128,805.78,699.75,805.05
129,805.21,699.94,805.26
130,805.28,699.99,805.73
131,804.74,699.58,805.37
132,804.61,699.75,805.77
133,805.07,699.96,805.37
134,804.81,699.79,805.18
135,805.65,700.14,805.27
136,805.37,700.23,806.2
137,804.41,698.74,805.28
138,805.75,700.46,804.97
139,805.85,700.16,805.2
140,802.3,699.53,805.3
141,804.18,700.47,805.62
142,804.93,699.96,805.25
143,807.23,700.17,805.08
144,807.02,700.12,805.8
145,805.72,700.1,805.19
146,804.05,699.98,805.08
147,805.48,700.37,805.43
148,805.99,700.12,805.84
149,802.89,699.32,805.46
150,806.05,700.55,804.98
151,805.82,700.04,805.42
152,805.38,700.02,805.26
153,805.64,699.79,805.14
154,805.17,700.38,805.25
155,806.03,700.01,804.9
156,804.36,699.83,805.7
157,806.46,700.51,805.1
158,803.18,699.93,805.24
159,804.31,700.04,805.08
160,808.49,700.19,805.55
161,800.79,699.41,805.23
162,807.43,700.23,805.7
163,806.28,699.88,804.95
164,804.5,700.25,805.88
165,802.84,699.85,805.42
166,804.04,700.09,805.12
167,805.24,699.8,805.2
168,809.13,700.58,805.41
169,804.01,699.52,805.19
170,804.95,700.02,805.37
171,804.13,699.74,805.36
172,807.04,699.99,805.43
173,804.59,699.71,804.74
174,804.46,699.31,805.89
175,805.52,700.05,805.58
176,802.07,699.26,805.45
177,803.79,699.62,804.43
178,804.56,699.63,805.56
179,807.1,700.01,805.43
180,803.97,700.14,805.65
181,807.69,700.06,805.53
182,801.95,699.74,805.3
183,805.53,700.65,805.59
184,805.37,700.25,805.01
185,805.78,700.17,805.42
186,804.46,699.33,804.97
187,804.35,699.99,805.75
188,806.54,700.56,805.34
189,802.9,699.8,805.26
190,804.24,699.65,805.85
191,805.46,699.79,805.13
192,807.39,700.1,804.8
193,806.18,700.21,805.65
194,802.83,699.81,805.49
