,FIT_200_002A_P.PV,FIT_200_004A_P.PV,PT_200A_Tags.Q_Filtrate_PV
0,0.0,0.0,1508.37
1,0.0,0.0,1506.12
2,0.0,0.0,1502.84
3,0.0,0.0,1506.74
4,0.0,0.0,1505.23
5,0.0,0.0,1506.46
6,0.0,0.0,1503.0
7,0.0,0.0,1504.24
8,0.0,0.0,1501.74
9,0.0,0.0,1501.12
10,0.0,0.0,1502.54
11,0.0,0.0,1506.17
12,0.0,0.0,1503.36
13,0.0,0.0,1504.97
14,0.0,0.0,1504.15
15,0.0,0.0,1505.23
16,0.0,0.0,1506.29
17,0.0,0.0,1512.26
18,0.0,0.0,1506.67
19,0.0,0.0,1507.46
20,0.0,0.0,1507.81
21,0.0,0.0,1505.36
22,0.0,0.0,1505.11
23,0.0,0.0,1507.44
24,0.0,0.0,1502.56
25,0.0,0.0,1506.54
26,0.0,0.0,1503.24
27,0.0,0.0,1502.18
28,0.0,0.0,1501.23
29,0.0,0.0,1502.08
30,0.0,0.0,1501.43
31,0.0,0.0,1503.21
32,0.0,0.0,1511.9
33,0.0,0.0,1507.24
34,0.0,0.0,1506.94
35,0.0,0.0,1506.64
36,0.0,0.0,1506.54
37,0.0,0.0,1504.45
38,0.0,0.0,1504.01
39,0.0,0.0,1505.52
40,0.0,0.0,1507.02
41,0.0,0.0,1503.35
42,0.0,0.0,1500.26
43,0.0,0.0,1502.65
44,0.0,0.0,1503.1
45,0.0,0.0,1503.67
46,0.0,0.0,1505.28
47,0.0,0.0,1504.84
48,0.0,0.0,1507.23
49,0.0,0.0,1505.42
50,0.0,0.0,1504.51
51,0.0,0.0,1509.62
52,0.0,0.0,1509.06
53,0.0,0.0,1507.94
54,0.0,0.0,1507.67
55,0.0,0.0,1507.72
56,0.0,0.0,1504.13
57,0.0,0.0,1504.83
58,0.0,0.0,1506.75
59,0.0,0.0,1506.3
60,0.0,0.0,1507.12
61,0.0,0.0,1504.63
62,0.0,0.0,1506.18
63,0.0,0.0,1506.97
64,0.0,0.0,1507.4
65,0.0,0.0,1506.72
66,0.0,0.0,1505.29
67,0.0,0.0,1505.27
68,0.0,0.0,1503.64
69,0.0,0.0,1500.97
70,0.0,0.0,1500.83
71,0.0,0.0,1501.93
72,0.0,0.0,1512.53
73,0.0,0.0,1508.03
74,0.0,0.0,1508.21
75,0.0,0.0,1504.08
76,0.0,0.0,1504.68
77,0.0,0.0,1504.74
78,0.0,0.0,1504.05
79,0.0,0.0,1501.7
80,0.0,0.0,1505.12
81,0.0,0.0,1502.0
82,0.0,0.0,1501.75
83,0.0,0.0,1502.98
84,0.0,0.0,1504.23
85,0.0,0.0,1504.02
86,0.0,0.0,1505.89
87,0.0,0.0,1505.52
88,0.0,0.0,1504.66
89,0.0,0.0,1502.01
90,0.0,0.0,1503.51
91,0.0,0.0,1511.69
92,0.0,0.0,1510.69
93,0.0,0.0,1508.18
94,0.0,0.0,1501.15
95,0.0,0.0,1506.74
96,0.0,0.0,1502.97
97,0.0,0.0,1498.69
98,0.0,0.0,1501.17
99,0.0,0.0,1505.16
100,0.0,0.0,1505.14
101,0.0,0.0,1508.3
102,0.0,0.0,1507.07
103,0.0,0.0,1504.63
104,0.0,0.0,1507.58
105,0.0,0.0,1507.51
106,0.0,0.0,1504.53
107,0.0,0.0,1501.99
108,0.0,0.0,1504.78
109,0.0,0.0,1503.03
110,0.0,0.0,1505.38
111,0.0,0.0,1502.76
112,0.0,0.0,1506.59
113,0.0,0.0,1505.64
114,0.0,0.0,1506.4
115,0.0,0.0,1501.19
116,0.0,0.0,1504.23
117,0.0,0.0,1504.51
118,0.0,0.0,1504.63
119,0.0,0.0,1506.5
120,0.0,0.0,1505.21
121,0.0,0.0,1505.21
122,0.0,0.0,1506.32
123,0.0,0.0,1505.47
124,0.0,0.0,1505.16
125,0.0,0.0,1505.14
126,0.0,0.0,1506.23
127,0.0,0.0,1505.76
128,0.0,0.0,1505.08
129,0.0,0.0,1505.33
130,0.0,0.0,1507.63
131,0.0,0.0,1505.67
132,0.0,0.0,1504.84
133,0.0,0.0,1507.32
134,0.0,0.0,1506.52
135,0.0,0.0,1505.59
136,0.0,0.0,1500.76
137,0.0,0.0,1502.64
138,0.0,0.0,1507.26
139,0.0,0.0,1506.39
140,0.0,0.0,1504.68
141,0.0,0.0,1507.48
142,0.0,0.0,1505.51
143,0.0,0.0,1505.03
144,0.0,0.0,1506.2
145,0.0,0.0,1504.72
146,0.0,0.0,1506.21
147,0.0,0.0,1505.41
148,0.0,0.0,1500.16
149,0.0,0.0,1507.31
150,0.0,0.0,1506.58
151,0.0,0.0,1507.08
152,0.0,0.0,1505.15
153,0.0,0.0,1506.17
154,0.0,0.0,1507.29
155,0.0,0.0,1507.38
156,0.0,0.0,1505.29
157,0.0,0.0,1506.5
158,0.0,0.0,1505.91
159,0.0,0.0,1504.67
160,0.0,0.0,1499.16
161,0.0,0.0,1502.34
162,0.0,0.0,1505.85
163,0.0,0.0,1506.66
164,0.0,0.0,1504.47
165,0.0,0.0,1502.68
166,0.0,0.0,1506.18
167,0.0,0.0,1505.42
168,0.0,0.0,1503.08
169,0.0,0.0,1503.55
170,0.0,0.0,1505.48
171,0.0,0.0,1505.73
172,0.0,0.0,1506.2
173,0.0,0.0,1504.36
174,0.0,0.0,1501.78
175,0.0,0.0,1504.82
176,0.0,0.0,1504.13
177,0.0,0.0,1504.63
178,0.0,0.0,1505.64
179,0.0,0.0,1503.21
180,0.0,0.0,1503.02
181,0.0,0.0,1506.68
182,0.0,0.0,1504.32
183,0.0,0.0,1503.95
184,0.0,0.0,1509.46
185,0.0,0.0,1507.37
186,0.0,0.0,1505.89
187,0.0,0.0,1507.21
188,0.0,0.0,1507.46
189,0.0,0.0,1503.3
190,0.0,0.0,1506.28
191,0.0,0.0,1505.72
192,0.0,0.0,1505.94
193,0.0,0.0,1504.42
194,0.0,0.0,1503.94
195,0.0,0.0,1502.33
196,0.0,0.0,1507.28
197,0.0,0.0,1505.22
198,0.0,0.0,1504.86
199,0.0,0.0,1506.13
200,0.0,0.0,1506.52
201,0.0,0.0,1507.52
202,0.0,0.0,1503.26
203,0.0,0.0,1506.15
204,0.0,0.0,1505.87
205,0.0,0.0,1504.04
206,0.0,0.0,1504.48
207,0.0,0.0,1505.04
208,0.0,0.0,1506.6
209,0.0,0.0,1501.83
210,0.0,0.0,1507.5
211,0.0,0.0,1505.35
212,0.0,0.0,1501.51
213,0.0,0.0,1505.33
214,0.0,0.0,1506.04
215,0.0,0.0,1507.26
216,0.0,0.0,1505.72
217,0.0,0.0,1505.3
218,0.0,0.0,1504.75
219,0.0,0.0,1498.62
220,0.0,0.0,1500.06
221,0.0,0.0,1502.76
222,0.0,0.0,1509.53
223,0.0,0.0,1509.67
224,0.0,0.0,1507.39
225,0.0,0.0,1507.49
226,0.0,0.0,1506.48
227,0.0,0.0,1504.25
228,0.0,0.0,1500.58
229,0.0,0.0,1497.59
230,0.0,0.0,1507.76
231,0.0,0.0,1505.29
232,0.0,0.0,1503.2
233,0.0,0.0,1508.64
234,0.0,0.0,1511.37
235,0.0,0.0,1510.74
236,0.0,0.0,1505.39
237,0.0,0.0,1502.95
238,0.0,0.0,1501.79
239,0.0,0.0,1500.03
240,0.0,0.0,1504.22
241,0.0,0.0,1503.14
242,0.0,0.0,1501.98
243,0.0,0.0,1502.68
244,0.0,0.0,1516.71
245,0.0,0.0,1510.59
246,0.0,0.0,1506.1
247,0.0,0.0,1505.23
248,0.0,0.0,1500.6
249,0.0,0.0,1503.32
250,0.0,0.0,1505.2
251,0.0,0.0,1502.39
252,0.0,0.0,1504.83
253,0.0,0.0,1507.45
254,0.0,0.0,1504.27
255,0.0,0.0,1502.16
256,0.0,0.0,1501.17
257,0.0,0.0,1502.95
258,0.0,0.0,1504.8
259,0.0,0.0,1506.81
260,0.0,0.0,1503.42
261,0.0,0.0,1503.84
262,0.0,0.0,1506.64
263,0.0,0.0,1505.8
264,0.0,0.0,1502.93
265,0.0,0.0,1506.56
266,0.0,0.0,1510.93
267,0.0,0.0,1507.51
268,0.0,0.0,1507.54
269,0.0,0.0,1508.75
270,0.0,0.0,1503.25
271,0.0,0.0,1505.79
272,0.0,0.0,1507.0
273,0.0,0.0,1486.44
274,0.0,0.0,1440.03
275,0.0,0.0,1440.64
276,0.0,0.0,1453.18
277,0.0,0.0,1505.24
278,0.0,0.0,1505.62
279,0.0,0.0,1506.35
280,0.0,0.0,1502.32
281,0.0,0.0,1507.58
282,0.0,0.0,1508.49
283,0.0,0.0,1506.38
284,0.0,0.0,1504.8
285,0.0,0.0,1504.53
286,0.0,0.0,1504.32
287,0.0,0.0,1502.83
288,0.0,0.0,1507.38
289,0.0,0.0,1504.2
290,0.0,0.0,1503.79
291,0.0,0.0,1506.09
292,0.0,0.0,1507.55
293,0.0,0.0,1505.42
294,0.0,0.0,1507.01
295,0.0,0.0,1505.95
296,0.0,0.0,1507.13
297,0.0,0.0,1506.71
298,0.0,0.0,1504.79
299,0.0,0.0,1506.59
300,0.0,0.0,1505.8
301,0.0,0.0,1502.88
302,0.0,0.0,1506.94
303,0.0,0.0,1509.65
304,0.0,0.0,1509.27
305,0.0,0.0,1507.43
306,0.0,0.0,1504.3
307,0.0,0.0,1503.95
308,0.0,0.0,1506.07
309,0.0,0.0,1507.14
310,0.0,0.0,1506.13
311,0.0,0.0,1506.54
312,0.0,0.0,1504.95
313,0.0,0.0,1504.22
314,0.0,0.0,1506.58
315,0.0,0.0,1504.77
316,0.0,0.0,1504.7
317,0.0,0.0,1503.84
318,0.0,0.0,1505.47
319,0.0,0.0,1503.45
320,0.0,0.0,1504.34
321,0.0,0.0,1506.85
322,0.0,0.0,1504.37
323,0.0,0.0,1504.45
324,0.0,0.0,1503.97
325,0.0,0.0,1505.3
326,0.0,0.0,1505.95
327,0.0,0.0,1506.54
328,0.0,0.0,1504.44
329,0.0,0.0,1501.36
330,0.0,0.0,1504.42
331,0.0,0.0,1505.0
332,0.0,0.0,1506.38
333,0.0,0.0,1505.2
334,0.0,0.0,1505.27
335,0.0,0.0,1505.75
336,0.0,0.0,1501.87
337,0.0,0.0,1507.83
338,0.0,0.0,1503.66
339,0.0,0.0,1505.34
340,0.0,0.0,1505.33
341,0.0,0.0,1506.06
342,0.0,0.0,1505.04
343,0.0,0.0,1503.68
344,0.0,0.0,1504.96
345,0.0,0.0,1506.01
346,0.0,0.0,1507.59
347,0.0,0.0,1504.84
348,0.0,0.0,1507.59
349,0.0,0.0,1507.24
350,0.0,0.0,1502.28
351,0.0,0.0,1505.51
352,0.0,0.0,1504.24
353,0.0,0.0,1506.04
354,0.0,0.0,1507.23
355,0.0,0.0,1506.76
356,0.0,0.0,1507.66
357,0.0,0.0,1505.64
358,0.0,0.0,1499.15
359,0.0,0.0,1505.61
360,0.0,0.0,1506.97
361,0.0,0.0,1506.53
362,0.0,0.0,1505.79
363,0.0,0.0,1505.64
364,0.0,0.0,1505.77
365,0.0,0.0,1504.61
366,0.0,0.0,1504.86
367,0.0,0.0,1503.46
368,0.0,0.0,1506.17
369,0.0,0.0,1505.92
370,0.0,0.0,1501.18
371,0.0,0.0,1504.68
372,0.0,0.0,1503.61
373,0.0,0.0,1503.84
374,0.0,0.0,1504.95
375,0.0,0.0,1505.5
376,0.0,0.0,1504.52
377,0.0,0.0,1509.28
378,0.0,0.0,1507.47
379,0.0,0.0,1506.04
380,0.0,0.0,1504.92
381,0.0,0.0,1504.82
382,0.0,0.0,1506.21
383,0.0,0.0,1506.33
384,0.0,0.0,1505.23
385,0.0,0.0,1504.09
386,0.0,0.0,1057.13
387,0.0,0.0,1505.04
388,0.0,0.0,1505.04
389,0.0,0.0,1505.04
390,0.0,0.0,1505.04
391,0.0,0.0,1505.04
392,0.0,0.0,1505.04
393,0.0,0.0,1505.04
394,0.0,0.0,1505.04
395,0.0,0.0,1505.04
396,0.0,0.0,1505.04
397,0.0,0.0,1505.04
398,0.0,0.0,1505.04
399,0.0,0.0,1505.04
400,0.0,0.0,1505.04
401,0.0,0.0,548.08
402,0.0,0.0,848.99
403,0.0,0.0,1508.48
404,0.0,0.0,1512.81
405,0.0,0.0,1505.75
406,0.0,0.0,1506.55
407,0.0,0.0,1505.02
408,0.0,0.0,1505.28
409,0.0,0.0,1503.9
410,0.0,0.0,1504.03
411,0.0,0.0,1503.8
412,0.0,0.0,1504.44
413,0.0,0.0,1504.59
414,0.0,0.0,1507.94
415,0.0,0.0,1508.23
416,0.0,0.0,1506.21
417,0.0,0.0,1505.56
418,0.0,0.0,1500.78
419,0.0,0.0,1503.61
420,0.0,0.0,1505.95
421,0.0,0.0,1506.39
422,0.0,0.0,1507.2
423,0.0,0.0,1505.59
424,0.0,0.0,1506.77
425,0.0,0.0,1503.88
426,0.0,0.0,1505.28
427,0.0,0.0,1506.65
428,0.0,0.0,1506.08
