,FIT_400_001C_P.PV,FIT_400_002C_P.PV,Q_400_001C_P.PV
144,805.23,700.16,805.56
145,801.75,699.55,806.02
146,804.1,699.37,805.72
147,806.33,700.39,805.33
148,803.48,699.98,806.02
149,805.32,699.88,805.16
150,805.54,700.14,805.59
151,805.93,699.81,805.22
152,806.26,700.36,805.51
153,803.31,699.41,805.27
154,805.02,700.61,804.96
155,805.36,700.0,804.79
156,804.08,699.77,804.86
157,805.0,700.09,805.5
158,805.12,699.88,805.05
159,805.9,699.86,805.58
160,807.86,700.34,805.39
161,803.07,699.23,804.94
162,805.46,699.99,805.5
163,804.6,699.78,805.81
164,805.16,699.62,805.06
165,805.24,699.97,805.2
166,802.98,699.87,805.64
167,804.14,699.94,805.24
168,804.89,699.94,805.5
169,806.33,699.98,805.43
170,806.42,700.21,805.03
171,802.68,699.7,804.93
172,804.95,700.16,805.33
173,804.68,699.74,805.36
174,807.78,700.4,805.63
175,804.64,699.89,805.24
176,801.81,699.29,804.63
177,806.61,700.31,805.64
178,804.43,700.22,805.51
179,804.12,699.74,805.48
180,804.88,700.33,805.59
181,803.84,699.78,804.95
182,807.15,700.06,805.49
183,802.56,699.78,805.32
184,805.74,700.18,805.38
185,805.08,699.91,804.88
186,807.04,700.13,805.53
187,802.22,700.38,805.24
188,807.62,700.24,805.59
189,802.47,699.79,806.1
190,805.83,700.18,805.39
191,806.64,700.37,805.11
192,804.76,699.72,805.68
193,804.64,700.33,805.82
194,806.58,699.98,804.81
195,804.02,700.15,805.42
196,804.07,699.98,805.95
197,806.1,700.0,805.72
198,802.55,699.77,805.98
199,807.52,700.04,805.01
200,803.53,699.82,805.76
201,804.15,700.34,805.23
202,805.92,699.95,805.29
203,805.65,700.36,804.99
204,804.18,699.54,806.04
205,805.75,700.51,805.87
206,806.19,700.16,805.42
207,807.4,699.98,805.48
208,803.01,700.04,805.01
209,805.03,699.91,805.01
210,807.78,700.74,804.92
211,806.13,699.81,804.91
212,805.48,699.85,805.76
213,804.39,699.89,805.46
214,807.02,700.34,805.5
215,803.45,699.81,804.63
216,803.48,699.68,805.6
217,805.85,700.21,805.26
218,805.37,700.16,804.72
219,804.06,699.75,804.79
220,806.93,700.04,805.45
221,803.73,699.45,805.47
222,803.65,699.68,805.34
223,805.63,700.01,805.33
224,805.96,700.24,805.46
225,803.58,699.68,805.21
226,803.71,699.7,805.62
227,804.72,700.0,805.92
228,804.9,700.0,805.58
229,804.12,700.1,805.64
230,805.98,700.16,805.61
231,803.4,699.74,805.67
232,805.42,700.1,805.52
233,805.96,700.08,805.61
234,804.76,699.84,805.15
235,804.85,700.0,805.31
236,804.44,699.86,805.23
237,807.2,700.34,805.44
238,803.26,699.64,805.08
239,804.93,699.7,805.58
240,804.06,699.99,805.0
241,805.18,700.26,805.61
242,805.92,699.66,805.5
243,802.96,699.95,805.57
244,807.02,700.07,805.24
245,804.65,700.22,805.35
246,806.72,700.03,805.45
247,805.65,699.57,805.45
248,803.98,699.63,805.58
249,804.85,700.22,805.56
250,805.59,699.97,805.88
251,802.19,700.06,805.77
252,804.85,699.46,805.07
253,807.39,700.5,805.21
254,804.75,700.14,805.26
255,805.05,699.98,805.47
256,803.43,699.96,805.23
257,806.29,700.1,805.16
258,803.94,699.9,805.87
259,805.12,700.42,805.54
260,806.2,700.02,805.3
261,804.91,699.78,805.42
262,806.98,699.91,805.07
263,803.1,700.05,805.19
264,803.66,699.98,805.73
265,809.01,700.69,805.17
266,805.92,699.75,805.68
267,803.03,699.59,805.38
268,803.55,699.48,804.92
269,806.11,700.14,805.14
270,804.27,699.84,805.21
271,805.09,699.97,805.13
272,803.27,699.77,805.06
273,793.45,688.83,790.23
274,770.78,672.14,773.24
275,775.33,672.48,773.52
276,776.95,677.23,782.35
277,805.04,699.93,805.38
278,806.71,700.12,805.42
279,803.74,700.33,805.27
280,804.24,699.82,805.12
281,808.25,700.34,805.38
282,805.36,700.01,805.73
283,803.49,699.8,805.76
284,806.76,700.1,805.68
285,805.46,700.0,805.47
286,806.09,699.79,805.6
287,805.93,700.24,805.63
288,804.95,700.11,805.29
289,807.13,699.89,805.1
290,803.06,700.32,805.63
291,805.04,699.87,805.49
292,805.49,699.56,805.12
293,802.88,700.25,805.29
294,806.8,700.23,805.82
295,801.84,699.48,805.68
296,806.95,700.4,806.01
297,804.5,699.82,805.6
298,805.01,699.94,805.2
299,806.1,700.47,805.52
300,806.03,700.06,805.65
301,804.04,699.31,805.31
302,809.22,700.3,805.5
303,801.52,699.53,805.32
304,804.39,700.36,805.67
305,805.67,700.25,805.61
306,805.74,699.79,805.04
307,807.09,700.53,805.77
308,805.97,699.9,805.29
309,805.21,700.31,805.22
310,805.39,699.65,805.45
311,800.6,699.87,805.06
312,804.63,700.39,805.39
313,806.73,700.35,805.53
314,805.64,699.95,805.06
315,801.94,700.39,805.54
316,806.27,700.02,805.47
317,804.54,699.89,805.08
318,807.08,699.79,805.6
319,805.28,700.29,805.6
320,803.63,699.9,805.25
321,805.87,699.8,805.07
322,805.5,699.97,805.4
323,807.15,700.17,805.37
324,805.47,699.52,805.26
325,804.01,699.64,805.8
326,803.93,700.46,805.51
327,806.6,700.03,805.09
328,807.08,700.18,805.38
329,802.86,700.25,805.35
330,805.95,700.11,805.83
331,807.06,699.92,805.45
332,803.77,700.18,805.39
333,803.63,699.93,805.81
334,807.31,700.05,805.57
335,804.45,699.92,805.31
336,806.51,700.27,804.77
337,803.38,699.86,805.62
338,806.08,700.24,805.6
339,805.13,700.12,805.86
340,807.51,700.0,804.86
341,804.87,700.2,805.74
342,802.06,699.9,805.48
343,807.61,700.29,805.59
344,803.4,699.94,805.75
345,806.71,700.35,805.14
346,806.31,700.13,805.1
347,804.4,699.71,805.66
348,805.31,699.89,805.2
349,804.45,700.0,805.48
350,805.61,700.0,806.09
351,805.01,699.96,805.14
352,805.49,699.66,805.45
353,805.74,700.14,805.44
354,803.3,699.61,805.34
355,805.17,700.36,805.82
