,FIT_400_001C_P.PV,FIT_400_002C_P.PV,Q_400_001C_P.PV
984,806.49,700.18,805.4
985,804.48,699.8,805.38
986,807.01,700.09,805.66
987,803.06,699.98,805.53
988,806.34,700.68,805.58
989,804.55,699.87,805.33
990,806.1,700.13,804.85
991,804.29,699.7,805.29
992,804.44,700.05,805.66
993,804.21,699.94,805.21
994,806.03,700.21,805.12
995,804.58,700.34,805.45
996,805.69,699.49,805.11
997,806.17,700.49,805.55
998,806.16,699.99,805.17
999,806.0,700.22,805.05
1000,803.95,699.88,805.25
1001,806.17,700.54,805.31
1002,804.29,699.43,805.31
1003,804.82,700.11,804.9
1004,806.51,699.92,805.44
1005,803.38,699.42,805.44
1006,806.82,700.28,805.05
1007,803.42,699.97,805.56
1008,807.12,699.86,805.65
1009,803.56,699.58,804.83
1010,804.47,700.19,805.1
1011,805.9,700.22,805.74
1012,806.06,700.27,805.4
1013,803.41,699.58,805.39
1014,804.47,700.16,805.31
1015,804.37,699.63,805.36
1016,804.9,700.37,805.73
1017,805.81,699.79,805.8
1018,805.08,699.97,804.96
1019,805.02,699.69,805.45
1020,805.3,700.31,805.32
1021,804.09,700.66,805.41
1022,805.2,700.28,805.29
1023,806.09,700.28,805.35
1024,804.01,699.89,805.68
1025,805.86,700.39,805.71
1026,806.96,699.13,805.21
1027,803.28,700.07,805.45
1028,806.39,699.68,805.32
1029,805.12,699.68,805.15
1030,804.34,699.59,805.32
1031,805.58,700.31,805.19
1032,804.74,700.23,805.67
1033,804.28,699.97,805.26
1034,804.3,699.75,805.5
1035,805.52,699.91,805.46
1036,806.31,699.79,805.34
1037,803.72,699.63,805.05
1038,804.04,699.98,805.36
1039,807.48,700.35,805.38
1040,805.73,700.03,805.75
1041,802.52,699.64,805.34
1042,805.01,700.1,805.48
1043,806.24,700.38,805.1
1044,805.93,700.15,805.23
1045,804.36,699.9,805.12
1046,804.18,699.75,805.28
1047,805.88,700.36,805.33
1048,805.43,699.81,805.26
1049,803.68,700.03,805.42
1050,805.63,700.39,805.35
1051,804.74,700.16,805.26
1052,805.64,700.33,805.04
1053,804.12,699.51,805.48
1054,805.87,700.34,805.77
1055,805.76,700.07,805.13
1056,804.77,700.15,805.59
1057,804.99,699.83,805.5
1058,805.56,699.89,805.6
1059,805.16,700.02,805.74
1060,805.27,700.21,805.73
1061,804.32,699.53,805.79
1062,803.06,699.77,805.38
1063,809.05,700.44,805.75
1064,803.22,699.56,805.36
1065,804.65,699.78,805.77
1066,805.64,700.69,805.21
1067,805.69,699.69,805.34
1068,804.75,700.02,805.33
1069,805.43,699.66,805.6
1070,806.03,699.95,805.35
1071,805.96,700.2,805.31
1072,806.5,700.05,804.84
1073,804.71,699.85,805.47
1074,807.53,699.95,805.44
1075,805.1,699.89,805.4
1076,805.59,700.02,805.39
1077,806.04,700.04,805.71
1078,803.53,700.26,805.38
1079,806.29,700.18,805.52
1080,805.06,700.1,805.67
1081,806.83,699.81,805.74
1082,802.87,700.29,805.61
1083,805.37,699.78,805.29
1084,804.95,700.35,805.4
1085,806.46,700.38,806.04
1086,803.33,699.62,805.34
1087,804.83,700.2,805.24
1088,803.51,699.58,805.37
1089,806.15,699.58,805.37
1090,805.71,700.76,805.12
1091,805.11,699.85,805.42
1092,802.87,700.09,805.74
1093,806.44,700.12,805.32
1094,804.86,699.63,805.35
1095,804.11,700.15,805.62
1096,805.05,700.16,805.0
1097,804.47,700.12,805.37
1098,806.15,699.88,805.31
1099,805.58,700.19,805.35
1100,805.16,700.01,805.12
1101,804.14,699.95,805.62
1102,804.68,700.28,805.33
1103,805.7,700.14,805.27
1104,805.15,700.04,805.44
1105,805.51,700.03,805.69
1106,802.56,699.92,805.01
1107,807.63,700.36,805.83
1108,805.27,699.96,804.86
1109,803.66,700.04,805.63
1110,804.21,700.14,805.47
1111,805.62,700.13,805.37
1112,805.89,700.09,805.44
1113,803.34,700.23,805.57
1114,804.54,700.43,805.28
1115,806.64,700.07,805.44
1116,808.33,700.39,805.33
1117,803.56,699.75,805.18
1118,805.0,700.28,805.61
1119,805.25,699.78,805.21
1120,803.89,700.09,805.43
1121,807.02,700.17,805.24
1122,803.19,699.99,805.69
1123,805.24,699.91,805.26
1124,803.12,699.83,805.28
1125,805.6,700.29,805.6
1126,805.14,700.17,805.29
1127,805.71,700.04,805.85
1128,803.12,699.66,805.69
1129,803.88,699.99,804.99
1130,806.06,700.54,805.69
1131,802.45,699.87,805.61
1132,807.31,700.47,805.38
1133,805.33,699.97,805.35
1134,803.19,699.81,805.01
1135,807.09,700.36,805.5
1136,802.49,699.74,805.12
1137,806.04,700.44,805.12
1138,806.21,700.68,805.16
1139,804.75,700.31,805.12
1140,804.52,699.95,805.33
1141,806.34,700.05,805.36
1142,804.7,700.15,805.63
1143,805.8,699.85,805.4
1144,804.03,699.26,805.31
1145,805.26,700.06,805.57
1146,804.95,699.89,805.04
1147,804.53,699.88,805.4
1148,805.24,699.24,804.55
1149,805.09,700.04,805.5
1150,805.53,699.5,805.12
1151,807.01,699.63,805.15
1152,803.32,699.62,804.84
1153,803.87,699.87,805.57
1154,805.03,700.35,805.09
1155,805.36,700.15,805.51
1156,804.62,699.69,805.7
1157,804.41,699.73,805.7
1158,806.88,699.93,805.74
1159,805.05,699.97,805.32
1160,805.3,699.69,805.45
1161,806.12,699.96,805.55
1162,803.12,699.89,805.58
1163,806.39,699.94,805.64
1164,804.86,699.89,805.22
1165,804.99,700.26,805.49
1166,803.26,699.72,805.54
1167,806.07,700.26,805.13
1168,805.38,699.83,805.42
1169,805.62,700.26,804.87
1170,803.41,699.56,805.5
1171,804.58,700.23,805.16
1172,805.31,700.27,805.12
1173,803.89,699.78,805.23
1174,805.85,700.23,805.09
1175,805.63,699.83,805.55
1176,803.96,699.64,805.88
1177,803.38,700.03,805.44
1178,805.28,700.28,805.46
1179,802.16,699.79,805.35
1180,807.45,699.58,805.3
1181,805.27,699.9,805.51
1182,806.6,700.12,805.28
1183,805.55,699.73,805.78
1184,804.97,700.41,805.28
1185,805.33,700.22,805.46
1186,804.28,700.18,805.31
1187,806.77,700.01,805.15
1188,803.82,698.8,805.43
1189,807.06,701.2,805.41
1190,805.33,701.09,804.97
1191,804.17,699.98,805.94
1192,806.95,700.16,804.93
1193,804.71,699.86,805.21
1194,806.01,699.79,805.57
1195,804.85,699.78,805.19
1196,804.96,699.8,805.64
1197,804.66,699.95,804.91
1198,804.56,700.1,805.44
1199,803.6,699.67,805.61
1200,805.78,699.81,805.22
1201,804.0,700.22,805.09
1202,805.84,700.13,805.7
1203,807.1,700.28,805.07
1204,804.19,699.68,804.84
1205,805.93,699.93,805.49
1206,805.2,699.9,805.38
1207,804.49,699.54,804.99
1208,805.22,700.01,804.84
1209,805.83,699.87,805.51
1210,804.39,700.08,805.06
1211,805.78,699.79,805.59
1212,805.94,700.17,805.72
1213,805.26,700.37,805.29
1214,804.01,699.73,805.06
1215,802.79,699.84,805.6
1216,804.63,700.42,805.23
1217,805.92,699.84,805.12
1218,802.38,700.19,805.04
1219,808.04,699.37,805.45
1220,805.26,700.64,805.29
1221,805.39,699.69,805.21
1222,802.84,699.7,805.23
1223,804.28,700.11,805.45
1224,807.97,700.52,805.2
1225,804.77,699.88,805.43
1226,804.81,699.71,805.2
1227,802.73,700.17,805.25
1228,804.69,700.03,805.57
1229,807.66,699.78,804.99
1230,804.65,699.62,805.21
1231,807.55,700.11,805.34
1232,803.68,699.99,805.51
1233,803.41,699.78,805.66
1234,805.24,700.1,804.96
1235,805.7,699.81,805.16
1236,805.92,700.04,805.69
1237,804.43,699.65,805.59
1238,804.28,700.12,805.68
1239,804.98,699.9,804.9
1240,803.3,699.72,805.25
1241,804.03,699.9,805.09
1242,805.35,700.18,805.46
1243,806.89,700.34,805.3
1244,804.56,699.96,805.65
1245,804.05,700.02,805.08
1246,805.63,699.95,805.71
1247,804.48,700.3,805.12
1248,804.18,699.78,804.9
1249,804.71,699.91,804.73
1250,804.19,700.01,805.2
1251,804.85,700.02,805.31
1252,803.52,699.93,805.35
1253,807.27,700.11,805.37
1254,804.54,699.87,805.75
1255,803.76,700.1,805.58
1256,804.84,700.09,805.13
1257,807.35,700.16,805.28
1258,805.13,700.22,805.13
1259,806.03,700.1,805.49
1260,804.36,700.16,805.86
1261,803.81,699.74,805.87
1262,804.44,700.14,805.41
1263,806.87,700.23,805.53
1264,805.26,700.63,805.3
1265,805.75,700.06,805.3
1266,804.77,700.37,805.35
1267,803.97,699.81,805.25
1268,805.08,700.15,805.53
1269,802.48,700.17,805.43
1270,805.87,699.75,805.53
1271,805.45,699.78,805.09
1272,804.06,700.3,805.5
1273,805.09,699.88,805.35
1274,805.33,699.99,805.19
1275,805.47,699.67,805.34
1276,805.46,700.03,805.24
1277,805.16,700.51,805.64
1278,804.13,699.73,805.48
1279,806.19,700.16,805.87
1280,801.78,700.07,805.66
1281,808.52,700.25,805.21
1282,803.51,699.75,805.35
1283,804.27,700.02,805.71
1284,804.5,699.89,805.27
1285,806.3,700.2,805.37
1286,804.32,700.05,805.18
1287,805.81,700.01,805.52
1288,805.0,699.84,805.16
1289,804.49,699.91,805.55
1290,805.07,700.14,805.61
1291,803.75,700.04,805.35
1292,804.91,699.92,805.07
1293,805.97,700.07,805.56
1294,803.85,699.75,805.15
1295,805.1,700.23,805.64
1296,805.71,700.15,805.52
1297,803.04,699.99,805.55
1298,807.78,700.1,805.0
1299,804.32,699.94,805.26
1300,803.6,699.92,805.36
1301,805.25,699.53,805.32
1302,804.91,699.78,805.74
1303,806.95,699.84,805.16
1304,802.38,700.02,805.23
1305,806.35,700.54,805.8
1306,804.82,699.99,805.41
1307,803.35,700.16,805.35
1308,807.58,700.3,805.28
1309,804.18,699.72,805.36
1310,805.16,699.89,805.31
1311,803.3,700.06,805.12
1312,804.21,700.04,805.22
1313,805.44,700.3,805.49
1314,804.32,700.13,805.48
1315,807.03,699.79,805.37
1316,804.87,699.93,805.19
1317,807.66,699.97,805.13
1318,803.56,699.8,805.47
1319,804.17,699.8,805.58
1320,807.33,700.0,805.17
1321,802.88,699.27,805.5
1322,805.59,699.97,805.4
1323,806.0,699.82,805.55
1324,806.98,700.55,805.29
1325,804.85,699.69,805.73
1326,802.49,700.09,805.5
1327,803.34,699.82,805.17
1328,804.76,700.12,805.38
1329,802.67,700.01,805.29
1330,808.03,700.0,805.11
1331,801.77,699.44,805.82
1332,805.51,700.05,805.38
1333,807.35,700.53,805.56
1334,803.68,699.67,805.56
1335,805.85,700.13,805.12
1336,802.49,699.95,805.47
1337,805.32,700.01,805.41
1338,803.21,699.66,805.58
1339,805.64,700.08,805.75
1340,805.21,699.92,805.6
1341,805.71,700.05,805.41
1342,804.48,700.29,805.29
1343,804.85,700.03,805.28
1344,805.06,699.98,805.61
1345,805.17,699.86,805.4
1346,804.56,699.96,805.57
1347,805.8,699.7,805.4
1348,802.52,700.14,805.54
1349,807.78,700.15,805.42
1350,804.4,699.94,805.55
1351,805.56,700.38,805.64
1352,804.77,699.93,805.32
1353,803.58,699.85,805.42
1354,803.9,700.01,805.5
1355,804.4,699.79,805.31
1356,804.54,699.62,805.18
1357,803.69,699.67,805.2
1358,805.44,700.32,805.31
1359,804.56,699.61,805.52
1360,806.16,700.52,805.48
1361,803.87,699.8,805.27
1362,806.87,700.05,805.47
1363,803.06,699.91,805.01
1364,805.29,699.85,805.87
1365,805.66,700.02,805.74
1366,805.03,700.37,805.27
1367,805.85,700.0,805.37
1368,802.9,699.97,805.03
1369,807.04,700.37,805.15
1370,805.33,700.18,805.25
1371,806.12,700.19,805.06
1372,802.02,699.44,805.82
1373,807.36,700.09,805.98
1374,805.2,700.12,805.14
1375,803.32,699.74,804.89
1376,805.09,699.92,805.34
1377,805.88,700.19,805.32
1378,804.7,700.13,805.48
1379,807.12,700.09,805.28
1380,806.36,699.82,805.55
1381,804.7,699.58,805.02
1382,805.46,699.98,805.2
1383,804.99,700.3,805.58
1384,803.28,699.49,805.01
1385,804.94,699.23,805.08
1386,805.69,700.92,805.1
1387,803.29,699.81,805.45
1388,805.87,699.88,805.44
1389,807.39,700.31,804.99
1390,804.53,699.76,805.27
1391,804.37,700.15,805.68
1392,805.63,700.51,805.33
1393,805.45,700.08,805.34
1394,802.12,699.51,805.08
1395,806.34,699.85,804.99
1396,804.0,700.34,805.62
1397,805.27,699.83,805.25
1398,806.31,700.14,804.96
1399,805.08,700.41,805.46
1400,806.87,700.21,805.68
1401,804.45,699.78,805.56
1402,805.66,700.12,805.31
1403,806.39,699.97,805.36
1404,801.58,699.98,805.3
1405,805.13,699.84,805.37
1406,806.15,700.08,805.23
1407,802.48,699.9,805.47
1408,805.02,700.21,805.36
1409,807.05,700.23,805.13
1410,805.19,700.03,805.51
1411,805.0,700.05,805.34
1412,805.42,700.01,805.34
1413,804.07,699.88,804.97
1414,805.05,700.07,805.45
1415,804.08,700.21,805.66
1416,803.63,699.5,805.72
1417,804.06,700.4,805.44
1418,804.34,700.11,805.24
1419,805.19,700.07,805.06
1420,806.2,700.28,805.67
1421,790.29,688.16,791.57
1422,804.68,699.82,805.2
1423,805.64,700.11,805.52
1424,803.34,699.43,805.49
1425,806.29,700.35,805.14
1426,802.86,699.95,804.94
1427,804.34,699.69,805.0
1428,804.14,699.74,805.45
1429,807.03,700.65,805.42
1430,803.94,700.12,804.97
1431,806.22,700.38,805.44
1432,806.13,700.03,805.29
1433,802.03,699.77,805.38
1434,807.11,700.32,805.17
1435,803.13,699.83,805.41
1436,804.0,700.17,805.49
1437,803.37,700.21,805.46
1438,805.02,700.12,805.14
1439,805.31,700.1,805.4
1440,800.34,699.78,805.21
1441,805.57,699.81,805.19
1442,804.47,700.22,805.26
1443,805.08,699.99,805.42
1444,807.69,699.94,805.56
1445,804.79,699.85,805.28
1446,804.64,700.26,805.44
1447,804.63,699.76,805.42
1448,803.86,699.76,805.24
1449,805.17,700.03,805.07
1450,805.4,700.38,805.43
1451,804.52,699.57,805.57
1452,802.55,700.22,805.35
1453,808.05,699.98,805.41
1454,803.65,700.06,805.25
1455,803.33,699.6,805.54
1456,806.87,699.91,805.08
1457,804.36,700.1,805.05
1458,807.13,700.6,805.42
1459,803.23,699.66,805.47
1460,803.23,699.67,805.51
1461,802.89,699.76,804.96
1462,806.32,700.12,805.09
1463,806.4,700.05,805.58
1464,803.25,699.97,805.44
1465,807.33,700.26,805.53
1466,804.63,699.9,804.95
1467,804.69,699.93,805.31
1468,803.47,699.94,805.42
1469,806.32,700.38,805.27
1470,805.79,699.45,805.24
1471,805.2,699.83,805.25
1472,804.6,699.31,805.27
1473,805.85,700.07,805.36
1474,803.41,699.45,805.02
1475,804.37,700.04,805.17
1476,806.58,700.36,805.35
1477,805.05,699.99,805.38
1478,784.45,699.99,506.91
1479,803.62,699.99,811.37
1480,807.08,700.53,804.72
1481,803.6,699.6,804.83
1482,805.42,700.62,805.39
1483,806.95,700.18,805.9
1484,803.03,700.12,805.41
1485,803.79,700.07,804.94
1486,808.11,699.54,805.51
1487,804.19,700.59,805.54
1488,804.11,699.93,805.5
1489,805.07,700.04,805.11
1490,807.49,700.31,805.5
1491,803.51,699.95,805.22
1492,805.11,699.68,805.77
1493,803.02,699.59,805.27
1494,806.76,700.24,805.19
1495,802.92,700.12,805.52
1496,807.19,700.06,805.21
1497,805.49,700.09,805.24
1498,803.82,699.78,805.11
1499,806.39,700.35,805.57
1500,805.38,700.36,805.72
1501,802.79,699.84,805.24
1502,805.01,700.31,805.58
1503,805.17,700.0,805.3
1504,807.17,700.34,805.58
1505,806.25,700.46,805.22
1506,805.0,699.84,805.13
1507,804.81,699.91,805.47
1508,803.58,699.74,805.05
1509,804.03,700.41,805.66
1510,806.52,700.64,804.95
1511,803.41,699.76,805.34
1512,805.11,699.99,806.07
1513,803.73,699.8,805.05
1514,805.64,700.51,805.81
1515,803.16,699.77,805.22
1516,803.49,700.13,805.63
1517,803.7,699.75,805.35
1518,806.02,700.04,805.05
1519,803.73,699.79,805.58
1520,804.42,699.73,805.81
1521,806.55,700.33,806.09
1522,803.28,699.61,805.44
1523,805.38,699.87,805.74
1524,806.13,699.89,805.48
1525,804.31,699.91,806.03
1526,804.3,700.15,805.37
1527,803.24,700.09,805.47
1528,804.03,699.85,805.83
1529,807.39,700.16,805.22
1530,802.95,699.85,805.49
1531,805.96,700.02,805.11
1532,806.63,699.89,805.59
1533,806.09,699.88,804.97
1534,803.35,699.8,805.66
1535,805.19,697.62,799.94
1536,793.84,692.82,799.55
1537,805.21,699.97,805.6
1538,804.69,699.81,805.58
1539,806.22,700.28,805.47
1540,804.12,699.46,805.24
1541,806.05,700.28,805.19
1542,806.43,699.56,805.18
1543,806.14,700.15,805.44
1544,804.6,700.07,805.36
1545,805.25,700.3,805.58
1546,803.27,699.67,805.18
1547,805.17,700.09,805.47
1548,804.51,699.87,804.98
1549,804.07,700.2,806.17
1550,808.15,700.28,805.53
1551,806.05,700.09,805.41
1552,803.51,699.69,805.4
1553,805.27,699.96,805.91
1554,804.33,700.16,804.98
1555,804.21,700.01,805.42
1556,806.98,700.13,805.36
1557,804.47,699.85,805.55
1558,804.6,699.79,805.29
1559,805.14,700.04,805.77
1560,804.34,700.09,805.36
1561,807.24,700.04,805.41
1562,804.99,699.6,805.67
1563,806.9,700.19,805.26
1564,803.56,700.52,805.32
1565,805.3,699.97,805.0
1566,807.21,700.06,805.44
1567,804.36,699.86,805.4
1568,805.1,699.86,805.16
1569,803.23,700.12,805.35
1570,806.79,699.92,805.78
1571,802.93,700.08,805.69
1572,803.81,699.73,805.25
1573,806.24,700.38,805.54
1574,805.37,700.07,805.6
1575,805.42,700.29,805.43
1576,804.17,700.12,805.63
1577,804.74,699.97,805.4
1578,804.11,699.53,805.63
1579,806.6,700.07,805.39
1580,803.43,699.48,805.66
1581,805.52,700.35,805.39
1582,806.67,699.93,805.43
1583,802.99,699.5,805.15
1584,806.89,700.68,805.36
1585,804.32,699.98,805.42
1586,806.69,700.44,805.49
1587,803.46,699.66,805.25
1588,806.26,700.09,804.86
1589,806.16,699.64,805.74
1590,805.24,699.68,805.69
1591,803.92,699.9,805.24
1592,806.06,700.12,805.39
1593,806.34,699.93,805.67
1594,805.68,700.14,805.43
1595,804.87,700.22,805.63
1596,803.21,700.29,805.52
1597,803.09,699.91,805.21
1598,806.28,699.82,805.51
1599,804.89,699.88,805.34
1600,804.4,699.88,805.75
1601,802.9,700.0,804.72
1602,804.37,699.74,805.14
1603,805.96,700.12,804.83
1604,802.61,700.41,805.45
1605,807.04,700.31,805.58
1606,805.36,699.84,805.35
1607,804.75,699.88,805.0
1608,804.16,700.41,804.87
1609,804.51,699.65,804.75
1610,803.73,699.63,805.46
1611,806.68,700.12,805.42
1612,806.23,699.94,805.46
1613,803.84,700.19,805.73
1614,803.45,700.09,804.98
1615,805.33,700.19,805.22
1616,805.81,699.98,805.48
1617,804.6,700.23,805.12
1618,805.1,700.26,805.25
1619,805.63,699.99,805.51
1620,803.32,700.13,804.71
1621,806.9,699.57,805.08
1622,806.47,700.47,805.54
1623,804.19,700.55,805.32
1624,805.37,700.02,805.23
1625,806.33,699.84,805.12
1626,804.36,699.67,805.77
1627,804.33,699.9,805.6
1628,806.67,700.24,805.32
1629,802.93,699.75,805.11
1630,806.04,700.33,805.59
1631,803.05,699.21,804.66
1632,804.75,700.1,805.61
1633,806.71,700.42,805.41
1634,804.54,699.78,805.0
1635,806.21,700.26,805.35
1636,805.03,700.28,805.49
1637,802.77,699.85,805.22
1638,807.32,700.06,805.33
1639,806.31,699.99,805.19
1640,802.07,699.61,805.8
1641,804.71,699.96,805.86
1642,803.65,700.2,805.27
1643,805.07,699.88,805.76
1644,804.28,699.53,805.51
1645,805.89,700.5,805.59
1646,801.93,699.97,805.65
1647,804.89,700.16,805.15
1648,806.91,700.2,805.26
1649,805.64,700.18,805.32
1650,803.48,700.12,805.62
1651,803.65,699.88,806.0
1652,806.94,700.06,805.57
1653,803.83,700.26,805.48
1654,805.22,699.83,805.49
1655,805.68,699.96,805.85
1656,805.45,699.97,805.36
1657,803.28,699.81,805.82
1658,806.25,700.2,805.17
1659,803.97,700.36,805.76
1660,804.14,699.34,805.76
1661,805.75,699.88,805.56
1662,805.97,700.36,805.47
1663,807.05,700.02,805.26
1664,805.1,700.04,805.56
1665,804.94,699.43,805.25
1666,806.01,700.25,805.29
1667,804.81,700.04,804.95
1668,803.27,699.86,805.53
1669,804.81,699.93,805.46
1670,805.36,699.85,805.39
1671,804.43,699.73,805.28
1672,806.31,700.1,805.53
1673,804.69,699.94,805.3
1674,805.48,700.05,805.81
1675,804.39,699.88,805.36
1676,807.06,700.3,805.56
1677,804.76,699.76,805.42
1678,803.17,699.8,805.19
1679,805.66,700.57,805.13
1680,802.6,699.75,805.87
1681,805.89,700.38,805.55
1682,803.43,700.07,806.0
1683,807.52,699.98,805.48
1684,805.24,700.15,805.36
1685,804.82,699.96,804.57
1686,807.01,700.08,805.2
1687,802.57,700.12,805.2
1688,805.04,699.92,805.62
1689,805.24,699.78,805.1
1690,805.36,699.92,805.76
1691,803.79,700.32,805.21
1692,805.32,699.69,805.21
1693,804.59,699.9,805.62
1694,805.84,699.88,805.38
1695,805.3,699.44,805.23
1696,805.46,699.95,805.19
1697,804.66,700.03,805.6
1698,805.83,700.04,805.86
1699,802.93,699.86,804.65
1700,804.39,699.8,805.77
1701,808.28,700.31,805.8
1702,803.48,700.31,805.83
1703,805.11,699.78,805.15
1704,805.34,700.05,805.79
1705,806.43,700.23,805.36
1706,805.16,700.06,805.25
1707,803.75,699.55,804.89
1708,806.02,700.12,804.77
1709,805.8,700.04,805.49
1710,801.88,699.84,805.12
1711,807.96,700.41,805.54
1712,804.04,700.11,805.83
1713,804.3,700.03,805.93
1714,807.04,700.05,805.63
1715,803.31,699.76,805.35
1716,804.94,699.88,805.35
1717,804.08,699.84,805.51
1718,805.53,700.0,804.98
1719,805.35,700.18,805.52
1720,804.09,699.95,805.39
1721,805.4,699.85,805.22
1722,804.15,699.92,805.66
1723,804.48,699.76,805.6
1724,807.41,700.15,805.54
1725,801.89,699.76,805.23
1726,804.79,700.36,805.5
1727,803.91,699.61,805.32
1728,805.68,700.53,805.4
1729,803.49,700.38,805.76
1730,804.86,699.78,805.28
1731,804.64,699.63,805.71
1732,804.96,699.85,805.18
1733,804.1,699.89,805.35
1734,805.1,699.97,805.08
1735,804.99,699.82,805.33
1736,804.14,699.49,805.56
1737,804.23,700.37,805.8
1738,805.74,700.08,805.76
1739,803.05,699.72,805.44
1740,807.31,700.1,805.37
1741,802.15,699.82,804.88
1742,805.62,700.15,805.72
1743,806.03,700.19,805.55
1744,805.16,700.12,805.44
1745,804.52,699.46,805.62
1746,806.02,700.31,805.13
1747,803.77,699.87,805.14
1748,804.0,699.65,804.98
1749,807.62,700.03,805.17
1750,802.92,700.15,805.17
1751,803.59,699.8,805.74
1752,804.78,700.31,805.55
1753,802.69,699.36,805.16
1754,808.37,700.3,805.85
1755,803.03,699.81,805.83
1756,806.35,700.0,805.66
1757,806.11,700.5,805.47
1758,804.48,700.32,805.14
1759,802.61,699.82,805.41
1760,806.38,700.0,805.37
1761,804.37,700.15,805.06
1762,804.22,699.34,804.77
1763,808.26,700.36,805.28
1764,805.43,699.91,805.52
1765,805.01,699.82,805.56
1766,807.09,699.94,805.55
1767,802.3,699.64,805.53
1768,806.85,700.09,804.68
1769,803.57,700.01,805.49
1770,806.27,700.26,805.26
1771,808.49,700.11,804.75
1772,802.85,699.98,805.72
1773,807.63,699.97,805.11
1774,804.0,699.67,805.48
1775,804.59,700.34,805.25
1776,804.72,699.99,805.62
1777,803.58,699.71,805.52
1778,805.32,699.99,805.05
1779,804.3,699.86,805.56
1780,804.55,700.39,805.19
1781,806.64,700.34,805.5
1782,804.22,699.96,805.51
1783,806.92,700.31,805.45
1784,802.18,699.81,805.31
1785,805.23,700.47,805.42
1786,807.26,700.35,805.46
1787,805.24,699.68,805.56
1788,804.92,699.94,805.56
1789,803.46,699.87,805.52
1790,806.04,700.05,805.47
1791,803.49,700.2,805.19
1792,806.04,699.88,805.53
1793,805.44,699.99,805.45
1794,803.17,700.15,805.39
1795,804.43,700.16,805.2
1796,806.77,699.75,805.02
1797,800.99,699.59,805.36
1798,808.41,700.2,805.14
1799,805.99,699.62,804.87
1800,802.92,699.78,805.18
1801,807.34,700.09,805.05
1802,808.09,700.02,805.41
1803,802.6,700.11,805.35
1804,806.33,699.58,805.69
1805,805.14,700.14,805.08
1806,804.87,700.0,805.81
1807,802.35,699.85,805.15
1808,804.95,699.93,805.72
1809,804.75,700.15,805.12
1810,804.43,700.03,805.02
1811,807.32,699.69,805.52
1812,804.06,699.97,805.25
1813,804.18,699.87,805.45
1814,805.18,700.25,804.93
1815,804.31,699.79,805.44
1816,804.77,700.38,805.16
1817,806.13,699.57,805.44
1818,805.75,700.15,805.39
1819,807.75,699.99,805.77
1820,802.3,700.07,805.54
1821,806.46,699.72,804.8
1822,803.26,699.76,805.45
1823,805.45,700.29,805.47
1824,805.22,700.0,804.84
1825,804.87,700.13,805.52
1826,805.86,699.84,805.47
1827,805.59,700.13,805.4
1828,806.09,699.97,805.32
1829,803.07,700.27,805.35
1830,807.62,700.02,804.68
1831,803.88,700.36,804.77
1832,802.88,699.84,805.42
1833,803.99,699.58,805.54
1834,806.75,700.35,805.6
1835,804.87,700.31,805.22
1836,804.75,699.85,805.09
1837,804.14,699.86,805.52
1838,805.9,700.56,805.26
1839,804.26,699.64,805.05
1840,806.94,700.31,805.46
1841,806.11,699.88,805.3
1842,806.19,699.78,805.5
1843,804.94,699.74,805.31
1844,802.97,699.76,805.56
1845,803.75,699.78,805.7
1846,806.87,700.1,805.64
1847,802.95,699.81,805.1
1848,806.41,700.1,805.81
1849,804.68,700.21,804.93
1850,804.14,700.07,805.46
1851,805.33,700.04,805.67
1852,804.43,699.83,805.89
1853,806.88,699.97,805.69
1854,804.45,699.67,805.11
1855,803.6,699.57,805.53
1856,805.53,700.33,805.38
1857,806.64,700.05,805.29
1858,803.73,699.96,805.15
1859,806.17,700.05,805.31
1860,806.98,699.81,805.81
1861,803.83,700.18,805.27
1862,805.76,699.84,804.97
1863,805.38,699.85,805.49
1864,805.62,699.97,805.61
1865,806.3,700.27,805.05
1866,802.51,700.11,805.36
1867,804.64,699.93,805.39
1868,803.72,699.44,805.11
1869,806.62,700.52,805.16
1870,805.86,700.04,805.49
1871,804.42,699.89,805.37
1872,806.41,699.88,805.14
1873,801.71,699.89,805.42
1874,806.19,700.0,805.2
1875,804.58,700.24,805.63
1876,804.86,699.66,805.26
1877,803.39,699.89,805.47
1878,804.58,700.12,805.1
1879,808.28,700.28,805.81
1880,804.41,700.33,805.78
1881,804.7,699.63,805.66
1882,803.49,699.63,805.22
1883,804.87,700.33,804.99
1884,806.45,699.84,805.48
1885,805.66,700.13,805.03
1886,804.98,700.22,805.58
1887,802.81,700.04,805.06
1888,803.48,699.47,805.13
1889,806.7,700.12,805.31
1890,805.11,700.14,805.55
1891,805.85,700.08,805.49
1892,803.71,699.82,805.13
1893,806.08,700.38,805.4
1894,805.16,699.82,805.54
1895,804.61,700.09,805.37
1896,804.8,700.38,805.08
1897,805.54,699.69,805.29
1898,804.68,700.12,805.42
1899,803.83,700.01,805.28
1900,805.55,699.77,805.71
1901,806.52,699.97,805.1
1902,805.98,700.34,805.49
1903,805.5,699.72,805.86
1904,803.69,699.72,805.58
1905,804.1,699.76,805.37
1906,805.87,699.75,805.56
1907,805.9,699.82,805.05
1908,806.64,700.05,805.21
1909,803.77,699.69,805.27
1910,805.18,699.82,805.44
1911,806.45,700.24,805.37
1912,805.91,700.01,804.91
1913,802.18,699.79,804.76
1914,806.1,699.8,805.81
