From date,To date,MPDA_kW,AIT_400_001A_P.PV,FIT_200_001A_P.PV,FIT_200_002A_P.PV,FIT_200_004A_P.PV,FIT_400_001A_P.PV,FIT_400_002A_P.PV,LT_200_002A_P.PV,P_200_001A_P.RPM_MV,P_200_002A_P.RPM_MV,P_400_001A_P.RPM_MV,P_400_002A_P.RPM_MV,PDIT_200_001A_P.PV,PDIT_400_001A_P.PV,PDIT_400_002A_P.PV,PIT_400_003A_P.PV,PT_200_005A_P.PV,PT_200_006A_P.PV,PT_200A_Tags.Q_Filtrate_PV,Q_400_002A,PT_400_002A_P.PV,Q_400_001A_P.PV,RO_300A_Tags.RO.Recovery
2023-05-01 00:00:46,2023-05-01 00:15:46,537.49,447.44,1387.93,0.47,21.65,747.57,700.25,7.27,67.00,0.00,33.74,50.50,17.52,38.33,47.93,965.11,0.00,0.31,1447.82,1506.03,36.37,805.78,46.50
2023-05-01 00:15:46,2023-05-01 00:30:46,537.49,445.51,1490.24,0.47,0.06,749.19,699.95,7.49,67.00,0.00,33.74,50.42,17.45,38.33,47.94,961.68,0.00,0.39,1449.14,1505.30,36.79,805.34,46.50
2023-05-01 00:30:46,2023-05-01 00:45:46,537.49,445.82,1388.44,0.47,0.08,752.23,700.12,7.60,67.00,0.00,33.73,50.42,17.38,38.31,47.92,961.69,0.00,0.27,1452.34,1505.49,36.71,805.38,46.50
2023-05-01 00:45:46,2023-05-01 01:00:46,537.49,445.72,1484.09,0.47,0.07,756.69,699.85,7.72,67.00,0.00,33.75,50.40,17.39,38.33,47.97,961.03,0.00,0.34,1456.55,1505.48,36.72,805.63,46.49
2023-05-01 01:00:46,2023-05-01 01:15:46,537.49,446.36,1405.09,0.47,0.06,752.10,700.18,7.80,67.00,0.00,33.75,50.41,17.21,38.32,47.92,961.23,0.00,0.22,1452.25,1505.00,36.78,804.81,46.52
2023-05-01 01:15:46,2023-05-01 01:30:46,537.49,446.60,1489.61,0.47,0.06,756.49,699.94,7.80,67.00,0.00,33.78,50.38,17.22,38.38,48.02,960.38,0.00,0.31,1456.45,1505.96,36.85,806.04,46.48
2023-05-01 01:30:46,2023-05-01 01:45:46,537.49,447.06,1414.60,0.47,0.06,754.17,699.91,7.80,67.00,0.00,33.78,50.39,17.16,38.38,48.02,960.60,0.00,0.18,1454.10,1505.12,36.79,805.20,46.50
2023-05-01 01:45:46,2023-05-01 02:00:46,537.49,447.73,1471.11,0.46,0.06,753.90,700.13,7.81,67.00,0.00,33.80,50.37,17.14,38.38,48.05,959.58,0.00,0.27,1453.99,1506.02,36.86,805.89,46.49
2023-05-01 02:00:46,2023-05-01 02:15:46,537.49,449.60,1434.21,0.44,0.05,751.94,700.01,7.81,67.00,0.00,33.78,50.36,17.19,38.34,48.01,959.01,0.00,0.14,1451.96,1504.94,36.73,804.93,46.51
2023-05-01 02:15:46,2023-05-01 02:30:46,537.49,450.15,1447.97,0.47,0.09,754.69,700.06,7.81,67.00,0.00,33.77,50.36,17.21,38.34,48.04,958.92,0.00,0.23,1454.76,1505.48,36.81,805.42,46.50
2023-05-01 02:30:46,2023-05-01 02:45:46,537.49,450.92,1452.71,0.47,0.08,751.46,699.86,7.81,67.00,0.00,33.78,50.37,17.23,38.35,48.03,959.21,0.00,0.10,1451.32,1504.89,36.65,805.03,46.51
2023-05-01 02:45:46,2023-05-01 03:00:46,537.49,450.22,1429.83,0.46,0.05,753.54,700.00,7.81,67.00,0.00,33.79,50.36,17.25,38.38,48.08,959.21,0.00,0.18,1453.53,1505.74,36.68,805.74,46.49
2023-05-01 03:00:46,2023-05-01 03:15:46,537.49,449.50,1468.39,0.49,0.09,751.99,699.92,7.81,67.00,0.00,33.80,50.38,17.19,38.42,48.09,960.09,0.00,0.07,1451.98,1505.54,36.63,805.63,46.49
2023-05-01 03:15:46,2023-05-01 03:30:46,537.49,449.19,1417.15,0.46,0.08,754.45,699.97,7.81,67.00,0.00,33.81,50.37,17.19,38.44,48.14,959.54,0.00,0.13,1454.45,1505.46,36.69,805.49,46.50
2023-05-01 03:30:46,2023-05-01 03:45:46,537.49,450.07,1487.43,0.44,0.07,752.68,700.04,7.81,67.00,0.00,33.79,50.36,17.05,38.41,48.10,959.12,0.00,0.04,1452.79,1505.34,36.77,805.29,46.50
2023-05-01 03:45:46,2023-05-01 04:00:46,537.49,448.21,1397.64,0.43,0.07,753.19,699.99,7.81,67.00,0.00,33.81,50.37,17.06,38.44,48.14,959.68,0.00,0.09,1453.17,1505.29,36.77,805.29,46.50
2023-05-01 04:00:46,2023-05-01 04:15:46,537.49,448.33,1486.30,139.79,18.88,747.73,699.27,6.48,67.00,6.46,33.82,50.43,16.98,38.49,48.12,962.25,1.08,-0.20,1447.03,1503.65,36.32,804.38,46.50
2023-05-01 04:15:46,2023-05-01 04:30:46,537.49,448.20,1640.48,0.47,14.07,749.74,700.23,2.65,67.00,0.00,33.82,50.47,16.98,38.51,48.15,963.56,0.00,-0.26,1449.97,1505.52,36.35,805.29,46.51
2023-05-01 04:30:46,2023-05-01 04:45:46,537.49,447.90,1709.09,0.47,64.39,747.88,699.88,3.84,67.00,0.00,33.84,50.44,16.90,38.53,48.18,962.74,0.00,0.03,1447.81,1505.73,36.34,805.85,46.48
2023-05-01 04:45:46,2023-05-01 05:00:46,537.49,447.13,1379.82,0.47,74.84,773.15,576.61,6.73,66.87,0.00,33.64,40.61,15.05,36.44,46.97,835.57,0.00,0.25,1349.77,1372.38,39.44,795.77,36.67
2023-05-01 05:00:46,2023-05-01 05:15:46,537.49,282.97,953.18,139.13,72.82,522.35,0.72,5.54,40.65,6.64,20.38,0.00,5.04,21.45,28.28,92.68,1.02,1.09,523.04,474.89,30.77,474.17,0.00
2023-05-01 05:15:46,2023-05-01 05:30:46,537.49,218.60,513.79,0.47,0.06,0.40,1.92,1.84,0.00,0.00,0.00,0.00,0.00,1.68,1.62,4.26,0.00,1.61,2.31,1.92,0.00,0.00,0.00
2023-05-01 05:30:46,2023-05-01 05:45:46,537.49,217.92,0.64,0.44,0.07,0.44,0.25,1.87,0.00,0.00,0.00,0.00,0.00,0.00,0.26,1.07,0.00,1.54,0.70,0.25,0.00,0.00,0.00
2023-05-01 05:45:46,2023-05-01 06:00:46,537.49,217.50,0.66,0.47,0.08,0.42,0.37,1.87,0.00,0.00,0.00,0.00,0.00,0.00,0.26,1.13,0.00,1.49,0.80,0.37,0.00,0.00,0.00
2023-05-01 06:00:46,2023-05-01 06:15:46,537.49,217.32,0.48,0.47,0.04,0.37,0.50,1.87,0.00,0.00,0.00,0.00,0.00,0.00,0.26,1.35,0.00,1.44,0.90,0.47,0.00,0.00,0.00
2023-05-01 06:15:46,2023-05-01 06:30:46,537.49,217.32,0.37,0.47,0.01,0.36,0.64,1.87,0.00,0.00,0.00,0.00,0.00,0.00,0.26,1.45,0.00,1.43,1.02,0.59,0.00,0.00,0.00
2023-05-01 06:30:46,2023-05-01 06:45:46,537.49,217.32,0.37,0.47,0.01,0.36,0.64,1.87,0.00,0.00,0.00,0.00,0.00,0.00,0.26,1.45,0.00,1.43,1.02,0.59,0.00,0.00,0.00
