From date,To date,MPDB_kW,AIT_400_001B_P.PV,FIT_200_001B_P.PV,FIT_200_002B_P.PV,FIT_200_004B_P.PV,FIT_400_001B_P.PV,FIT_400_002B_P.PV,LT_200_002B_P.PV,P_200_001B_P.RPM_MV,P_200_002B_P.RPM_MV,P_400_001B_P.RPM_MV,P_400_002B_P.RPM_MV,PDIT_200_001B_P.PV,PDIT_400_001B_P.PV,PDIT_400_002B_P.PV,PIT_400_003B_P.PV,PT_200_005B_P.PV,PT_200_006B_P.PV,PT_200B_Tags.Q_Filtrate_PV,Q_400_002B,PT_400_002B_P.PV,Q_400_001B_P.PV,RO_300B_Tags.RO.Recovery
2023-05-01 00:00:46,2023-05-01 00:15:46,70.40,387.71,1522.68,0.57,90.23,734.06,700.19,7.83,67.00,0.00,33.73,50.49,19.17,38.54,51.69,975.70,0.00,0.65,1434.24,1505.07,38.67,804.87,46.52
2023-05-01 00:15:46,2023-05-01 00:30:46,70.40,387.22,1526.73,0.58,90.37,736.89,700.25,7.83,67.00,0.00,33.74,50.47,19.10,38.55,51.72,974.78,0.00,0.76,1437.11,1505.52,38.81,805.26,46.51
2023-05-01 00:30:46,2023-05-01 00:45:46,70.40,387.63,1565.03,0.57,90.19,736.01,700.55,7.83,67.00,0.00,33.75,50.46,19.05,38.54,51.72,974.43,0.00,0.62,1436.57,1505.91,38.71,805.35,46.52
2023-05-01 00:45:46,2023-05-01 01:00:46,70.40,387.13,1487.36,0.57,90.28,738.12,699.77,7.83,67.00,0.00,33.74,50.45,19.02,38.54,51.74,973.78,0.00,0.70,1437.90,1505.62,38.76,805.85,46.48
2023-05-01 01:00:46,2023-05-01 01:15:46,70.40,387.50,1605.61,0.57,90.19,738.74,700.52,7.83,67.00,0.00,33.74,50.43,18.88,38.54,51.73,973.18,0.00,0.62,1439.25,1506.28,38.96,805.76,46.51
2023-05-01 01:15:46,2023-05-01 01:30:46,70.40,387.51,1449.67,0.57,90.28,738.44,700.24,7.83,67.00,0.00,33.74,50.42,18.84,38.54,51.73,972.98,0.00,0.64,1438.68,1505.60,38.92,805.35,46.51
2023-05-01 01:30:46,2023-05-01 01:45:46,70.40,388.53,1623.41,0.57,90.42,739.25,700.06,7.83,67.00,0.00,33.75,50.43,18.78,38.54,51.73,972.88,0.00,0.60,1439.32,1505.31,38.97,805.24,46.51
2023-05-01 01:45:46,2023-05-01 02:00:46,70.40,389.05,1446.17,0.58,90.29,738.84,700.01,7.83,67.00,0.00,33.75,50.41,18.76,38.51,51.71,972.00,0.00,0.58,1438.83,1505.09,38.99,805.07,46.51
2023-05-01 02:00:46,2023-05-01 02:15:46,70.40,390.58,1610.29,0.57,90.38,737.30,700.06,7.83,67.00,0.00,33.73,50.39,18.81,38.50,51.71,971.08,0.00,0.61,1437.35,1505.53,38.89,805.48,46.50
2023-05-01 02:15:46,2023-05-01 02:30:46,70.40,391.67,1488.22,0.57,90.27,737.33,699.91,7.83,67.00,0.00,33.75,50.39,18.80,38.48,51.68,971.03,0.00,0.52,1437.20,1505.29,38.89,805.39,46.50
2023-05-01 02:30:46,2023-05-01 02:45:46,70.40,391.66,1518.24,0.57,90.25,737.39,699.87,7.83,67.00,0.00,33.74,50.38,18.83,38.48,51.70,970.71,0.00,0.59,1437.24,1505.06,38.87,805.21,46.50
2023-05-01 02:45:46,2023-05-01 03:00:46,70.40,391.69,1582.03,0.57,90.27,736.20,700.09,7.83,67.00,0.00,33.74,50.39,18.80,38.49,51.70,971.06,0.00,0.47,1436.30,1505.57,38.82,805.48,46.50
2023-05-01 03:00:46,2023-05-01 03:15:46,70.40,390.13,1463.47,0.57,90.18,737.91,699.89,7.83,67.00,0.00,33.74,50.41,18.77,38.52,51.71,971.96,0.00,0.52,1437.80,1505.23,38.89,805.35,46.50
2023-05-01 03:15:46,2023-05-01 03:30:46,70.40,390.44,1603.96,0.55,89.95,737.51,700.60,7.83,67.00,0.00,33.75,50.41,18.72,38.51,51.71,971.78,0.00,0.42,1438.10,1506.14,38.82,805.54,46.52
2023-05-01 03:30:46,2023-05-01 03:45:46,70.40,390.61,1460.00,0.57,90.13,739.98,700.28,7.83,67.00,0.00,33.75,50.38,18.59,38.52,51.72,970.80,0.00,0.48,1440.27,1505.49,39.07,805.22,46.51
2023-05-01 03:45:46,2023-05-01 04:00:46,70.40,389.52,1608.70,0.57,90.14,738.83,699.70,7.83,67.00,0.00,33.75,50.40,18.55,38.53,51.73,971.50,0.00,0.40,1438.56,1505.10,39.01,805.41,46.49
2023-05-01 04:00:46,2023-05-01 04:15:46,70.40,388.54,1460.41,153.46,90.07,737.52,699.73,6.60,67.00,5.99,33.74,50.42,18.49,38.54,51.74,972.56,1.40,0.21,1437.26,1505.28,38.81,805.55,46.49
2023-05-01 04:15:46,2023-05-01 04:30:46,70.40,388.31,1794.90,0.57,90.22,737.32,699.77,4.20,67.00,0.00,33.74,50.44,18.42,38.57,51.75,973.40,0.19,0.17,1437.10,1505.31,38.78,805.54,46.49
2023-05-01 04:30:46,2023-05-01 04:45:46,70.40,386.67,1655.97,0.55,90.23,741.65,700.99,7.53,67.00,0.00,33.75,50.40,18.44,38.58,51.76,971.70,0.00,0.51,1442.64,1506.22,39.22,805.23,46.54
2023-05-01 04:45:46,2023-05-01 05:00:46,70.40,388.37,1463.97,0.57,90.21,739.42,700.18,7.83,67.00,0.00,33.74,50.38,18.39,38.54,51.74,970.78,0.00,0.52,1439.60,1505.20,39.33,805.02,46.52
2023-05-01 05:00:46,2023-05-01 05:15:46,70.40,394.71,1558.94,0.57,90.25,738.79,701.21,7.83,67.00,0.00,33.74,50.32,18.40,38.48,51.71,967.85,0.00,0.58,1439.99,1506.45,39.41,805.24,46.55
2023-05-01 05:15:46,2023-05-01 05:30:46,70.40,287.23,726.52,0.57,59.26,521.88,133.20,7.79,41.24,0.00,21.17,10.56,7.29,22.10,30.68,316.04,0.00,1.47,655.06,621.48,31.56,488.29,7.23
2023-05-01 05:30:46,2023-05-01 05:45:46,70.40,0.00,0.59,0.57,0.06,0.46,6.43,7.65,0.00,0.00,0.00,0.00,0.00,4.86,0.14,8.63,0.00,2.35,6.91,6.43,2.47,0.00,0.00
