From date,To date,MPDC_kW,AIT_400_001C_P.PV,FIT_200_001C_P.PV,FIT_200_002C_P.PV,FIT_200_004C_P.PV,FIT_400_001C_P.PV,FIT_400_002C_P.PV,LT_200_002C_P.PV,P_200_001C_P.RPM_MV,P_200_002C_P.RPM_MV,P_400_001C_P.RPM_MV,P_400_002C_P.RPM_MV,PDIT_200_001C_P.PV,PDIT_400_001C_P.PV,PDIT_400_002C_P.PV,PIT_400_003C_P.PV,PT_200_005C_P.PV,PT_200_006C_P.PV,PT_200C_Tags.Q_Filtrate_PV,PT_200C_Tags.Q_RO_Feed_PV,PT_400_002C_P.PV,Q_400_001C_P.PV,RO_300C_Tags.RO.Recovery
2023-05-01 00:00:46,2023-05-01 00:15:46,0,0.71,0.77,0.57,0.10,0.29,0.23,6.41,0,0,0,0,0,0.53,0.00,1.46,0.01,1.57,0.53,0.22,0.72,0.00,0
2023-05-01 00:15:46,2023-05-01 00:30:46,0,0.71,0.72,0.63,0.08,0.27,0.22,6.41,0,0,0,0,0,0.53,0.00,1.46,0.01,1.57,0.44,0.22,0.72,0.00,0
2023-05-01 00:30:46,2023-05-01 00:45:46,0,0.71,0.67,0.63,0.10,0.27,0.24,6.41,0,0,0,0,0,0.53,0.00,1.46,0.01,1.57,0.51,0.24,0.72,0.00,0
2023-05-01 00:45:46,2023-05-01 01:00:46,0,0.71,0.74,0.62,0.06,0.27,0.24,6.41,0,0,0,0,0,0.53,0.00,1.46,0.01,1.57,0.50,0.24,0.72,0.00,0
2023-05-01 01:00:46,2023-05-01 01:15:46,0,0.71,0.71,0.67,0.06,0.25,0.20,6.41,0,0,0,0,0,0.53,0.00,1.46,0.01,1.57,0.44,0.21,0.72,0.00,0
2023-05-01 01:15:46,2023-05-01 01:30:46,0,0.71,0.74,0.58,0.08,0.32,0.19,6.41,0,0,0,0,0,0.53,0.00,1.44,0.01,1.56,0.50,0.19,0.72,0.00,0
2023-05-01 01:30:46,2023-05-01 01:45:46,0,0.71,0.73,0.63,0.09,0.31,0.22,6.41,0,0,0,0,0,0.53,0.00,1.46,0.01,1.56,0.54,0.22,0.72,0.00,0
2023-05-01 01:45:46,2023-05-01 02:00:46,0,0.71,0.71,0.63,0.07,0.23,0.23,6.41,0,0,0,0,0,0.53,0.00,1.46,0.01,1.56,0.49,0.23,0.72,0.00,0
2023-05-01 02:00:46,2023-05-01 02:15:46,0,0.71,0.74,0.63,0.09,0.24,0.24,6.41,0,0,0,0,0,0.53,0.00,1.46,0.01,1.56,0.47,0.25,0.72,0.00,0
2023-05-01 02:15:46,2023-05-01 02:30:46,0,0.71,0.64,0.58,0.06,0.30,0.22,6.41,0,0,0,0,0,0.53,0.00,1.46,0.01,1.56,0.47,0.22,0.72,0.00,0
2023-05-01 02:30:46,2023-05-01 02:45:46,0,0.71,0.75,0.62,0.07,0.27,0.25,6.41,0,0,0,0,0,0.53,0.00,1.46,0.01,1.56,0.55,0.24,0.72,0.00,0
2023-05-01 02:45:46,2023-05-01 03:00:46,0,0.71,0.72,0.58,0.09,0.30,0.22,6.41,0,0,0,0,0,0.53,0.00,1.45,0.01,1.56,0.47,0.22,0.72,0.00,0
2023-05-01 03:00:46,2023-05-01 03:15:46,0,0.71,0.79,0.63,0.08,0.27,0.24,6.41,0,0,0,0,0,0.53,0.00,1.46,0.01,1.56,0.47,0.25,0.72,0.00,0
2023-05-01 03:15:46,2023-05-01 03:30:46,0,0.71,0.72,0.58,0.09,0.29,0.24,6.41,0,0,0,0,0,0.53,0.00,1.46,0.01,1.56,0.53,0.24,0.72,0.00,0
2023-05-01 03:30:46,2023-05-01 03:45:46,0,0.71,0.69,0.57,0.07,0.26,0.25,6.41,0,0,0,0,0,0.53,0.00,1.45,0.01,1.56,0.48,0.25,0.72,0.00,0
2023-05-01 03:45:46,2023-05-01 04:00:46,0,0.71,0.70,0.57,0.07,0.30,0.27,6.41,0,0,0,0,0,0.53,0.00,1.46,0.01,1.56,0.51,0.27,0.72,0.00,0
2023-05-01 04:00:46,2023-05-01 04:15:46,0,0.71,0.71,0.58,0.08,0.31,0.26,6.41,0,0,0,0,0,0.53,0.00,1.46,0.01,1.55,0.53,0.25,0.72,0.00,0
2023-05-01 04:15:46,2023-05-01 04:30:46,0,0.71,0.65,0.63,0.06,0.27,0.23,6.41,0,0,0,0,0,0.53,0.00,1.46,0.01,1.55,0.52,0.23,0.72,0.00,0
2023-05-01 04:30:46,2023-05-01 04:45:46,0,0.71,0.73,0.58,0.10,0.25,0.25,6.41,0,0,0,0,0,0.53,0.00,1.46,0.01,1.55,0.49,0.25,0.72,0.00,0
2023-05-01 04:45:46,2023-05-01 05:00:46,0,0.71,0.70,0.63,0.07,0.33,0.21,6.41,0,0,0,0,0,0.53,0.00,1.46,0.01,1.55,0.55,0.21,0.72,0.00,0
2023-05-01 05:00:46,2023-05-01 05:15:46,0,0.71,0.77,0.63,0.09,0.34,0.21,6.41,0,0,0,0,0,0.53,0.00,1.46,0.01,1.55,0.54,0.21,0.72,0.00,0
2023-05-01 05:15:46,2023-05-01 05:30:46,0,0.71,0.67,0.69,0.07,0.29,0.25,6.41,0,0,0,0,0,0.53,0.00,1.44,0.01,1.55,0.50,0.24,0.72,0.00,0
2023-05-01 05:30:46,2023-05-01 05:45:46,0,0.71,0.67,0.62,0.08,0.23,0.26,6.41,0,0,0,0,0,0.53,0.00,1.45,0.01,1.55,0.49,0.26,0.71,0.00,0
2023-05-01 05:45:46,2023-05-01 06:00:46,0,0.71,0.78,0.60,0.08,0.30,0.22,6.41,0,0,0,0,0,0.53,0.00,1.43,0.01,1.55,0.52,0.24,0.72,0.00,0
2023-05-01 06:00:46,2023-05-01 06:15:46,0,0.71,0.71,0.58,0.10,0.14,0.29,6.41,0,0,0,0,0,0.53,0.00,1.46,0.01,1.55,0.42,0.29,0.72,0.00,0
2023-05-01 06:15:46,2023-05-01 06:30:46,0,0.71,0.64,0.57,0.13,0.05,0.34,6.41,0,0,0,0,0,0.53,0.00,1.46,0.01,1.55,0.40,0.34,0.72,0.00,0
2023-05-01 06:30:46,2023-05-01 06:45:46,0,0.71,0.64,0.57,0.13,0.05,0.34,6.41,0,0,0,0,0,0.53,0.00,1.46,0.01,1.55,0.40,0.34,0.72,0.00,0
2023-05-01 06:45:46,2023-05-01 07:00:46,0,0.71,0.64,0.57,0.13,0.05,0.34,6.41,0,0,0,0,0,0.53,0.00,1.46,0.01,1.55,0.40,0.34,0.72,0.00,0
2023-05-01 07:00:46,2023-05-01 07:15:46,0,0.71,0.64,0.57,0.13,0.05,0.34,6.41,0,0,0,0,0,0.53,0.00,1.46,0.01,1.55,0.40,0.34,0.72,0.00,0
2023-05-01 07:15:46,2023-05-01 07:30:46,0,0.71,0.64,0.57,0.13,0.05,0.34,6.41,0,0,0,0,0,0.53,0.00,1.46,0.01,1.55,0.40,0.34,0.72,0.00,0
2023-05-01 07:30:46,2023-05-01 07:45:46,0,0.71,0.64,0.57,0.13,0.05,0.34,6.41,0,0,0,0,0,0.53,0.00,1.46,0.01,1.55,0.40,0.34,0.72,0.00,0
2023-05-01 07:45:46,2023-05-01 08:00:46,0,0.71,0.64,0.57,0.13,0.05,0.34,6.41,0,0,0,0,0,0.53,0.00,1.46,0.01,1.55,0.40,0.34,0.72,0.00,0
2023-05-01 08:00:46,2023-05-01 08:15:46,0,0.71,0.64,0.57,0.13,0.05,0.34,6.41,0,0,0,0,0,0.53,0.00,1.46,0.01,1.55,0.40,0.34,0.72,0.00,0
2023-05-01 08:15:46,2023-05-01 08:30:46,0,0.71,0.64,0.57,0.13,0.05,0.34,6.41,0,0,0,0,0,0.53,0.00,1.46,0.01,1.55,0.40,0.34,0.72,0.00,0
2023-05-01 08:30:46,2023-05-01 08:45:46,0,0.71,0.64,0.57,0.13,0.05,0.34,6.41,0,0,0,0,0,0.53,0.00,1.46,0.01,1.55,0.40,0.34,0.72,0.00,0
2023-05-01 08:45:46,2023-05-01 09:00:46,0,0.71,0.64,0.57,0.13,0.05,0.34,6.41,0,0,0,0,0,0.53,0.00,1.46,0.01,1.55,0.40,0.34,0.72,0.00,0
2023-05-01 09:00:46,2023-05-01 09:15:46,0,0.71,0.64,0.57,0.13,0.05,0.34,6.41,0,0,0,0,0,0.53,0.00,1.46,0.01,1.55,0.40,0.34,0.72,0.00,0
2023-05-01 09:15:46,2023-05-01 09:30:46,0,0.71,0.64,0.57,0.13,0.05,0.34,6.41,0,0,0,0,0,0.53,0.00,1.46,0.01,1.55,0.40,0.34,0.72,0.00,0
