From date,To date,FIT_900_002_P.PV,PIT_900_003_P.PV,Added by Frits for calc Power,Added by Frits for calc Power,AIT_100_003_P.PV,AIT_900_006_P.PV,PIT_100_001_P.PV,PT_100_002_P.PV,TIT_100_002_P.PV,AIT_100_001_P.PV,AIT_100_002_P.PV,FIT_100_001_P.PV,P_100_001_1_P.HOURS,P_100_001_2_P.HOURS,CV_900_004_P.CV,FIT_1000_001_P.PV,FIT_900_004_P.PV,FIT_900_005_P.PV,FIT_900_006_P.PV,PIT_900_002_1_P.PV,PIT_900_002_2_P.PV,PDIT_700_001_P.PV,Q_Brine_Pumps,PSCA_kW,PowerDesal_pf,PowerDesal_kVA
2023-05-01 00:00:46,2023-05-01 00:15:46,1392.15,140.48,49.24,0,489.46,7634.72,33.15,34.66,55.47,49.62,7.83,3876.00,31114.59,8112.33,0,2538.00,,31.34,,8.99,8.85,0.19,1478.02,50.37,0.98,1280.53
2023-05-01 00:15:46,2023-05-01 00:30:46,1397.19,140.73,49.31,0,489.93,7701.21,33.33,34.78,55.51,49.62,7.83,3824.82,31114.59,8112.58,0,2471.95,,30.82,,9.01,8.86,0.19,1491.74,50.06,0.98,1282.39
2023-05-01 00:30:46,2023-05-01 00:45:46,1398.40,140.96,49.36,0,489.68,7762.37,32.70,34.24,55.52,49.62,7.83,3925.04,31114.59,8112.83,0,2532.94,,29.75,,8.99,8.85,0.19,1487.72,50.27,0.98,1277.38
2023-05-01 00:45:46,2023-05-01 01:00:46,1401.64,140.94,49.37,0,489.51,7762.28,33.29,34.73,55.56,49.62,7.83,3820.32,31114.59,8113.08,0,2436.88,,25.56,,9.01,8.87,0.19,1492.21,50.03,0.98,1253.11
2023-05-01 01:00:46,2023-05-01 01:15:46,1407.47,140.94,49.40,0,489.49,7692.00,32.78,34.29,55.64,49.63,7.84,3925.90,31114.59,8113.33,0,2525.49,,25.48,,8.99,8.85,0.19,1491.53,49.93,0.98,1255.67
2023-05-01 01:15:46,2023-05-01 01:30:46,1400.73,141.00,49.39,0,489.64,7586.77,33.40,34.87,55.72,49.63,7.86,3791.92,31114.59,8113.58,0,2392.76,,24.27,,8.98,8.83,0.19,1496.60,50.19,0.98,1257.89
2023-05-01 01:30:46,2023-05-01 01:45:46,1404.09,141.09,49.41,0,489.70,7555.04,32.47,34.03,55.85,49.64,7.86,3956.11,31114.59,8113.83,0,2528.80,,23.38,,9.01,8.87,0.19,1491.32,49.99,0.98,1246.36
2023-05-01 01:45:46,2023-05-01 02:00:46,1410.92,141.17,49.45,0,489.65,7586.30,33.35,34.81,55.88,49.63,7.86,3789.79,31114.59,8114.08,0,2431.55,,22.84,,8.98,8.84,0.19,1494.73,49.80,0.98,1268.92
2023-05-01 02:00:46,2023-05-01 02:15:46,1402.80,141.12,49.41,0,490.03,7620.67,32.56,34.02,55.89,49.63,7.86,3961.04,31114.59,8114.33,0,2475.93,,22.78,,8.98,8.84,0.19,1485.12,50.24,0.98,1250.09
2023-05-01 02:15:46,2023-05-01 02:30:46,1408.03,141.13,49.43,0,490.74,7644.90,33.58,35.07,55.82,49.62,7.85,3794.57,31114.59,8114.57,0,2427.24,,22.54,,9.00,8.86,0.19,1492.59,50.72,0.98,1261.34
2023-05-01 02:30:46,2023-05-01 02:45:46,1407.21,141.16,49.44,0,491.74,7670.77,33.35,34.88,55.74,49.62,7.84,3826.57,31114.59,8114.82,0,2490.71,,21.57,,8.99,8.85,0.19,1489.60,50.19,0.98,1251.21
2023-05-01 02:45:46,2023-05-01 03:00:46,1407.40,141.14,49.43,0,492.49,7656.39,33.17,34.64,55.82,49.64,7.85,3867.11,31114.59,8115.07,0,2421.02,,21.71,,8.99,8.85,0.19,1485.36,49.93,0.98,1254.33
2023-05-01 03:00:46,2023-05-01 03:15:46,1407.72,141.17,49.44,0,493.06,7550.91,33.32,34.81,55.82,49.61,7.84,3839.90,31114.59,8115.32,0,2445.95,,22.83,,8.98,8.84,0.19,1489.20,50.23,0.98,1250.84
2023-05-01 03:15:46,2023-05-01 03:30:46,1405.50,141.12,49.42,0,493.04,7431.33,32.76,34.27,55.73,49.62,7.84,3957.58,31114.59,8115.57,0,2515.88,,23.65,,8.99,8.85,0.19,1491.81,49.82,0.98,1257.89
2023-05-01 03:30:46,2023-05-01 03:45:46,1404.16,141.17,49.42,0,492.40,7384.12,33.27,34.77,55.56,49.59,7.83,3883.16,31114.59,8115.82,0,2510.19,,24.01,,9.00,8.86,0.19,1495.47,49.65,0.98,1255.25
2023-05-01 03:45:46,2023-05-01 04:00:46,1406.23,141.14,49.43,0,492.10,7434.56,33.02,34.50,55.55,49.62,7.83,3941.67,31114.59,8116.07,0,2447.15,,26.02,,8.98,8.84,0.19,1492.49,49.78,0.98,1258.85
2023-05-01 04:00:46,2023-05-01 04:15:46,1396.13,141.06,49.35,0,491.82,7490.74,33.33,34.84,55.51,49.61,7.83,3885.84,31114.59,8116.32,0,2516.37,,28.92,,8.98,8.84,0.20,1485.14,49.62,0.98,1270.53
